time,semitone
35760,63
36480,62
38580,62
38880,62
39120,62
39360,62
39600,62
39840,63
40080,62
40380,62
41280,57
43200,57
43500,58
43920,60
44220,62
45600,62
45840,63
46080,65
46500,63
46800,62
47280,62
47760,63
48060,62
48960,60
51120,62
51840,60
54720,60
54960,60
55200,60
55440,62
55680,60
56640,58
58800,58
59520,57
60960,57
61200,58
61440,60
61920,58
62160,57
62640,57
63120,58
63360,57
64380,55
66720,63
67200,62
69600,62
69840,62
70140,62
70320,62
70560,63
70800,62
71100,62
72000,57
73920,57
74220,58
74580,60
74880,62
76320,62
76560,63
76800,65
77280,63
77520,62
78000,62
78480,63
78720,62
79680,60
81840,62
82560,60
84000,60
84240,62
84480,63
84960,62
85200,60
85740,60
86220,62
86460,60
87360,58
89580,58
90240,57
91680,57
91920,58
92160,60
92580,58
92880,57
93360,57
93840,58
94080,57
95040,55
99600,62
99840,62
100080,62
100620,67
101040,70
101520,69
103500,74
107280,68
107520,68
108060,68
108240,67
108780,65
109200,67
110160,65
110280,67
110340,65
110460,64
114960,62
115200,62
115500,62
115980,67
116460,70
116940,69
118800,74
122640,68
122880,68
123360,68
123600,67
124080,65
124620,67
125520,65
125640,67
125700,65
125820,64
131760,63
132480,62
134640,62
134940,62
135180,62
135360,62
135660,62
135840,63
136080,62
136380,62
137340,57
139200,57
139560,58
139920,60
140220,62
141600,62
141840,63
142080,65
142560,63
142800,62
143280,62
143760,63
144060,62
144960,60
147360,62
147900,60
149280,60
149520,62
149760,63
150240,62
150480,60
151020,60
151500,62
151740,60
152640,58
154800,58
155520,55
155520,57
156960,57
157200,58
157440,60
157920,58
158160,57
158700,57
159120,58
159420,57
160320,55
164880,62
165120,62
165600,62
165900,67
166320,70
166800,69
168720,74
172560,68
172800,68
173280,68
173520,67
174000,65
174480,67
175500,65
175560,67
175680,65
175800,64
180240,62
180480,62
180480,60
180960,62
181260,67
181680,70
182160,69
184080,74
187920,68
188160,68
188640,68
188880,67
189360,65
189900,67
190860,65
191100,64
237840,62
238080,62
238560,62
238800,67
239280,70
239760,69
241680,74
245520,68
245820,68
246240,68
246480,67
246960,65
247440,67
248400,65
248520,67
248580,65
248700,64
253200,62
253440,62
253920,62
254160,67
254640,70
255060,69
257040,74
260880,68
261120,68
261600,68
261840,67
262320,65
262800,67
263760,65
263880,67
263940,65
264060,64
268620,62
268860,62
269340,62
269580,67
270000,70
270720,69
272700,74
276300,68
276540,68
277020,68
277260,67
277740,65
278220,67
279240,65
279480,64
284040,62
284220,62
284700,62
284940,67
285420,70
285840,69
288060,74
291660,68
291900,68
292380,68
292620,67
293100,65
293580,67
294600,65
294720,67
294780,65
294900,64
