time,semitone
15840,57
15960,60
16200,60
16440,59
16680,57
16920,55
17160,60
18120,62
18240,62
18600,64
18960,55
19080,57
19680,57
19800,60
20040,62
20280,62
20520,62
20760,60
21000,64
22080,62
22440,67
22680,62
22920,62
23160,60
24240,65
24360,64
24600,62
24840,60
25080,62
27360,57
27480,60
27720,60
27960,59
28200,57
28440,55
28680,60
29640,62
29760,62
30120,64
30480,55
30600,57
31200,57
31320,60
31560,62
31800,62
32040,62
32280,60
32520,64
33480,62
33600,62
33960,67
34200,62
34440,62
34680,60
35640,65
36000,64
36240,62
36480,60
36720,62
37560,65
37800,64
38040,62
38160,62
38280,60
38520,62
38640,60
39480,65
39720,64
39840,62
40200,60
40320,60
40680,62
40800,62
42000,64
42120,65
42240,67
42480,67
42600,65
42840,60
43080,67
45960,55
46080,67
46320,67
46440,60
46680,67
46920,62
47880,57
48000,65
48360,64
48600,62
48840,60
49920,57
50280,62
50880,59
51240,64
51600,64
51720,65
51840,67
52080,67
52200,65
52320,60
52440,60
52680,67
55560,55
55680,67
55920,67
56040,60
56280,67
56520,62
57480,55
57600,65
57960,64
58200,62
58440,60
59520,57
59880,62
60120,60
60480,59
63840,57
63960,60
64200,60
64440,59
64680,57
64920,55
65160,60
66120,62
66240,62
66600,64
66960,55
67080,57
67680,57
67800,60
68040,62
68280,62
68520,62
68760,60
69000,64
70080,62
70440,67
70680,62
71040,62
71160,60
72240,65
72360,64
72600,62
72840,60
73080,62
74160,65
74280,64
74520,65
74760,64
74880,62
75000,60
75960,65
76200,64
76320,62
76680,60
76800,60
77160,62
77280,62
78480,64
78600,65
78720,67
78960,67
79080,65
79320,60
79560,67
82440,55
82560,67
82800,67
82920,60
83160,67
83400,62
84360,55
84480,65
84840,64
85080,62
85320,60
86280,57
86760,62
87360,59
87720,64
88080,64
88200,65
88320,67
88560,67
88680,65
88920,60
89160,67
92040,55
92160,67
92400,67
92520,60
92760,67
93000,62
93960,55
94080,65
94440,64
94680,62
94920,60
96000,57
96360,62
96960,59
97320,64
113040,64
113160,65
113280,67
113520,67
113640,65
113880,60
114120,67
117000,55
117120,67
117360,67
117480,60
117720,67
117960,62
118920,57
119040,65
119400,64
119640,62
119880,60
120960,57
121320,62
121920,59
122280,64
122640,64
122760,65
122880,67
123120,67
123240,65
123480,60
123720,67
126600,55
126720,67
126960,67
127080,60
127320,67
127560,62
128520,55
128640,65
129000,64
129240,62
129480,60
130560,57
130920,62
131160,60
131400,62
131460,60
131520,59
131880,64
132240,64
132360,65
132480,67
132720,67
132840,65
133080,60
133320,67
136200,55
136320,67
136560,67
136680,60
136920,67
137160,62
138120,55
138240,65
138600,64
138840,62
139080,60
140160,57
140520,62
141120,59
141480,64
141840,64
141960,65
142080,67
142320,67
142440,65
142680,60
142920,67
145800,55
145920,67
146160,67
146280,60
146520,67
146760,62
147720,55
147840,65
148200,64
148440,62
148680,60
149760,57
150120,62
150720,59
151080,64
