time,semitone
1920,62
2640,62
3840,62
4080,62
4320,62
4800,62
5040,62
5760,60
7680,60
7920,60
8160,60
9600,60
12000,76
12120,74
12240,74
12360,72
12480,72
12720,69
12960,69
13080,72
13200,72
13320,72
13440,74
13680,69
15120,72
15240,71
15480,71
15720,71
15960,72
16200,74
17040,65
17160,64
17400,64
17640,64
17880,72
18120,72
18360,71
19680,76
19800,74
19920,74
20040,72
20160,72
20400,69
20640,69
20760,72
20880,72
21000,72
21120,74
21360,69
22800,72
22920,71
23280,71
23400,71
23640,72
23880,74
24720,67
24840,76
25200,76
25320,76
25560,67
25800,69
26040,76
26280,76
26880,76
27480,77
27720,74
28560,72
28680,76
29400,77
29640,74
30720,79
31200,79
32160,76
32280,79
32520,76
32640,81
33120,79
34320,79
34440,79
34560,82
34800,82
34920,81
35160,81
35400,79
35640,79
35880,77
36120,79
36360,76
38400,79
38880,77
39600,76
39720,77
39960,79
40200,77
40320,80
40800,77
41400,72
41520,72
41640,72
41880,74
42240,76
43320,76
43440,76
43560,76
43800,77
43920,76
44040,74
44880,74
45000,76
45120,74
45240,79
45840,74
45960,76
46080,74
56160,76
56280,74
56400,74
56520,72
56640,72
56880,69
57120,69
57240,72
57360,72
57600,74
57840,69
59160,72
59280,72
59400,71
59640,71
59880,71
60120,72
60360,74
61200,65
61320,64
61560,64
61800,64
62040,72
62280,72
62520,71
62760,71
63840,76
63960,74
64080,74
64200,72
64320,72
64560,69
64800,69
64920,72
65040,72
65160,72
65280,74
65520,69
66960,72
67080,71
67440,71
67560,71
67800,72
68040,74
68880,67
69000,76
69360,76
69480,76
69720,67
69960,69
70200,76
70440,76
71040,76
71640,77
71880,74
72720,72
72840,76
73560,77
73800,74
74880,79
75360,79
76320,76
76440,79
76680,76
76800,81
77280,79
78480,79
78600,79
78720,82
78960,82
79080,81
79320,81
79560,79
79800,79
80040,77
80280,79
80520,76
82560,79
83040,77
83760,76
83880,77
84120,79
84360,77
84480,80
84960,77
85560,72
85680,72
85800,72
86040,74
86400,76
87480,76
87600,76
87720,76
87960,77
88080,76
88200,74
89040,74
89160,76
89280,74
89400,79
90000,74
90120,76
90240,74
119040,79
119520,79
120480,76
120600,79
120840,76
120960,81
121440,79
122640,79
122760,79
122880,82
123120,82
123240,81
123480,81
123720,79
123960,79
124200,77
124440,79
124680,76
126720,79
127200,77
127920,76
128040,77
128280,79
128520,77
128640,80
129120,77
129720,72
129840,72
129960,72
130200,74
130560,76
131640,76
131760,76
131880,76
132120,77
132240,76
132360,74
133200,74
133320,76
133440,74
133560,79
134160,74
134280,76
134400,74
136320,79
136800,79
137760,76
137880,79
138120,76
138240,81
138960,79
139920,79
140040,79
140160,82
140400,82
140520,81
140760,81
141000,79
141240,79
141480,77
141720,79
141960,76
144000,79
144480,77
145200,76
145320,77
145560,79
145800,77
145920,80
146400,77
147000,77
147120,77
147360,79
147600,77
147840,79
148920,76
149040,76
149160,76
149400,77
149520,76
149640,74
150480,74
150600,76
150720,74
150840,79
151440,74
151560,76
151680,74
157200,79
157320,79
157440,82
157680,82
157800,81
158040,81
158280,79
158520,79
158760,77
159000,79
159240,76
161280,79
161760,77
162480,76
162600,77
162840,79
163080,77
163200,80
163680,77
164280,77
164400,77
164640,79
164880,77
165120,72
166200,76
166320,76
166440,76
166680,77
166800,76
166920,74
167760,74
167880,76
168000,74
168120,79
168720,74
168840,76
168960,74
