time,semitone
17700,57
17940,60
18420,57
18900,64
21600,57
21840,60
22320,62
22800,62
23460,59
23700,59
24240,60
24720,60
25440,57
25680,60
26160,57
26640,64
26940,62
27060,60
27300,62
29220,57
29460,60
30000,62
30480,62
31140,59
31380,59
31860,60
32400,60
33120,57
33360,60
33840,57
34260,64
34500,62
34800,60
34920,62
36960,60
37200,60
37680,62
38160,62
38820,59
39120,59
39600,60
40080,60
42660,64
42900,64
43140,64
43620,64
43860,64
44100,65
44400,64
44880,64
46560,62
46800,62
47280,60
47520,60
47700,62
47940,64
48420,60
48660,60
49200,57
49680,55
50640,55
50880,64
51120,64
51360,64
51600,64
51840,65
52080,64
52560,62
53040,60
53220,67
53520,67
54960,60
55200,60
55380,62
55620,64
56100,60
56340,60
56580,60
56820,57
57300,57
60000,57
60240,60
60720,57
61200,64
63840,57
64080,60
64560,62
65040,62
65700,59
66000,59
66540,59
66600,60
66960,60
67680,57
67920,60
68400,57
68880,64
69120,62
69360,60
69480,62
71520,60
71760,60
72300,62
72720,62
73440,59
73680,59
74160,60
74640,60
75360,65
75600,65
76080,67
76560,67
77040,62
77520,60
79200,57
79440,60
79920,62
80400,62
81120,59
81360,59
81840,59
82320,59
84900,64
85140,64
85380,64
85920,64
86160,64
86400,65
86580,64
87060,64
88800,62
89040,62
89520,60
89700,60
89940,62
90240,62
90960,60
91440,57
91860,55
92820,55
93060,64
93300,64
93540,64
93780,64
94020,65
94320,64
94800,62
95280,60
95460,67
95760,67
97200,60
97440,60
97680,62
97860,64
98340,60
98580,60
98880,60
99120,57
99600,57
111840,57
112080,60
112500,57
113040,64
115680,57
115920,60
116400,62
116820,62
117540,59
117780,59
118380,60
118440,59
118800,60
119520,57
119760,60
120240,57
120660,64
120900,62
121140,60
123300,60
123540,60
124020,62
124560,62
125280,59
125460,59
126000,60
126480,60
127200,65
127440,65
127920,67
128400,67
128880,60
129060,57
129360,60
131040,57
131280,60
131760,62
132240,62
132960,59
133200,59
133680,60
134160,60
137280,64
137460,64
137760,64
138000,64
138240,65
138480,64
138900,64
140640,62
140820,62
141300,60
141540,60
141780,62
142020,64
142740,60
143220,57
143700,55
144660,55
144900,64
145140,64
145380,64
145620,64
145860,64
145980,65
146220,64
146640,62
147060,60
147300,67
147600,67
148980,60
149220,60
149460,62
149700,64
150180,60
150420,60
150900,57
151440,55
154080,64
154320,64
154560,64
155040,64
155280,64
155520,65
155760,64
156240,64
161760,67
162000,67
162180,67
162720,64
162900,64
163200,65
163440,64
163920,64
169380,72
169620,72
169860,72
170340,67
170580,67
170820,67
171120,67
171600,67
174660,62
175380,60
176100,63
176580,62
177300,60
178020,63
178500,62
179220,60
179940,63
180420,62
181140,60
181860,62
182880,62
183120,64
183360,64
183840,64
184020,64
184320,65
184560,64
185040,64
186720,62
186960,62
187440,60
187680,60
187920,62
188160,64
188640,60
188820,60
189300,57
189840,55
190800,55
191040,64
191220,64
191460,64
191700,64
191940,65
192240,64
192660,62
193140,60
193440,67
193680,67
195060,60
195300,60
195540,62
195780,64
196260,60
196500,60
196740,60
197040,57
197460,55
198720,64
198900,64
199200,64
199440,64
199680,65
199920,64
200400,64
202080,62
202320,62
202800,60
203040,60
203220,62
203460,64
204000,60
204180,60
204720,57
205200,55
206160,55
206340,64
206580,64
206820,64
207060,64
207300,65
207600,64
208020,62
208560,59
208560,60
208740,67
209040,67
210420,60
210660,60
210900,62
211140,64
211680,60
211920,60
212340,57
212820,55
213540,64
213780,64
214020,64
214560,64
214740,64
214980,65
215280,64
215760,64
217440,62
217680,62
218160,60
218400,60
218640,62
218880,64
219300,60
219540,60
220020,57
220560,55
221460,55
221700,64
221940,64
222180,64
222420,64
222660,65
222960,64
223380,62
223860,60
224100,67
224400,67
225840,60
226080,60
226260,62
226500,64
226980,60
227220,60
227760,57
228240,55
229440,64
229620,64
229860,64
230100,64
230400,65
230640,64
231120,64
232800,62
233040,62
233520,60
233700,60
233940,62
234180,64
234660,60
234900,60
235440,57
235920,55
236820,55
237060,64
237300,64
237540,64
237780,64
238020,65
238320,64
238800,62
239220,60
239460,67
239760,67
241200,60
241380,60
241620,62
241860,64
242340,60
242580,60
242880,60
243120,57
243600,57
