time,semitone
10080,64
10200,64
10320,64
10560,64
10800,57
10920,57
11400,57
11520,59
11760,57
11880,57
12360,57
12480,59
12600,57
12720,57
12840,57
13080,62
13320,62
13920,64
14040,64
14160,64
14280,64
14400,64
14640,57
14760,57
15360,67
15600,66
15720,64
15960,62
16320,67
16440,67
16560,66
16680,64
16920,62
17040,66
17160,66
17520,64
17640,62
18120,62
18240,64
18360,62
18480,62
18600,62
18840,62
18960,62
19080,66
19200,66
19440,64
19560,62
20100,62
20220,64
20340,62
20460,62
20580,62
20820,59
22536,64
22656,64
22776,64
22956,64
23100,64
23340,57
23460,57
23940,57
24060,59
24300,57
24420,57
25020,59
25080,57
25260,57
25380,57
25620,62
25800,62
26376,64
26496,64
26616,64
26940,64
27180,57
27240,57
28080,66
28200,64
28440,62
28860,67
28920,67
29040,66
29160,64
29400,62
29520,66
29640,66
30000,64
30120,62
30600,62
30816,62
30936,62
31056,62
31296,62
31416,62
31536,66
31740,66
31980,64
32040,62
32580,62
32700,64
32760,62
32880,62
33060,62
33240,59
33360,62
33480,62
33996,59
35376,59
35580,62
35820,62
35940,62
36180,61
36420,61
36540,66
36780,66
36900,64
37080,62
37956,69
38076,69
38196,69
38316,69
38460,69
38700,67
38820,66
39060,64
39300,64
39540,62
39660,62
39780,59
39900,62
40140,64
40620,62
40740,62
40860,62
40980,64
40980,66
41220,66
41580,64
41700,62
42060,62
42180,62
42300,62
42540,57
42660,57
43140,62
43260,62
43500,64
43620,64
43860,66
43980,64
44100,62
44220,62
44700,69
44820,69
44940,69
45060,69
45180,69
45420,67
45540,66
45780,64
46020,64
46260,62
46380,62
46500,59
46620,62
46860,64
47340,62
47460,62
47580,62
47700,66
47940,66
48180,67
48300,66
48420,64
48540,62
48900,62
49020,69
49140,64
49260,64
49380,64
49860,59
49980,67
50220,66
50340,62
51900,67
52380,66
52860,62
53340,64
61980,64
62040,64
62160,64
62460,64
62640,57
62760,57
63240,57
63600,57
63720,57
64260,57
64416,57
64536,57
64656,57
64956,62
65196,62
65796,64
65856,64
65976,64
66096,64
66216,64
66480,57
66600,57
67260,67
67500,66
67620,62
68220,67
68280,67
68400,66
68520,64
68760,62
68880,66
69000,66
69276,64
69936,62
70056,64
70176,62
70296,62
70416,62
70656,62
70776,62
70896,66
71016,66
71340,64
71400,62
71880,62
72096,62
72216,62
72336,62
72576,59
72696,62
72816,62
73356,59
74760,59
75120,62
75240,62
75540,61
75780,61
75900,66
76140,66
76200,64
77340,69
77460,69
77580,69
77700,69
77820,69
78060,67
78180,66
78420,64
78660,64
78900,62
79020,62
79140,59
79260,62
79500,64
79980,62
80100,62
80220,62
80340,66
80580,66
80820,67
80940,66
81060,64
81180,62
81540,62
81660,62
81900,57
82020,57
82500,62
82620,62
82860,64
82980,64
83220,66
83340,64
83460,62
84060,69
84180,69
84300,69
84420,69
84540,69
84780,67
84900,66
85140,64
85380,64
85620,62
85740,62
85860,59
85980,62
86160,64
86700,62
86760,62
86880,62
87060,66
87300,66
87540,67
87660,66
87780,64
87900,62
88260,62
88380,69
88500,64
88620,64
88740,64
89220,57
89340,67
89580,66
89700,62
91260,67
91740,66
92220,62
92700,64
93180,62
93900,62
94020,64
94140,66
94380,64
94500,62
94740,61
94980,62
95820,62
95940,64
96060,66
96300,69
96420,64
96660,62
96780,61
96900,62
97740,62
97860,64
97980,66
98100,66
98220,64
98340,62
98580,61
98820,64
99540,62
99660,61
99780,62
100620,62
100860,66
101340,67
101820,71
102300,69
122460,69
122580,69
122700,69
122820,69
122940,69
123180,67
123300,66
123540,64
123780,64
124020,62
124140,62
124260,59
124380,62
124620,64
125100,62
125220,62
125340,62
125460,66
125700,66
125940,67
126060,66
126180,64
126300,62
126660,62
126780,62
127020,57
127140,57
127620,62
127740,62
127980,64
128100,64
128340,66
128460,64
128580,62
129180,69
129300,69
129420,69
129540,69
129660,69
129900,67
130020,66
130260,64
130500,64
130740,62
130860,62
130980,59
131100,62
131280,64
131820,62
131880,62
132000,62
132180,66
132420,66
132660,67
132780,66
132900,64
133020,62
133380,62
133500,69
133620,64
133740,64
133860,64
134340,57
134460,67
134700,66
134820,62
136380,67
136860,66
137340,62
137820,64
138300,62
138780,69
138900,69
139020,69
139140,69
139260,69
139500,67
139620,66
139860,64
140100,64
140340,62
140460,62
140580,59
140700,62
140940,64
141420,62
141540,62
141660,62
141780,66
142020,66
142260,67
142380,66
142500,64
142620,62
142980,62
143100,62
143340,57
143460,57
143940,62
144060,62
144300,64
144420,64
144660,66
144780,64
144900,62
145500,69
145620,69
145740,69
145860,69
145980,69
146220,67
146340,66
146580,64
146820,64
147060,62
147180,62
147300,59
147420,62
147600,64
148140,62
148200,62
148320,62
148500,66
148740,66
148980,67
149100,66
149220,64
149340,62
149700,62
149820,69
149940,64
150060,64
150180,64
150660,57
150780,67
151020,66
151140,62
152700,67
153180,66
153660,62
154140,64
154620,62
