time,semitone
1920,60
2400,60
2880,60
3360,60
3840,60
4320,60
4800,60
5280,60
5760,60
6240,60
6720,60
7200,60
7680,60
8160,60
8640,60
9120,60
9600,60
10080,60
13440,59
13680,59
13920,59
14160,55
14280,57
14640,59
15120,55
15240,54
15360,59
15720,57
15840,57
16080,55
17280,64
17520,64
17760,64
18000,60
18240,62
18480,64
18840,60
18960,60
19080,59
19440,64
19680,62
19920,60
21120,64
21360,64
21600,64
21840,66
22080,67
22200,66
22440,66
22800,64
22920,66
23040,67
23280,67
23400,67
23760,62
23880,64
24960,64
25200,64
25440,64
25680,66
25920,67
26160,66
26280,66
26520,59
26880,64
28800,59
29040,59
29280,59
29520,55
29640,57
30000,59
30480,55
30600,54
30720,59
31080,57
31200,57
31440,55
32640,64
32880,64
33120,64
33480,60
33600,62
33840,64
34200,60
34320,60
34440,59
34800,64
35040,62
35280,60
36480,64
36720,64
36960,64
37200,66
37440,67
37560,66
37800,66
38160,64
38280,66
38400,67
38640,67
38760,67
38880,67
39120,62
39240,64
40320,64
40560,64
40800,64
41040,66
41280,67
41520,66
41640,66
41880,59
42240,64
44640,62
45120,69
45600,66
45840,67
46320,62
46560,62
47520,64
47640,66
47760,67
48000,67
48240,62
48480,62
48720,59
48960,57
49200,69
49680,64
49920,62
52320,62
52560,62
52800,69
53280,66
53520,67
54240,62
54480,62
54960,69
55200,71
55680,67
59760,59
59880,57
60000,59
60120,57
60240,59
60600,59
60720,59
60840,57
60960,59
61080,57
61200,59
61680,59
61800,59
61920,64
62040,64
62160,59
62400,59
62640,55
62880,55
63600,60
63720,64
63840,62
63960,64
64080,62
64200,64
64560,62
64680,64
64800,62
64920,64
65160,64
65520,64
65760,64
66000,67
66240,67
66480,64
66600,64
67200,64
67440,64
67680,64
67920,66
68160,67
68280,66
68520,66
68880,64
69000,66
69120,67
69360,67
69480,67
69840,62
69960,64
71040,64
71280,64
71520,64
71760,66
72000,67
72240,66
72360,66
72600,59
72960,64
75360,62
75840,69
76320,66
76560,67
77040,62
77280,62
78240,64
78360,66
78480,67
78720,67
78960,62
79200,62
79440,59
79680,57
79920,69
80400,64
80640,62
83040,62
83280,62
83520,69
84000,66
84240,67
84960,62
85200,62
85680,69
85920,71
86400,67
108000,62
108480,69
108960,66
109200,67
109680,62
109920,62
110880,64
111000,66
111120,67
111360,67
111600,62
111840,62
112080,59
112320,57
112560,69
113040,64
113280,62
115680,62
115920,62
116160,69
116640,66
116880,67
117600,62
117840,62
118320,69
118560,71
119040,67
123360,62
123840,69
124320,66
124560,67
125040,62
125280,62
126240,64
126360,66
126480,67
126720,67
126960,62
127200,62
127440,59
127680,57
127920,69
128400,64
128640,62
131040,62
131280,62
131520,69
132000,66
132240,67
132960,62
133200,62
133680,69
133920,71
134400,67
