time,semitone
14400,64
14640,62
14880,60
15120,59
15840,55
16080,57
16800,64
17040,62
18000,55
18240,64
18480,65
18720,64
18960,59
19440,60
19800,62
20160,64
22080,64
22320,62
22560,60
22800,59
23520,55
23760,57
24480,64
24720,62
25680,55
25920,64
26160,65
26400,64
26640,59
27120,60
27480,62
27840,64
29760,64
30000,62
30240,60
30480,59
31200,55
31440,57
32160,64
32400,64
33360,57
33600,64
33840,65
33960,65
34080,64
34320,62
34800,67
35280,64
37200,64
37320,65
37440,67
37680,67
37800,67
38160,67
38280,67
38640,69
38760,67
39120,64
39240,65
39360,67
39600,65
39720,64
40080,62
40200,61
40560,61
40800,62
41040,64
41280,67
41520,65
41760,64
42000,65
43200,64
43440,65
43560,67
43920,62
44880,64
45000,65
45120,67
45360,67
45480,67
45840,67
45960,67
46320,69
46440,67
46800,64
46920,65
47040,67
47280,65
47400,64
47760,62
47880,61
48240,61
48480,62
48720,64
48960,67
49200,65
49440,64
49680,65
52800,64
53040,62
53280,60
53520,59
54240,55
54480,57
55200,64
55440,64
56640,64
56880,65
57120,64
57360,60
57840,67
58200,67
58560,64
60480,64
60720,62
60960,60
61200,59
61920,55
62160,57
62880,64
63120,64
64080,57
64320,64
64560,65
64800,64
65040,62
65520,67
65880,67
66240,64
67920,64
68160,69
68400,71
68640,72
68880,71
69360,67
69840,64
70320,62
70800,64
71760,64
72000,69
72240,71
72480,72
72720,74
73200,71
73440,71
73680,71
74160,72
75600,64
75720,65
75840,67
76080,67
76200,67
76560,67
76680,67
77040,69
77160,67
77520,64
77640,65
77760,67
78000,65
78120,64
78480,62
78600,61
78960,61
79200,62
79440,64
79680,67
79920,65
80160,64
80400,65
81600,64
81840,65
81960,67
82320,62
83280,64
83400,65
83520,67
83760,67
83880,67
84240,67
84360,67
84720,69
84840,67
85200,64
85320,65
85440,67
85680,65
85800,64
86160,62
86280,61
86640,61
86880,62
87120,64
87360,67
87600,65
87840,64
88080,65
109200,64
109320,65
109440,67
109680,67
109800,67
110160,67
110280,67
110640,69
110760,67
111120,64
111240,65
111360,67
111600,65
111720,64
112080,62
112200,61
112560,61
112800,62
113040,64
113280,67
113280,65
113520,65
113760,64
114000,65
115200,64
115440,65
115560,67
115920,62
116880,64
117000,65
117120,67
117360,67
117480,67
117840,67
117960,67
118320,69
118440,67
118800,64
118920,65
119040,67
119280,65
119400,64
119760,62
119880,61
120240,61
120480,62
120720,64
120960,67
121200,65
121440,64
121680,65
124560,64
124680,65
124800,67
125040,67
125160,67
125520,67
125640,67
126000,69
126120,67
126480,64
126600,65
126720,67
126960,65
127080,64
127380,62
127500,61
127860,61
128070,62
128250,64
128430,64
128550,64
128670,67
128910,65
129150,64
129390,65
130590,70
130830,68
131070,67
131310,68
132270,67
132390,68
132510,70
132750,70
132870,70
133230,70
133350,70
133710,72
133830,70
134190,67
134310,68
134430,70
134670,68
134790,67
135150,65
135270,64
135630,64
135870,65
136110,67
136350,70
136590,68
136830,67
137070,68
138270,67
138510,68
138630,70
138990,65
139950,64
140070,65
140190,67
140430,67
140550,67
140910,67
141030,67
141372,69
141492,67
141852,64
141972,65
142110,67
142350,65
142470,64
142830,62
142950,61
143292,61
143532,62
143772,64
144030,67
144030,65
144270,65
144510,64
144750,65
145950,64
146190,65
146310,67
146670,62
147630,64
147750,65
147870,67
148110,67
148230,67
148590,67
148710,67
149070,69
149190,67
149550,64
149670,65
149790,67
150030,65
150150,64
150510,62
150630,61
150972,61
151212,62
151452,64
151710,67
151950,65
152190,64
152430,65
