time,semitone
3780,60
4320,59
4800,57
5280,60
6480,60
6660,59
7140,60
7620,62
8100,59
9360,52
9600,60
10020,59
10500,57
11040,60
12240,60
12432,59
12912,60
13392,62
13950,59
15150,59
15330,65
15810,64
16590,57
16770,65
18030,57
18210,64
18690,62
19230,60
19650,62
20910,57
21150,65
21570,64
22350,57
22530,65
23790,57
23970,64
24450,62
24930,60
25410,62
25890,60
26370,59
26850,57
29550,52
29790,57
30690,59
30990,60
31230,57
32130,57
32610,56
33090,57
33570,59
34050,57
36990,61
37950,62
38430,64
39330,57
39810,64
42690,64
43710,66
44130,67
45132,64
45612,62
48450,61
49410,62
49890,64
50832,57
51312,64
54210,64
55170,66
55710,67
56610,64
57090,62
62850,60
63390,59
63810,57
64350,60
65550,60
65730,59
66210,60
66690,62
67170,59
68430,52
68622,60
69102,59
69570,57
70050,60
71304,60
71484,59
71964,60
72444,62
72924,59
74364,65
74844,64
75612,57
75852,65
76992,57
77232,64
77712,62
78252,60
78672,62
79950,57
80130,65
80610,64
81390,57
81570,65
82830,57
83010,64
83490,62
83970,60
84450,62
84930,60
85470,59
85890,57
88590,52
88770,57
89730,59
89970,60
90210,57
91230,57
91650,56
92130,57
92610,59
93090,57
95970,61
96912,62
97392,64
98430,57
98850,64
101730,64
102732,66
103212,67
104130,64
104610,62
107490,61
108432,62
108972,64
109890,57
110370,64
113250,64
114210,66
114750,67
115650,64
116130,62
149250,61
149730,61
150210,61
150450,62
150690,64
151170,62
151650,61
152190,59
152610,59
153090,59
153330,61
153570,62
154050,61
154530,59
155010,59
155490,59
156030,59
156210,61
156450,62
156930,61
157410,59
157890,57
158370,57
158850,57
159090,59
159330,60
159810,59
160290,57
160770,61
161310,61
161730,61
161970,62
162210,64
162690,62
163170,61
163650,59
164130,59
164610,59
164910,61
165090,62
165570,61
166050,59
166530,59
167010,59
167490,59
167730,61
167970,62
168450,61
168930,59
169410,57
169890,57
170370,57
170610,59
170850,60
171330,59
171810,57
172290,61
172830,61
173250,61
173490,62
173730,64
174210,62
174690,61
175170,59
175650,59
176130,59
176370,61
176610,62
177090,61
177570,59
178050,59
178530,59
178992,59
179232,61
179472,62
179952,61
180432,59
180930,57
181470,57
181950,57
182130,59
182370,60
182850,59
183330,57
183810,61
184290,61
184770,61
185010,62
185250,64
185730,62
186270,61
186690,59
187170,59
187650,59
187890,61
188130,62
188610,61
189090,59
189570,59
190050,59
190512,59
190752,61
190992,62
191472,61
191952,59
192450,57
192990,57
193410,57
193650,59
193890,60
194370,59
194850,57
195330,61
195810,61
196290,61
196530,62
196830,64
197250,62
197730,61
198210,59
198690,59
199170,59
199410,61
199650,62
200130,61
200670,59
201090,59
201630,59
202050,59
202290,61
202530,62
203010,61
203490,59
203970,57
204450,57
204930,57
205170,59
205410,60
205890,59
206370,57
206910,61
207870,62
208350,64
209310,57
209730,64
212610,64
213630,66
214050,67
215070,64
215490,62
218370,61
219330,62
219810,64
220830,57
221250,64
224130,64
225150,66
225570,67
226530,64
227010,62
229950,61
230910,62
231330,64
232350,57
232830,64
235650,64
236610,66
237090,67
238050,64
238530,62
241470,61
242430,62
242910,64
243870,57
244350,64
247170,64
248130,66
248610,67
249630,64
250050,62
252930,61
253890,62
254370,64
255330,57
255810,64
258690,64
259650,66
260130,67
261090,64
261570,62
276030,61
276930,62
277410,64
278370,57
278850,64
