time,semitone
4320,64
6720,64
8640,64
9600,64
9840,64
10080,59
10320,59
10560,60
11280,59
11520,57
11760,57
12000,57
12240,60
12480,59
13440,59
13680,59
13920,57
14160,57
14400,55
14880,54
15120,54
15360,57
15600,57
15840,55
16080,55
16320,54
17280,57
17520,59
17760,57
18000,59
18240,61
18720,61
19200,57
19440,59
19680,57
19920,59
20160,60
20640,64
21120,59
24960,64
25200,64
25440,59
25680,59
25920,60
26640,59
26880,57
27120,57
27360,57
27600,60
27840,59
28800,59
29040,59
29280,57
29520,57
29760,55
30480,54
30720,57
30960,57
31200,55
31440,55
31680,54
32640,57
32880,59
33120,57
33360,59
33600,61
34080,61
34560,57
34800,59
35040,57
35280,59
35520,60
35760,60
36000,64
36240,64
36480,59
40320,69
40560,71
40800,69
41040,71
41280,72
41520,71
42480,71
42720,69
42960,71
43200,72
43440,71
43680,69
43920,71
44160,69
44640,71
44880,69
45120,71
45360,69
46320,64
46560,67
46800,69
47040,71
47280,69
47520,67
47760,64
48000,67
48480,69
48720,67
48960,69
49200,67
50160,71
50400,69
50640,71
50880,72
51120,71
51360,67
51840,64
55680,69
55920,71
56160,69
56400,71
56640,72
56880,71
57840,71
58080,69
58320,71
58560,72
58800,71
59040,69
59280,71
59520,69
60000,71
60240,69
60480,71
60720,69
61680,64
61920,67
62160,69
62400,71
62640,69
62880,67
63120,64
63360,67
63840,69
64080,67
64320,69
64560,67
65520,71
65760,69
66000,71
66240,72
66480,71
66720,67
67200,64
71040,64
71520,59
71760,62
72000,61
72480,57
72720,61
72960,60
73440,57
73680,60
73920,59
74400,57
74640,57
74880,57
75120,59
75360,57
75600,59
76320,57
76560,57
76800,57
77040,59
77280,57
77520,59
78720,64
79200,59
79440,62
79680,61
80160,57
80400,61
80640,60
81120,57
81360,60
81840,59
82080,59
82320,59
82560,57
82800,59
83040,57
83280,59
83520,60
83760,59
84000,57
84240,57
84480,59
86400,64
86880,59
87120,62
87360,61
87840,57
88080,61
88320,60
88800,57
89040,60
89760,57
90000,57
90240,57
90480,59
90720,57
90960,59
91680,57
91920,57
92160,57
92400,59
92640,57
92880,59
94080,64
94560,59
94800,62
95040,61
95520,57
95760,61
96000,60
96480,57
96720,60
97200,59
97440,59
97680,59
97920,57
98160,59
98400,57
98640,59
98880,60
99120,59
99360,57
99600,57
99840,59
103680,69
103920,71
104160,69
104400,71
104640,72
104880,71
105840,71
106080,69
106320,71
106560,72
106800,71
107040,69
107280,71
107520,69
108000,71
108240,69
108480,71
108720,69
109680,64
109920,67
110160,69
110400,71
110640,69
110880,67
111120,64
111360,67
111840,69
112080,67
112320,69
112560,67
113520,71
113760,69
114000,71
114240,72
114480,71
114720,67
115200,64
119040,69
119280,71
119520,69
119760,71
120000,72
120240,71
121200,71
121440,69
121680,71
121920,72
122160,71
122400,69
122640,71
122880,69
123360,71
123600,69
123840,71
124080,69
125040,64
125280,67
125520,69
125760,71
126000,69
126240,67
126480,64
126720,67
127200,69
127440,67
127680,69
127920,67
128880,71
129120,69
129360,71
129600,72
129840,71
130080,67
130560,64
134400,71
135120,69
135360,72
136080,69
136320,72
136560,71
136800,69
137040,71
138240,71
138480,71
138720,69
138960,69
139200,67
139680,66
139920,66
140160,69
140400,69
140640,67
140880,67
141120,66
142080,69
142320,71
142560,69
142800,71
143040,73
143520,73
144000,69
144240,71
144480,69
144720,71
144960,72
145200,72
145440,76
145920,71
149760,71
150480,69
150720,72
151440,69
151680,72
151920,71
152160,69
152400,71
153360,59
153600,71
153840,71
154080,69
154320,69
154560,67
155040,66
155520,69
155760,69
156000,67
156240,67
156480,66
157440,69
157680,71
157920,69
158160,71
158400,73
158880,73
159360,69
159600,71
159840,69
160080,71
160320,72
160560,72
160800,76
161280,71
195840,69
196080,71
196320,69
196560,71
196800,72
197040,71
198000,71
198240,69
198480,71
198720,72
198960,71
199200,69
199440,71
199680,69
200160,71
200400,69
200640,71
200880,69
201840,64
202080,67
202320,69
202560,71
202800,69
203040,67
203280,64
203520,67
204000,69
204240,67
204480,69
204720,67
205680,71
205920,69
206160,71
206400,72
206640,71
206880,67
207360,64
211200,69
211440,71
211680,69
211920,71
212160,72
212400,71
213360,71
213600,69
213840,71
214080,72
214320,71
214560,69
214800,71
215040,69
215520,71
215760,69
216000,71
216240,69
217200,64
217440,67
217680,69
217920,71
218160,69
218400,67
218640,64
218880,67
219360,69
219600,67
219840,69
220080,67
221040,71
221280,69
221520,71
221760,72
222000,71
222240,67
222720,64
223200,71
223680,69
223920,67
224160,69
224400,67
224640,71
225120,69
225360,71
225600,69
225840,67
226080,62
226320,64
