time,semitone
11340,69
11760,70
11940,67
13200,64
13320,65
13440,67
13680,67
13800,67
14040,65
14280,65
14880,60
15120,69
15600,70
15720,67
17040,64
17160,65
17280,67
17520,67
17640,67
17940,65
18120,65
18720,69
19440,65
19560,65
20880,64
21000,65
21120,67
21360,67
21480,67
21780,65
21960,65
22560,60
22860,69
23340,65
23460,65
24720,64
24840,65
24960,67
25200,67
25320,67
25560,65
25800,65
26400,60
26640,69
27120,65
27240,65
28560,64
28680,65
28800,67
29040,67
29160,67
29400,65
29640,60
30360,64
30600,65
30720,67
30960,67
31080,67
31320,65
31560,65
32280,64
32520,65
32640,67
32880,67
33000,67
33240,65
33480,60
34320,57
34560,60
35400,58
35520,58
36180,60
36360,58
36480,57
36720,55
36840,57
37080,60
37320,65
38160,57
38400,60
39240,58
39360,58
39960,60
40200,58
40320,57
40560,55
40680,57
40980,60
41220,65
41760,60
41940,65
42120,69
42300,67
42480,65
42660,65
43320,60
43560,60
43680,60
43860,65
44040,69
44160,67
44400,65
44520,67
45600,62
45720,65
45840,65
45960,62
46080,69
46320,67
47520,57
47640,60
47760,60
47880,57
48000,67
48240,65
49440,69
49620,67
49800,65
49980,62
50400,69
50580,67
50760,65
50940,60
51360,69
51540,67
51720,65
51900,60
53280,57
53400,60
53520,60
53640,57
53760,69
54000,67
55200,57
55320,60
55440,60
55560,57
55680,67
55920,65
57360,60
57480,60
57600,58
57840,60
57960,62
58200,65
58440,67
59280,65
59520,62
60120,65
60360,62
60480,67
61080,65
61320,58
61440,58
61680,57
64800,69
65520,70
65700,67
66840,64
67080,65
67200,67
67440,67
67560,67
67800,65
68040,65
68760,64
69000,65
69120,67
69360,67
69480,67
69720,69
70080,65
70680,64
70920,65
71040,67
71280,67
71400,67
71640,65
71880,60
72720,57
72960,60
73800,58
73920,58
74520,60
74760,58
74880,57
75120,55
75240,57
75480,60
75720,65
76560,57
76680,58
78360,60
78600,58
78720,57
78960,55
79080,57
79320,67
79680,65
80160,60
80340,65
80520,69
80700,67
80880,65
81000,65
81780,60
81960,60
82080,60
82260,65
82440,69
82560,67
82800,65
82920,67
84000,62
84120,65
84240,65
84360,62
84480,69
84720,67
85920,57
86040,60
86160,60
86280,57
86400,67
86640,65
87840,69
88020,67
88200,65
88380,62
88800,69
88980,67
89160,65
89340,60
89760,69
89940,67
90120,65
90300,60
91680,57
91800,60
91920,60
92040,57
92160,69
92400,67
93600,57
93720,60
93840,60
93960,57
94080,67
94320,65
95760,60
95880,60
96000,58
96240,60
96360,62
96600,65
96840,67
97680,65
97920,62
98520,65
98760,62
98880,67
99480,65
99720,67
99840,67
100080,65
101280,60
101520,63
101760,61
102000,60
102120,61
102360,63
102600,63
103440,61
103680,60
103920,58
104040,60
104280,63
104520,68
105120,60
105360,63
105600,61
105840,60
105960,61
106200,63
106440,63
107040,60
107280,63
107520,60
107760,58
107880,60
108120,63
108360,68
108840,70
108960,72
109440,61
109680,60
109800,61
110040,65
110340,70
111120,68
111360,65
111900,65
112020,68
112200,65
112320,70
112920,68
113040,67
113160,65
113280,67
116640,62
116760,65
116880,65
117000,62
117120,69
117360,67
118560,57
118680,60
118800,60
118920,57
119040,67
119280,65
120480,69
120660,67
120840,65
121020,62
121440,69
121620,67
121800,65
121980,60
122400,69
122580,67
122760,65
122940,60
124320,57
124440,60
124560,60
124680,57
124800,69
125040,67
126240,57
126360,60
126480,60
126600,57
126720,67
126960,65
128400,60
128520,60
128640,58
128880,60
129000,62
129240,65
129480,67
130320,65
130560,62
131160,65
131400,62
131520,67
132000,62
132120,65
132120,65
132240,65
132360,67
132360,62
132480,69
132480,67
132720,67
132720,65
133920,57
134040,60
134160,60
134280,57
134400,67
134640,65
135840,69
136020,67
136200,65
136380,62
136800,69
136980,67
137160,65
137340,60
137760,69
137940,67
138120,65
138300,60
139680,57
139800,60
139920,60
140040,57
140160,69
140400,70
141600,67
141720,69
141840,70
141960,72
142080,67
142320,69
143760,60
143880,60
144000,69
144240,69
144360,67
144600,65
144960,62
145680,60
145920,65
147480,65
147720,60
147840,67
149400,65
149580,58
149760,58
150000,57
