time,semitone
11880,63
12000,66
12240,63
12360,66
12720,63
12960,66
13200,63
13440,68
13680,63
15720,63
15840,66
16080,63
16200,66
16560,63
16800,66
17040,63
17280,71
17520,70
19560,68
19680,75
19920,73
20040,71
20400,71
20640,71
20880,68
21120,73
21360,68
23400,68
23520,75
23760,73
24000,73
24240,71
24480,71
24720,68
24960,73
27240,63
27360,66
27600,63
27720,66
28080,63
28320,66
28560,63
28800,68
29760,63
31080,63
31200,66
31440,63
31560,66
31920,63
32160,66
32400,63
32640,71
32880,70
34920,68
35040,75
35280,73
35400,71
35760,71
36000,71
36240,68
36480,73
36720,68
38760,68
38880,75
39120,73
39360,73
39600,71
39840,71
40080,68
40320,73
40800,75
41040,75
42720,83
43200,82
43680,75
44400,71
44640,80
44880,78
45360,78
45600,71
46560,76
47040,75
47280,73
47520,71
47760,71
48000,75
48480,76
48720,75
50400,83
50880,82
51360,75
52080,71
52320,80
52560,78
53040,78
53280,71
54240,73
54720,73
54960,75
55200,76
55440,75
66600,63
66720,66
66960,63
67080,66
67440,63
67680,66
67920,63
68160,68
68400,63
70440,63
70560,66
70800,63
70920,66
71280,63
71520,66
71760,63
72000,71
72240,70
74280,68
74400,75
74640,73
74760,73
75120,71
75360,71
75600,68
75840,73
76080,68
78120,68
78240,75
78480,73
78600,71
78960,71
79200,71
79440,68
79680,73
80160,75
80400,75
82080,83
82560,82
83040,75
83760,71
84000,80
84240,78
84720,78
84960,71
85920,76
86400,75
86640,73
86880,71
87120,71
87360,75
87840,76
88080,75
89760,83
90240,82
90720,75
91440,71
91680,80
91920,78
92400,78
92640,71
93600,73
94080,73
94320,75
94560,76
94800,75
120480,83
120960,82
121440,75
122160,71
122400,80
122640,78
123120,78
123360,71
124320,76
124800,75
125040,73
125280,71
125520,71
125760,75
126240,76
126480,75
128160,83
128640,82
129120,75
129840,71
130080,80
130320,78
130800,78
131040,71
132000,73
132480,73
132720,75
132960,76
133200,75
135840,83
136320,82
136800,75
137760,80
138240,78
138720,71
139680,83
140160,82
140400,75
140640,75
140880,75
141960,73
142080,75
142200,78
142320,75
143520,83
144000,82
144480,75
145200,71
145440,80
145680,78
146160,78
146400,71
147360,73
147840,73
148080,75
148320,76
148560,75
