time,semitone
1920,65
2880,65
3840,65
4800,65
5760,65
7680,65
8160,65
8640,65
9120,65
10080,72
10320,70
10560,70
10800,69
11040,67
11280,65
11520,67
11760,60
12240,62
12720,65
13440,72
13680,69
14160,67
14640,65
14880,69
17280,72
17520,70
17760,70
18000,69
18240,69
18480,67
18960,72
19440,69
19680,70
19920,69
20160,69
20400,67
20640,65
21120,69
22800,72
23280,67
23520,67
24960,69
25440,72
25680,67
26160,72
26640,67
28800,72
29040,72
29520,74
30000,72
30480,67
32160,72
32640,72
33120,70
33360,70
33840,69
34320,69
34800,70
35040,70
35760,67
36000,67
36240,69
36480,70
36840,70
37200,70
37680,72
38160,73
38640,72
42240,77
43200,76
44160,72
45120,69
46080,77
47040,76
48000,72
48480,69
48960,79
49440,77
51120,77
51600,76
52080,72
52560,72
53040,69
53520,72
54000,69
57600,77
58560,76
59520,72
60480,69
61440,77
62400,76
63360,72
63840,69
64320,79
64800,77
67200,74
68400,72
68640,77
68880,79
69120,80
69480,79
69840,79
70320,77
71040,72
75360,72
75600,70
75840,70
76080,69
76320,67
76560,65
76800,67
77040,60
77520,62
78000,65
78720,72
78960,69
79440,67
79920,72
80400,67
82080,72
82560,72
83040,70
83280,70
83760,69
84240,69
84720,70
84960,70
85680,65
85920,67
86160,69
86400,70
86760,70
87120,70
87600,72
88080,73
88560,72
92160,77
93120,76
94140,72
95100,69
96060,77
97020,76
97980,72
98460,69
98940,79
99420,77
101100,77
101580,76
102060,72
102540,72
103020,69
103500,72
103980,69
107580,77
108540,76
109500,72
110460,69
111420,77
112380,76
113340,72
113820,69
114300,79
114780,77
117180,74
118380,72
118620,77
118860,79
119100,80
119460,79
119820,79
120300,77
121020,72
138300,77
139260,76
140220,72
141180,69
142140,77
143100,76
144060,72
144540,69
145020,79
145500,77
147180,77
147660,76
148140,72
148620,72
149100,69
149580,72
150060,69
153660,77
154620,76
155580,72
156540,69
157500,77
158460,76
159420,72
159900,69
160380,79
160860,77
163260,74
165180,77
166140,76
167100,72
168060,69
169020,77
169980,76
170940,72
171420,69
171900,79
172380,77
174060,77
174540,76
175020,72
175500,72
175980,69
176460,72
176940,69
180540,77
181500,76
182460,72
183420,69
184380,77
185340,76
186300,72
186780,69
187260,79
187740,77
190140,74
191340,72
191580,77
191820,79
192060,80
192420,79
192780,79
193260,77
193980,72
195660,72
195900,77
196140,77
196740,77
197100,80
197820,79
198300,77
198540,76
199740,77
200700,76
201660,72
202620,69
203580,77
204540,76
205500,72
205980,69
206460,79
206940,77
209820,69
210300,79
210780,77
213660,69
214140,79
214620,77
217500,72
217980,79
218460,81
220140,79
220380,77
221340,69
221820,79
222300,77
225180,72
225660,79
226140,81
229020,69
229500,79
229980,77
233340,74
