time,semitone
15540,72
15780,72
15900,71
16020,72
16260,74
16380,72
17100,64
17220,64
17340,65
17460,67
17700,67
17820,69
17940,67
18180,65
18300,64
19620,62
19740,64
19860,65
20100,69
20220,67
20580,65
20700,64
21060,62
21180,64
21540,65
21660,64
22020,60
22140,55
23220,72
23460,72
23580,71
23700,72
23940,74
24060,72
24780,64
24900,64
25020,65
25140,67
25380,67
25500,69
25620,67
25860,65
25980,64
27300,62
27420,64
27540,65
27780,69
27900,67
28260,65
28380,64
28740,62
28860,60
38580,72
38700,72
38940,71
39060,72
39300,74
39420,72
40140,64
40260,64
40380,65
40500,67
40740,67
40860,69
40980,67
41220,65
41340,64
42660,62
42780,64
42900,65
43140,69
43260,67
43620,65
43740,64
44100,62
44220,64
44580,65
44700,64
45060,60
45180,55
46260,72
46500,72
46620,71
46740,72
46980,74
47100,72
47820,64
47940,64
48060,65
48180,67
48420,67
48540,69
48660,67
48900,65
49020,64
50340,62
50460,64
50580,65
50820,67
50940,69
51300,71
51420,71
51540,72
51780,71
51900,72
53340,67
53460,69
53580,67
53700,65
53940,67
57780,74
57900,74
58140,74
58260,74
58500,74
58620,72
58980,72
59100,72
59460,72
59580,72
59940,76
61620,74
61740,74
61980,74
62100,74
62340,74
62460,72
62820,69
62940,72
63300,74
63420,72
65460,74
65580,74
65820,74
65940,74
66060,72
66300,72
66420,72
66660,72
66780,72
66900,72
67380,76
69180,67
69300,74
69420,74
69660,74
69780,74
70020,74
70140,72
70500,69
70620,72
70980,74
71100,72
72900,72
73020,71
73140,69
73380,69
73620,69
73860,67
73980,65
74820,71
74940,69
75060,67
75300,67
75420,69
75540,67
75780,65
75900,64
76740,69
76860,67
76980,65
77220,65
77460,65
77700,64
77940,62
78180,64
78420,65
78660,62
78900,60
79260,57
79380,60
79620,60
79740,60
