time,semitone
18960,55
19200,64
19680,67
19920,62
20880,55
21000,55
21120,69
21360,67
21540,67
21780,64
22080,62
22800,60
23040,59
23400,60
23760,62
24000,59
24360,55
24720,52
24960,57
26640,55
26880,64
27360,67
27600,62
28560,55
28680,55
28800,69
29040,67
29160,67
29400,64
29760,62
30480,55
30600,55
30720,69
30960,67
31080,67
31380,64
31700,62
32660,62
32900,64
33020,64
34340,55
34580,67
34940,65
35300,64
35540,62
35900,60
36260,59
36500,60
38180,55
38420,67
38780,65
39140,64
39380,62
39740,60
40340,67
40700,69
41060,62
41480,64
42020,55
42260,67
42620,65
42980,64
43220,62
43580,60
43880,59
44180,60
45860,55
46100,67
46460,65
46820,64
47060,62
47420,60
47780,67
49460,60
49580,60
49700,62
49940,64
50420,67
50660,62
51140,52
51260,52
51380,65
51500,65
51620,64
51740,62
51860,62
51980,60
52100,60
52580,60
52820,58
53060,60
53300,62
53540,64
53780,60
54500,60
54740,59
54980,62
55220,60
55460,55
55580,55
55700,67
55940,67
56060,65
56300,64
56660,62
57140,60
57260,60
57320,62
57440,60
57620,64
58100,67
58340,62
58820,55
58940,55
59060,65
59180,65
59300,64
59420,62
59540,62
59660,60
59780,60
60260,60
60380,59
60500,58
60980,67
61160,65
61340,64
61460,64
61640,65
61820,57
62060,60
62360,62
63140,57
63260,57
63380,65
63620,65
63740,64
63980,62
64340,60
64820,59
65300,60
72740,55
72980,64
73460,67
73700,62
74660,55
74780,55
74900,69
75140,67
75260,67
75500,64
75860,62
76580,60
76820,59
77180,60
77480,62
77780,59
78140,55
78500,52
78740,57
80420,55
80660,64
81140,67
81380,62
82280,55
82460,55
82580,69
82820,67
82940,67
83180,64
83540,62
84260,55
84380,55
84500,69
84740,67
84860,67
85100,64
85420,62
86380,62
86680,64
86800,64
88060,55
88300,67
88740,65
89040,64
89340,62
89700,60
90000,59
91960,55
92200,67
92560,65
92860,64
93160,62
93520,60
94060,67
94500,69
94800,62
95280,64
95760,55
96420,65
96720,64
97020,62
97380,60
97680,59
99580,55
99820,67
100260,65
100560,64
100860,62
101220,60
101580,67
103240,60
103360,60
103480,62
103720,64
104140,67
104440,62
104860,52
104980,52
105100,65
105280,65
105340,64
105520,62
105640,62
105700,60
105820,60
106300,60
106600,58
106840,60
107080,62
107320,64
107560,60
108280,60
108520,59
108760,62
108940,60
109240,55
109360,55
109480,67
109660,67
109840,65
110020,64
110380,62
110860,60
110980,60
111100,62
111220,60
111340,64
111840,67
112140,62
112620,55
112680,55
112800,65
112920,65
113040,64
113160,62
113320,62
113380,60
113500,60
113980,60
114100,59
114280,58
114700,67
114880,65
115060,64
115180,64
115420,65
115540,57
115780,60
116140,62
116860,57
116980,57
117160,65
117340,65
117460,64
117760,62
118120,60
118540,59
119020,60
122440,62
122560,62
122680,64
122920,66
123340,69
123640,64
124060,54
124180,54
124300,67
124480,67
124540,66
124720,64
124840,64
124900,62
125020,62
125500,62
125800,60
126040,62
126280,64
126520,66
126760,62
127480,62
127720,61
127960,64
128140,62
128440,57
128560,57
128680,69
128860,69
129040,67
129220,66
129580,64
130060,62
130180,62
130300,64
130420,62
130540,66
131040,69
131340,64
131820,57
131880,57
132000,67
132120,67
132240,66
132360,64
132520,64
132580,62
132700,62
133180,62
133300,61
133480,60
133900,69
134080,67
134260,66
134380,66
134620,67
134740,59
134980,62
135340,64
136060,59
136180,59
136360,67
136540,67
136660,66
136960,64
137320,62
137740,61
138220,62
