time,semitone
12000,57
12060,59
12480,59
13020,56
13440,57
13920,56
14400,54
14940,52
15120,54
15420,54
17220,56
17280,57
17760,56
18240,54
18720,52
19020,49
19260,49
21060,56
21140,57
21620,56
22100,54
22580,52
23060,49
27320,57
27380,59
27860,59
28340,56
28820,57
29300,56
29780,54
30260,52
30500,54
30740,54
32600,56
32660,57
33140,56
33620,54
34100,52
34340,49
34580,49
36380,56
36500,57
36980,56
37460,57
37940,59
38420,57
38480,59
39140,52
39380,52
42620,62
42740,64
43220,64
43700,64
43940,66
44180,66
44660,64
45140,66
45620,68
46580,64
47060,64
47540,64
47780,66
48020,66
48500,64
48980,66
49460,68
49940,66
50660,64
50900,64
52700,62
52820,64
53060,66
53300,68
53780,66
54500,64
54740,64
57980,62
58100,64
58580,64
59060,64
59300,66
59540,66
60020,64
60500,66
60980,68
61940,62
62000,64
62420,64
62900,64
63140,66
63380,66
63860,64
64340,66
64820,68
65300,66
68180,64
68420,66
68660,68
69140,69
69860,68
70580,64
71960,66
72020,68
72500,66
72980,64
77240,57
77300,59
77780,59
78260,56
78740,57
79220,56
79700,54
80180,52
80420,54
80660,54
82460,56
82580,57
83060,56
83540,54
84020,52
84260,49
84500,49
86360,56
86440,57
86860,56
87400,54
87880,52
88300,49
92560,57
92680,59
93160,59
93640,56
94060,57
94600,56
95080,54
95560,52
95800,54
96040,54
97840,56
97960,57
98440,56
98920,54
99400,52
99640,49
99880,49
101680,56
101740,57
102300,56
102720,57
103260,59
103800,59
104460,52
104700,52
107920,62
107980,64
108520,64
109000,64
109240,66
109480,66
109960,64
110380,66
110920,68
111880,64
112360,64
112840,64
113080,66
113320,66
113800,64
114280,66
114760,68
115240,66
115960,64
116200,64
118000,62
118060,64
118300,66
118540,68
119080,66
119800,64
120040,64
123280,62
123340,64
123880,64
124360,64
124600,66
124840,66
125320,64
125800,66
126280,68
127240,62
127300,64
127720,64
128200,64
128440,66
128680,66
129160,64
129640,66
130060,68
130600,66
133480,64
133720,66
133960,68
134440,69
135160,68
135880,64
137200,66
137320,68
137740,66
138280,64
138280,56
139000,52
139240,54
139420,56
139720,54
139960,56
140380,56
140920,52
141100,54
141340,56
141580,56
141880,54
142120,56
142840,52
143080,54
143260,56
143560,54
143740,56
144220,56
144760,52
144940,54
145180,56
145420,56
145660,54
145900,56
146680,52
146920,54
147100,56
147400,54
147640,56
148120,56
148600,52
148780,54
149020,56
149260,56
149560,54
149800,56
150520,52
150760,54
150940,56
151180,54
151420,56
151960,56
152440,52
152620,54
152860,56
153100,56
153340,54
154080,57
154140,59
154620,59
155100,56
156000,56
156540,54
157020,52
157260,54
157480,54
159280,56
159400,57
159880,56
160360,54
160840,52
161080,49
161320,49
163120,56
163200,57
163680,56
164220,54
164640,52
165120,49
169380,50
169440,52
169740,52
170220,54
170700,54
171180,52
171660,54
172140,56
177000,62
177060,64
177360,64
177840,66
178320,66
178860,64
179340,66
179820,68
180480,66
181260,64
181920,64
184320,56
185040,52
185280,54
185520,56
185760,54
186000,56
186480,56
186960,52
187200,54
187440,56
187680,56
187920,54
188160,56
188880,52
189120,54
189360,56
189600,54
189840,56
190320,56
190800,52
191040,54
191280,56
191520,56
191760,54
192000,56
192720,52
192960,54
193200,56
193440,54
193680,56
194160,56
194640,52
194880,54
195120,56
195360,56
195600,54
195840,56
196560,52
196800,54
197040,56
197280,54
197520,56
198000,56
198540,52
198720,54
198960,56
199200,56
199440,54
200100,62
200160,64
200700,64
201120,64
201360,66
201600,66
202080,64
202560,66
203040,68
204000,64
204540,64
204960,64
205260,66
205500,66
205920,64
206400,66
206880,68
207360,66
208080,64
208320,64
210120,62
210240,64
210480,66
210720,68
211200,66
211920,64
212220,64
215460,62
215520,64
216000,64
216480,64
216720,66
216960,66
217440,64
217920,66
218400,68
219360,62
219480,64
219900,64
220380,64
220620,66
220860,66
221340,64
221760,66
222240,68
222780,66
225660,64
225840,66
226080,68
226560,69
227280,68
228000,64
229380,66
229500,68
229920,66
230400,64
230400,56
231120,52
231360,54
231600,56
231840,54
232080,56
232560,56
233040,52
233280,54
233520,56
233760,56
234000,54
234240,56
234960,52
235200,54
235440,56
235680,54
235920,56
236400,56
236880,52
237120,54
237360,56
237600,56
237840,54
238080,56
238800,52
239040,54
239280,56
239520,54
239760,56
240240,56
240720,52
240960,54
241200,56
241440,56
241680,54
241920,56
242640,52
242880,54
243120,56
243360,54
243600,56
244080,56
244620,52
244860,52
