time,semitone
44160,55
44640,55
44880,55
45360,55
45840,55
47520,52
47760,53
48240,55
48720,55
49200,55
49240,57
49660,55
50140,57
51820,53
51900,55
52320,53
52560,53
53040,52
53520,50
53600,52
54240,50
54480,48
54960,50
55440,52
55920,50
56160,52
59280,52
59520,52
60000,50
60240,49
60720,50
61200,53
63240,48
63360,50
63720,48
64200,47
64680,48
65160,52
65400,50
65640,52
67200,52
67680,50
67920,57
68460,54
68880,52
69120,50
70080,50
70400,52
70560,54
70920,55
72000,60
72240,59
72480,57
72720,55
72960,55
74880,55
75360,55
75600,55
76080,55
76560,55
78240,52
78480,53
78960,55
79440,55
79740,59
79820,60
80180,57
80540,55
82580,53
82660,55
83020,53
83380,60
83860,56
83940,57
84300,55
84960,53
85200,55
85920,53
86280,52
89980,52
90220,52
90720,50
90960,49
91440,50
91920,53
93100,55
93580,52
94060,50
94560,48
94920,47
95400,48
95880,52
96120,50
96360,52
97680,52
98400,53
98760,50
99360,48
99680,47
100320,47
100800,45
101160,47
101640,50
103660,60
104620,62
105580,64
106080,55
106320,60
106800,62
106880,64
107300,62
107940,64
108020,65
108500,64
108980,62
109440,60
109920,52
110160,57
110640,60
111120,58
112320,64
112800,62
113040,60
113580,57
115500,57
115920,59
116400,60
116880,62
119040,60
120000,62
120960,64
121440,55
121680,60
122160,62
122240,64
122660,62
123300,64
123380,65
123860,64
124340,62
124820,60
125300,52
125540,57
126020,60
126500,58
127700,64
128180,62
128420,60
129140,57
129380,59
129860,60
130340,62
131540,60
131780,59
132260,60
140180,55
140660,55
140900,55
141380,55
141860,55
143540,52
143780,53
144260,55
144740,55
144980,59
145060,60
145420,57
145780,55
147820,53
147900,55
148320,53
148680,60
149100,56
149180,57
149600,55
150240,53
150480,55
151200,53
151560,52
155280,52
155520,52
156000,50
156240,49
156720,50
157200,53
158400,55
158880,52
159360,50
159840,48
160200,47
160680,48
161160,52
161400,50
161640,52
162960,52
163200,52
163680,53
164040,50
164640,48
164960,47
165120,48
165600,47
166080,45
166440,47
166920,50
168960,60
169920,62
170880,64
171360,55
171600,60
172080,62
172160,64
172580,62
173220,64
173300,65
173780,64
174260,62
174740,60
175220,52
175460,57
175940,60
176420,58
177620,64
178100,62
178340,60
178820,57
180740,57
181220,59
181700,60
182180,62
184340,60
185300,62
186260,64
186740,55
186980,60
187460,62
187540,64
187900,62
188540,64
188620,65
189100,64
189580,62
190060,60
190560,52
190800,57
191280,60
191760,58
192940,64
193420,62
193660,60
194400,57
194640,59
195120,60
195600,62
196800,60
197040,59
197520,60
204460,60
204700,59
205180,60
212140,64
213100,66
213600,57
213840,62
214320,64
214400,66
214820,64
215460,66
215540,67
216020,66
216500,64
216960,62
217440,54
217680,59
218160,62
218400,61
218640,60
219840,66
220320,64
220560,62
221100,59
223020,66
223440,64
223920,62
224400,66
224880,67
225120,66
225360,64
226560,69
227520,67
228480,66
228960,57
229200,62
229680,64
229760,66
230180,64
230820,66
230900,67
231380,66
231860,64
232340,62
232820,54
233060,59
233540,62
234020,60
235220,66
235700,64
235940,62
236660,59
236900,61
237380,62
237860,64
239060,62
239300,61
239900,62
242900,66
243380,64
243860,62
244340,59
244580,61
245060,62
245540,64
246740,62
246980,61
247520,62
250580,66
251060,64
251300,62
252020,59
252260,61
252740,62
253340,64
258260,62
258500,61
258980,62
265940,62
266180,61
266660,64
267140,62
273620,62
273860,61
274340,62
281300,62
281540,61
282020,64
282500,62
288980,62
289220,61
289940,62
