time,semitone
17040,61
17280,64
17640,61
17760,64
18120,61
18240,64
18600,61
18720,64
19080,61
19200,64
19560,61
19680,64
20040,61
20160,64
20520,61
20640,59
20880,61
21120,56
22800,63
22800,59
23040,64
23040,61
23760,63
23760,59
24000,64
24000,61
24600,61
24720,61
24840,61
24960,64
25320,61
25440,64
25800,61
25920,64
26280,61
26400,64
26760,61
26880,64
27240,61
27360,64
27720,61
27840,64
28200,61
28320,59
28560,59
28800,61
30480,63
30480,59
30720,64
30720,61
31440,63
31440,59
31680,64
31680,61
32640,64
32640,61
33960,61
34080,61
34200,61
34440,68
34680,66
34920,66
35160,64
35400,64
35640,63
35880,63
36120,61
36240,64
40080,61
40320,64
40680,61
40800,64
41160,61
41280,64
41640,61
41760,64
42120,61
42240,64
42600,61
42720,64
43080,61
43200,64
43560,61
43680,59
43920,61
44160,56
45840,63
45840,59
46080,64
46080,61
46800,63
46800,59
47040,64
47040,61
47640,61
47760,61
47880,61
48000,64
48360,61
48480,64
48840,61
48960,64
49320,61
49440,64
49800,61
49920,64
50280,61
50400,64
50760,61
50880,64
51240,61
51360,59
51600,59
51840,61
53520,63
53520,59
53760,64
53760,61
54480,63
54480,59
54720,64
54720,61
55680,64
55680,61
57000,61
57120,61
57240,61
57480,68
57720,66
57960,66
58200,64
58440,64
58680,63
58920,63
59160,61
59280,64
59520,64
59520,61
60840,61
60960,61
61080,61
61320,68
61560,66
61800,66
62040,64
62280,64
62520,63
62760,63
63000,61
63120,61
63360,61
63600,61
64080,64
64320,64
64800,66
65040,66
65520,61
65760,61
66240,60
66480,60
66720,60
66960,61
67200,61
67440,61
67920,64
68160,64
68640,66
68880,66
69360,61
69600,61
69960,60
70080,60
70320,60
70560,60
70800,61
71040,70
71160,71
71400,68
71520,70
71760,66
71880,68
72120,64
72240,66
72360,63
72480,64
72600,61
72720,63
72960,70
73080,71
73320,69
73440,70
73680,68
73800,69
74040,66
74160,68
74280,64
74400,66
74520,63
74640,64
74760,61
74880,70
75000,71
75240,68
75360,70
75600,66
75720,68
75960,64
76080,66
76200,63
76320,64
76440,61
76560,63
76800,70
76920,71
77160,68
77280,70
77520,66
77640,68
77880,64
78000,66
78120,63
78240,64
78360,61
78480,61
78720,64
79080,61
79200,64
79560,61
79680,64
80040,61
80160,64
80520,61
80640,64
81000,61
81120,64
81480,61
81600,64
81960,61
82080,59
82320,61
82560,56
84240,63
84240,59
84480,64
84480,61
85200,63
85200,59
85440,64
85440,61
86040,61
86160,61
86280,61
86400,64
86760,61
86880,64
87240,61
87360,64
87720,61
87840,64
88200,61
88320,64
88680,61
88800,64
89160,61
89280,64
89640,61
89760,59
90000,59
90240,61
91920,63
91920,59
92160,64
92160,61
92880,63
92880,59
93120,64
93120,61
94080,64
94080,61
95400,61
95520,61
95640,61
95880,68
96120,66
96360,66
96600,64
96840,64
97080,63
97320,63
97560,61
97680,64
97920,64
97920,61
99240,61
99360,61
99480,61
99720,68
99960,66
100200,66
100440,64
100680,64
100920,63
101160,63
101400,61
101520,61
101760,61
102000,61
102480,64
102720,64
103200,66
103440,66
103920,61
104160,61
104640,60
104880,60
105120,60
105360,61
105600,61
105840,61
106320,64
106560,64
107040,66
107280,66
107760,61
108000,61
108360,60
108480,60
108720,60
108960,60
109200,61
109440,61
109680,61
110160,64
110400,64
110880,66
111120,66
111600,61
111840,61
112320,60
112560,60
112800,60
113040,61
113280,61
113520,61
114000,64
114240,64
114720,66
114960,66
115440,61
115680,61
116040,60
116160,60
116400,60
116640,60
116880,61
132480,64
132480,61
133800,61
133920,61
134040,61
134280,68
134520,66
134760,66
135000,64
135240,64
135480,63
135720,63
135960,61
136080,64
136320,64
136320,61
137640,61
137760,61
137880,61
138120,68
138360,66
138600,66
138840,64
139080,64
139320,63
139560,63
139800,61
139920,61
140160,64
140160,61
141480,61
141600,61
141720,61
141960,68
142200,66
142440,66
142680,64
142920,64
143160,63
143400,63
143640,61
143760,64
144000,64
144000,61
145320,61
145440,61
145560,61
145800,68
146040,66
146280,66
146520,64
146760,64
147000,63
147840,61
148080,61
148560,64
148800,64
149280,66
149520,66
150000,61
150240,61
150720,60
150960,60
151200,60
151440,61
151680,61
151920,61
152400,64
152640,64
153120,66
153360,66
153840,61
154080,61
154440,60
154560,60
154800,60
155040,60
155280,61
155520,61
155760,61
156240,64
156480,64
156960,66
157200,66
157680,61
157920,61
158400,60
158640,60
158880,60
159120,61
159360,61
159600,61
160080,64
160320,64
160800,66
161040,66
161520,61
161760,61
162120,60
162240,60
162480,60
162720,60
162960,61
163200,61
163440,61
163920,64
164160,64
164640,66
164880,66
165360,61
165600,61
166080,60
166320,60
166560,60
166800,61
167040,61
167280,61
167760,64
168000,64
168480,66
168720,66
169200,61
169440,61
169920,60
