time,semitone
9600,55
9900,60
10080,60
10380,60
10860,60
10980,59
11340,60
12540,60
12780,59
12960,60
13260,62
13920,64
14220,64
15600,67
15840,64
16140,64
16140,62
16620,62
17280,55
17580,60
17760,60
18060,60
18540,60
18660,59
19020,60
20160,67
20220,69
20460,69
20640,69
21000,64
21120,69
21600,67
21960,67
24240,65
24300,67
24480,65
24960,64
25440,65
25920,64
26400,65
26640,64
28320,62
28800,60
29280,60
29760,62
30240,64
30480,60
31860,67
31920,69
32160,64
32400,67
36960,72
37260,72
37260,71
37980,69
38220,67
38940,64
39180,60
40140,55
40320,65
40620,65
40800,64
41160,62
41820,60
42240,64
42720,67
43020,67
44640,65
45120,67
45600,69
46080,67
46560,71
46920,72
48000,69
48360,72
48480,72
48840,72
49740,67
49920,69
50220,72
50400,69
50700,72
51420,74
51840,72
55680,55
55980,60
56160,60
56460,60
56940,60
57060,59
57420,60
58620,60
58860,59
59040,60
59340,62
60000,64
60300,64
61680,67
61920,64
62220,64
62220,62
62700,62
63360,55
63660,60
63840,60
64140,60
64620,60
64740,59
65100,60
66240,67
66300,69
66540,69
66720,69
67080,64
67200,69
67680,67
68040,67
70320,65
70380,67
70560,65
71040,64
71520,65
72000,64
72480,65
72720,64
74400,62
74880,60
75360,60
75840,62
76320,64
76560,60
78060,57
78180,59
78540,60
80940,55
81120,65
81420,64
81600,62
82080,55
82380,60
86880,72
87180,72
87180,71
87900,69
88140,67
88860,64
89100,60
90060,55
90240,65
90540,65
90720,64
91080,62
91740,60
92160,64
92640,67
92940,67
94560,65
95040,67
95520,69
96000,67
96480,71
96840,72
97920,69
98280,72
98400,72
98760,72
99840,69
100200,72
100320,72
100680,72
101160,74
102240,72
102540,72
102540,71
103260,69
103500,67
104220,64
104460,60
105420,55
105600,65
105900,65
106080,64
106440,62
107100,60
107520,64
108000,67
108300,67
109920,65
110400,67
110880,69
111360,67
111840,71
112200,72
113280,69
113640,72
113760,72
114120,72
115200,69
115560,72
115680,72
116040,72
116520,74
146880,67
147360,65
147900,64
148320,65
148620,64
149340,65
149580,64
150780,76
150780,74
151260,74
151680,72
152160,72
152400,74
153000,76
153480,72
153540,71
153600,69
154860,69
155040,71
155520,72
157680,60
157920,60
158100,60
158220,67
158520,64
158640,60
163680,72
163980,72
163980,71
164700,69
164940,67
165660,64
165900,60
166860,55
167040,65
167340,65
167520,64
167880,62
168540,60
168960,64
169440,67
169740,67
171360,65
171840,67
172320,69
172800,67
173280,71
173640,72
174720,69
175080,72
175200,72
175560,72
176640,69
177000,72
177120,72
177480,72
177960,74
179040,72
179340,72
179340,71
180060,69
180300,67
181020,64
181260,60
182220,55
182400,65
182700,65
182880,64
183240,62
183900,60
184320,64
184800,67
185100,67
186720,65
187200,67
187680,69
188160,67
188640,71
189000,72
190080,69
190440,72
190560,72
190920,72
192000,69
192360,72
192480,72
192840,72
193320,74
193920,72
197760,69
198060,72
198240,72
198600,72
199620,69
199980,72
200160,72
200460,72
201120,74
201600,72
236160,50
236640,52
237120,55
237600,57
238080,62
238500,64
238560,62
238980,67
239460,69
239940,72
240480,69
240960,72
241440,69
241920,72
