time,semitone
22080,72
22320,74
22560,76
22800,72
24000,72
24240,74
24480,76
24720,72
26400,72
26640,72
26880,71
27120,71
27360,71
27600,71
27840,71
28080,72
28320,71
28560,72
29760,72
30000,74
30240,76
30480,72
31680,72
31920,74
32160,76
32400,72
34080,72
34320,72
34560,71
34800,71
35040,71
35280,71
35520,71
35760,72
36000,71
36240,72
37200,83
37920,84
39120,83
39840,84
41040,83
41520,84
41760,83
42000,84
42960,83
43440,84
43680,83
43920,84
44640,79
44880,79
45120,79
45360,79
45600,83
45840,84
46560,79
46800,79
47040,79
47280,77
47520,76
47760,77
48240,72
50400,74
50400,67
50640,74
50640,67
50880,74
50880,67
51120,76
51360,74
51840,74
51840,67
53040,76
53040,67
53280,74
53520,72
53520,69
55680,74
55680,67
56880,76
56880,69
57120,74
57120,69
57360,72
57360,67
61440,76
61680,79
61920,86
62160,84
62640,79
63120,76
63600,79
63840,86
64080,84
64560,79
65040,77
65520,84
69120,76
69360,79
69600,86
69840,84
70320,79
70800,76
71280,79
71520,86
71760,84
72240,79
72720,77
73200,84
77280,79
77520,79
77760,79
78000,72
78480,72
78720,79
78960,79
79200,79
79440,79
79680,79
79920,72
81120,79
81360,79
81600,79
81840,72
82320,72
82560,79
82800,79
83040,79
83280,79
83520,79
83760,72
84480,76
84720,79
84960,86
85200,84
85680,79
86160,76
86640,79
86880,86
87120,84
87600,79
88320,83
90240,79
93120,72
93360,74
93600,76
93840,72
95040,72
95280,74
95520,76
95760,72
97440,76
97440,72
97680,76
97680,72
97920,74
97920,71
98160,74
98160,71
98400,74
98400,71
98640,74
98640,71
98880,74
98880,71
99120,76
99120,72
99360,74
99360,71
99600,76
99600,72
100560,83
101280,84
102480,83
103200,84
104400,83
104880,84
105120,83
105360,84
106320,83
106800,84
107040,83
107280,84
108000,79
108240,79
108480,79
108720,79
108960,83
109200,84
109920,79
110160,79
110400,79
110640,77
110880,76
111120,77
111600,72
113760,74
113760,67
114000,74
114000,67
114240,74
114240,67
114480,76
114720,74
115200,74
115200,67
116400,76
116400,67
116640,74
116880,72
116880,69
119040,74
119040,67
120240,76
120240,69
120480,74
120480,69
120720,72
120720,67
124800,76
125040,79
125280,86
125520,84
126000,79
126480,76
126960,79
127200,86
127440,84
127920,79
128400,77
128880,84
132480,76
132720,79
132960,86
133200,84
133680,79
134160,76
134640,79
134880,86
135120,84
135600,79
136080,77
136560,84
140640,79
140880,79
141120,79
141360,72
141840,72
142080,79
142320,79
142560,79
142800,79
143040,79
143280,72
144480,79
144720,79
144960,79
145200,72
145680,72
145920,79
146160,79
146400,79
146640,79
146880,79
147120,72
147840,76
148080,79
148320,86
148560,84
149040,79
149520,76
150000,79
150240,86
150480,84
150960,79
151680,83
153600,79
156480,72
156480,67
156720,74
156720,67
156960,76
156960,72
157200,72
157200,67
158400,72
158400,67
158640,74
158640,71
158880,76
158880,72
159120,72
159120,67
159840,79
160080,79
160320,79
160560,72
161040,72
161280,79
161520,79
161760,79
162000,79
162240,79
162480,72
164160,72
164160,67
164400,74
164400,67
164640,76
164640,72
164880,72
164880,67
165600,72
165600,67
165840,72
165840,67
166080,72
166080,67
166320,74
166320,71
166560,76
166560,72
166800,72
166800,67
167520,79
167760,79
168000,79
168240,72
168720,72
168960,79
169200,79
169440,79
169680,79
169920,79
170160,72
171840,72
171840,67
172080,74
172080,67
172320,76
172320,72
172560,72
172560,67
173760,72
173760,67
174000,74
174000,71
174240,76
174240,72
174480,72
174480,67
175200,79
175440,79
175680,79
175920,72
176400,72
176640,79
176880,79
177120,79
177360,79
177600,79
177840,72
179520,72
179520,67
179760,74
179760,67
180000,76
180000,72
180240,72
180240,67
180960,72
180960,67
181200,72
181200,67
181440,72
181440,67
181680,74
181680,71
181920,76
181920,72
182160,72
182160,67
182880,79
183120,79
183360,79
183600,72
184080,72
184320,79
184560,79
184800,79
185040,79
185280,79
185520,72
186240,76
186480,79
186720,86
186960,84
187440,79
187920,76
188400,79
188640,86
188880,84
189360,79
189840,77
190320,84
193920,76
194160,79
194400,86
194640,84
195120,79
195600,76
196080,79
196320,86
196560,84
197040,79
197520,77
198000,84
201600,76
201840,79
202080,86
202320,84
202800,79
203280,76
203760,79
204000,86
204240,84
204720,79
205200,77
205680,84
209280,76
209520,79
209760,86
210000,84
210480,79
210960,76
211440,79
211680,86
211920,84
212400,79
212880,77
213360,84
217920,72
218160,74
218400,76
218640,72
219840,72
220080,74
220320,76
220560,72
222240,76
222240,72
222480,76
222480,72
222720,74
222720,71
222960,74
222960,71
223200,74
223200,71
223440,74
223440,71
223680,74
223680,71
223920,76
223920,72
224160,74
224160,71
224400,76
224400,72
225600,72
225840,74
226080,76
226320,72
227520,72
227760,74
228000,76
228240,72
229920,76
229920,72
230160,76
230160,72
230400,74
230400,71
230640,74
230640,71
230880,74
230880,71
231120,74
231120,71
231360,74
231360,71
231600,76
231600,72
231840,74
231840,71
232080,76
232080,72
233280,72
233520,74
233760,76
234000,72
235200,72
235440,74
235680,76
235920,72
237600,72
237840,72
238080,71
238320,71
238560,71
238800,71
239040,71
239280,72
239520,71
239760,72
