time,semitone
21120,65
21360,61
21600,61
21840,56
22080,56
22560,61
22800,63
23040,65
23280,61
23520,61
23760,56
24000,56
24960,65
25200,61
25440,61
25680,56
25920,56
26400,61
26640,63
26880,65
27120,61
27360,61
27600,56
27840,56
28800,65
29040,65
29280,65
29520,65
29760,65
30000,65
30240,65
30480,66
31440,68
32160,65
32640,65
36000,61
36240,63
36480,65
36720,61
36960,61
37200,56
37440,56
38160,63
38400,65
38640,61
38880,61
39120,56
39360,56
40320,65
40560,61
40800,61
41040,56
41280,56
41640,61
42000,63
42240,65
42480,61
42720,61
42960,56
43200,56
44160,65
44400,65
44640,65
44880,65
45120,65
45360,65
45600,65
45840,66
46800,68
47520,65
48000,63
48480,61
51840,65
52320,68
52800,65
53280,68
53760,66
54240,68
54720,66
55200,70
55680,68
59520,65
60000,68
60480,65
60960,68
61440,66
61920,68
62400,66
62880,70
63360,68
66720,63
66960,65
67440,63
67680,63
67920,61
68160,61
68400,56
68880,61
69000,63
69120,65
69360,63
69600,63
69840,61
70080,61
70800,61
70920,63
71040,65
71280,61
71520,61
71760,58
72000,58
72240,56
72480,61
72720,63
72960,61
74400,63
74640,65
75120,63
75360,63
75600,58
75840,61
76080,63
76560,65
77040,63
77280,63
77520,58
77760,61
78000,63
78240,61
78480,63
78720,65
78960,63
79200,63
79440,61
79680,61
79920,58
80160,61
80400,63
80640,61
82560,65
82800,65
83040,65
83280,65
83520,65
83760,65
84000,65
84240,66
85200,68
85920,65
86400,65
86880,65
90240,65
90720,68
91200,65
91680,68
92160,66
92640,68
93120,66
93600,70
94080,68
97920,65
98400,68
98880,65
99360,68
99840,66
100320,68
100800,66
101280,70
101760,68
105600,61
106080,56
106560,61
106800,63
107040,61
107520,61
108000,56
108480,61
108720,63
108960,61
109440,61
109920,56
110400,61
110640,63
110880,61
111360,61
111840,56
112320,61
112560,63
112800,61
113280,61
113760,56
114240,61
114480,63
114720,61
115200,61
115680,56
116160,61
116400,63
116640,61
117120,61
117600,56
118080,61
118320,63
118560,61
119040,61
119520,56
120000,61
120240,63
120480,61
121200,58
121440,61
121680,63
121920,65
122160,65
123120,58
123360,61
123600,63
123840,65
124080,65
124320,61
125040,58
125280,61
125520,63
125760,65
126000,65
127920,61
128640,66
129120,65
129600,61
130080,58
130320,56
130800,58
131040,61
131280,63
131520,65
131760,65
132000,61
132720,58
132960,61
133200,63
133440,65
133680,66
133920,68
136320,65
136800,68
137280,65
137760,68
138240,66
138720,68
139200,66
139680,70
140160,68
144000,65
144480,68
144960,65
145440,68
145920,66
146400,68
146880,66
147360,70
147840,68
151680,65
152160,68
152640,65
153120,68
153600,66
154080,68
154560,66
155040,70
155520,68
159360,65
159840,68
160320,65
160800,68
161280,66
161760,68
162240,66
162720,70
163200,68
167040,65
167520,68
168000,65
168480,68
168960,66
169440,68
169920,66
170400,70
170880,68
174720,65
175200,68
175680,65
176160,68
176640,66
177120,68
177600,66
178080,70
178560,68
