time,semitone
28800,65
29520,58
29760,61
30000,65
30240,65
30960,57
31200,60
31440,65
31680,63
32400,61
32640,60
32880,61
33120,58
33840,58
34080,70
34320,65
34560,68
35280,66
35520,65
35760,66
36000,56
36720,56
36960,60
37200,63
37440,66
38160,65
38400,63
38640,65
38880,54
39600,54
39840,58
40080,61
40320,65
41040,63
41280,61
41520,60
41760,63
42480,61
42720,60
42960,58
43200,60
46080,65
46800,58
47040,61
47280,65
47520,65
48240,57
48480,60
48720,65
48960,63
49680,61
49920,60
50160,61
50400,58
51120,58
51360,70
51600,65
51840,68
52560,66
52800,65
53040,66
53280,56
54000,56
54240,60
54480,63
54720,66
55440,65
55680,63
55920,65
56160,54
56880,54
57120,58
57360,61
57600,65
58320,63
58560,61
58800,60
59040,63
59760,61
60000,60
60240,58
60480,65
66240,58
66480,60
66720,61
66960,63
67200,65
67440,70
67680,68
68160,66
68940,70
69120,70
69600,68
70080,75
70320,66
70560,66
71040,65
71760,65
72000,66
72480,66
72960,73
73200,72
73440,72
73920,70
74640,70
74880,70
75360,68
75840,75
76080,66
76320,66
76800,65
77760,58
78000,60
78240,61
78480,63
78720,65
78960,70
79200,68
79680,66
80400,70
80640,70
81120,68
81600,75
81840,66
82080,66
82560,65
83280,65
83520,66
84000,66
84480,73
84720,72
84960,72
85440,70
86160,70
86400,70
86880,68
87360,75
87840,72
89280,73
90720,72
109440,66
110880,66
111600,66
111840,71
112080,66
112320,66
113040,66
113280,73
113520,66
113760,64
114480,62
114720,61
114960,62
115200,59
115920,59
116160,71
116400,66
116640,69
117360,67
117600,66
117840,67
118080,69
118800,57
119040,61
119280,64
119520,67
120240,66
120480,64
120720,66
120960,67
121680,55
121920,59
122160,62
122400,66
123120,64
123360,62
123600,61
123840,64
124560,62
124800,61
125040,59
125280,66
128160,59
128400,61
128640,62
128880,64
129120,66
129360,71
129600,69
130080,67
130800,71
131040,71
131520,69
132000,76
132240,67
132480,67
132960,66
133680,66
133920,67
134400,67
134880,74
135240,73
135360,73
135840,71
136560,71
136800,71
137280,69
137760,76
138120,67
138240,67
138720,66
139680,59
139920,61
140160,62
140400,64
140640,66
140880,71
141120,69
141600,67
142380,71
142560,71
143040,69
143520,76
143840,67
144000,67
144480,66
145260,66
145440,67
145920,67
146400,74
146760,73
146880,73
147360,71
148140,71
148320,71
148800,69
149280,76
149760,73
151200,74
152640,73
154080,78
155520,79
156960,80
157680,79
157920,77
158160,75
158400,74
159840,79
160560,77
160800,75
161040,74
161280,72
162720,77
163440,75
163680,74
163920,72
164160,70
165600,75
167040,75
167280,74
167520,72
167760,70
168000,68
168240,67
168480,70
168960,68
169740,72
169920,72
170400,70
170880,77
171240,77
171360,77
171840,79
172620,70
172800,70
173280,68
173760,75
174120,74
174240,74
174720,72
175440,72
175680,70
176160,70
176640,77
176880,77
177120,75
177600,74
182880,67
183600,65
183840,63
184080,62
184320,65
185040,63
185280,62
185520,63
185760,60
