time,semitone
9600,61
9960,61
10320,61
10560,61
10920,62
11280,64
11580,64
13440,61
13800,61
14160,61
14400,61
14760,62
15120,64
15360,57
17280,62
17640,62
18000,62
18240,62
18600,61
18960,59
19200,61
19560,61
19920,61
20160,61
20520,59
20880,57
21120,59
25020,61
25320,61
25680,61
25980,61
26280,62
26640,64
26940,71
28800,61
29160,61
29520,61
29760,61
30120,62
30480,64
30720,69
32640,62
33000,62
33360,62
33600,62
33960,64
34320,66
34560,61
34920,61
35280,61
35520,61
35880,62
36240,64
36480,59
39840,57
40320,66
41280,64
42240,59
42300,61
43680,59
43920,57
44160,66
45120,68
46080,69
47520,68
48000,66
48960,64
49920,61
50400,64
50880,62
51360,66
51840,64
52320,69
52800,68
53520,69
53760,69
57000,64
57120,69
57360,71
57600,73
59280,64
59520,71
60960,71
61200,73
61440,74
63120,66
63360,73
65280,73
66720,69
67200,71
68160,71
68520,69
68880,68
69180,69
72360,64
72480,69
72720,71
72960,73
74640,64
74880,71
76320,71
76560,73
76800,74
78480,66
78780,73
80640,71
82080,73
82320,71
82560,69
84060,66
84240,69
84480,68
85440,69
86160,71
86400,69
86460,71
87840,66
88080,68
88200,69
88320,68
88380,69
96060,61
96360,61
96720,61
97020,61
97320,62
97680,64
97980,71
99840,61
100200,61
100560,61
100800,61
101160,62
101520,64
101760,69
103680,62
104040,62
104400,62
104640,62
105000,64
105360,66
105600,61
105960,61
106320,61
106560,61
106920,62
107280,64
107520,59
110880,57
111360,66
112320,64
113280,59
113340,61
114720,59
114960,57
115200,66
116160,68
117120,69
118560,68
119040,66
120000,64
120960,61
121440,64
121920,62
122400,66
122880,64
123360,69
123840,68
124560,69
124800,69
128040,64
128160,69
128400,71
128640,73
130320,64
130560,71
132000,71
132240,73
132480,74
134160,66
134400,73
136320,73
137760,69
138240,71
139200,71
139560,69
139920,68
140220,69
143400,64
143520,69
143760,71
144000,73
145680,64
145920,71
147360,71
147600,73
147840,74
149520,66
149820,73
151680,71
153120,73
153360,71
153600,69
155100,66
155280,69
155520,68
156480,69
157200,71
157440,69
157500,71
158940,71
159120,69
159360,71
159420,73
160680,74
161040,73
161280,71
162780,71
162960,73
163200,74
164640,76
164880,74
165120,73
167040,73
168480,74
168720,73
168960,71
170400,73
170640,71
170880,69
174660,71
174720,73
176160,76
176640,71
178080,71
178320,73
178560,74
180240,66
180480,73
182400,71
183840,73
184080,71
184320,69
185280,66
185760,69
186240,68
187200,69
187920,71
188100,69
188180,71
189140,73
190100,74
193460,69
193940,76
