time,semitone
7200,83
7440,79
20160,67
20400,67
20640,67
20880,66
21120,67
21600,66
21840,67
22320,71
23040,71
24960,69
26400,66
26640,67
26880,69
27360,71
27600,67
28320,66
28560,67
29280,69
29520,67
30480,66
30720,62
31200,64
31440,64
32640,62
35520,67
35760,67
36000,67
36240,66
36480,67
36960,66
37200,67
37680,74
38400,74
40320,72
41760,69
42000,71
42240,72
42720,71
42960,71
43440,69
43920,71
44400,67
45840,67
46080,76
46560,71
47040,69
47520,67
47760,69
49440,69
49680,71
49920,72
50400,71
50640,72
51600,74
51840,76
52320,74
52800,72
53280,71
53760,71
54240,64
54480,67
56640,71
57120,69
59040,71
61440,73
61920,71
62160,73
62880,71
63120,73
63840,71
64080,73
64560,80
65040,76
67200,69
67680,68
67920,69
68400,74
68880,73
71040,71
71520,73
71760,69
72720,68
72960,68
73440,69
73680,69
76800,73
77280,71
77520,73
78240,71
78480,73
79200,71
79440,73
79920,80
80400,76
82560,69
83040,68
83280,69
83760,74
84240,73
88080,68
88320,78
88800,75
89040,73
89520,71
90000,73
91680,78
92160,76
94080,69
94800,71
95520,73
96000,74
99360,71
99600,73
99840,74
100800,73
101280,71
102720,73
103200,69
133920,71
134160,73
134400,74
134880,73
135120,74
136080,76
136320,78
136800,76
137280,74
137760,73
138240,73
138720,66
138960,69
141120,73
141600,71
143520,73
145920,75
146400,73
146640,75
147360,73
147600,75
148320,73
148560,75
149040,82
149520,78
151680,71
152160,70
152400,71
152880,76
153360,75
155520,73
156000,75
156240,71
157200,70
157440,70
157920,71
158160,71
161280,75
161760,73
162000,75
162720,73
162960,75
163680,73
163920,75
164400,82
164880,78
167040,71
167520,70
167760,71
168240,76
168720,75
170400,73
170640,75
170880,78
171360,75
171600,78
171840,80
172320,75
172560,73
172800,73
173520,75
174240,71
176640,78
176640,75
176640,71
177120,78
177120,73
177120,70
177360,78
177360,75
177360,71
178080,78
178080,73
178080,70
178320,78
178320,75
178320,71
179040,78
179040,73
179040,70
179280,78
179280,75
179280,71
179760,85
179760,82
179760,75
180240,82
180240,78
180240,73
182400,75
182400,71
182880,75
182880,70
183120,75
183120,71
183600,80
183600,76
184080,80
184080,75
186240,73
186720,75
186960,71
187920,70
188160,70
188640,71
188880,71
192000,75
192480,73
192720,75
193440,73
193680,75
194400,73
194640,75
195120,82
195600,78
197760,71
198240,70
198480,71
198960,76
199440,75
203280,70
203520,80
204000,77
204240,75
204720,73
205200,75
206880,80
207360,78
209280,71
210000,73
210720,75
211200,76
214560,73
214800,75
215040,76
216000,75
216480,73
217920,75
218400,71
