time,semitone
2400,57
2640,59
3360,59
3600,60
4560,60
6240,57
6480,59
7200,59
7440,60
8400,60
10080,57
10320,59
11040,59
11280,60
12000,60
12240,62
12960,62
13200,64
15360,62
16560,60
16800,59
17040,60
18000,57
21600,57
21840,59
22560,59
22800,60
23760,60
25440,57
25680,59
26400,62
26640,60
27600,60
29280,57
29520,59
30240,59
30480,60
31200,60
31440,62
32160,62
32400,64
34560,62
35280,64
36000,62
36480,60
38400,59
39120,60
39840,55
40320,57
44160,57
45120,59
46080,60
46800,60
47040,60
47280,62
47520,64
48000,62
48960,62
49200,60
49440,59
49920,60
50640,60
50880,60
51120,62
51360,64
51840,59
52320,64
52800,62
53040,60
53280,59
53760,60
55200,62
55440,60
56160,55
56400,55
57120,55
57360,55
57600,65
58560,64
59520,62
61440,57
62400,59
63360,60
64080,60
64320,60
64560,62
64800,64
65280,62
66240,62
66480,60
66720,59
67200,60
67920,60
68160,60
68400,62
68640,64
69120,59
69600,64
70080,62
70320,60
70560,59
71040,60
72480,62
72720,60
73440,55
73680,55
74400,55
74640,55
74880,65
75360,64
75600,62
76080,60
76800,60
77280,59
77520,57
78000,59
78480,60
83040,63
83280,62
83520,63
84780,58
85200,58
86880,63
87120,62
87360,63
88080,65
88320,68
89040,67
89340,67
91620,70
92160,68
92880,67
93120,67
119040,63
119760,63
120000,63
120240,65
120480,67
120960,65
121920,65
122160,63
122400,62
122880,63
123600,63
123840,63
124080,65
124320,67
124800,62
125280,67
125760,65
126000,63
126240,62
126720,63
128160,65
128400,63
129120,58
129360,58
130080,58
130320,58
130560,68
131520,67
132480,65
134400,60
135360,62
136320,63
137040,63
137280,63
137520,65
137760,67
138240,65
139200,65
139440,63
139680,62
140160,63
140880,63
141120,63
141360,65
141600,67
142080,62
142560,67
143040,65
143280,63
143520,62
144000,63
145440,65
145680,63
146400,58
146640,58
147360,58
147600,58
147840,68
148320,67
148560,65
149040,63
149760,63
150240,62
150480,60
150960,62
151440,63
151680,63
152400,63
152640,63
152880,65
153120,67
153600,65
154560,65
154800,63
155040,62
155520,63
156240,63
156480,63
156720,65
156960,67
157440,62
157920,67
158400,65
158640,63
158880,62
159360,63
160800,65
161040,63
161760,58
162000,58
162720,58
162960,58
163200,68
164160,67
165120,65
167040,60
168000,62
168960,63
169680,63
169920,63
170160,65
170400,67
170880,65
171840,65
172080,63
172320,62
172800,63
173520,63
173760,63
174000,65
174240,67
174720,62
175200,67
175680,65
175920,63
176160,62
176640,63
178080,65
178320,63
179040,58
179280,58
180000,58
180240,58
180480,68
180960,67
181200,65
181680,63
182400,63
182880,62
183120,60
183600,62
184080,63
192000,68
192480,67
192720,65
193200,63
193920,63
194880,62
195840,60
196800,62
197760,63
