time,semitone
14400,71
15840,67
17040,64
17280,69
17760,71
20160,71
20640,72
21120,71
21600,69
22080,67
22560,69
23040,69
23520,71
25920,71
27360,67
28560,64
28800,69
29280,71
31440,64
31680,67
32160,69
32640,71
33120,69
33600,67
33840,66
34380,66
34560,67
34800,67
37440,71
38880,67
40080,64
40320,69
40800,71
42960,67
43200,71
43680,72
44160,71
44400,69
44640,69
44880,67
45120,67
45840,69
46080,69
46800,71
48960,76
49440,71
49680,74
49920,69
50160,71
50400,69
51600,67
51840,69
52320,74
52680,72
52800,71
53160,69
54480,67
54720,67
55200,69
55680,71
56160,76
56640,74
57120,69
57360,71
57600,69
58080,67
60000,64
60240,67
60480,69
60960,69
61680,67
61920,67
63120,64
63360,69
63840,69
64320,71
64800,69
65040,67
65280,67
66000,64
66240,71
66720,71
67200,71
67680,71
67920,69
68160,69
68400,67
69120,74
73440,67
73920,69
74400,71
74880,74
76080,67
76320,74
76800,72
77280,71
77760,69
78240,71
79200,67
79680,69
80160,71
80640,74
81120,74
81600,74
82080,74
82320,72
82560,72
82800,71
83040,71
83280,69
83520,69
84960,67
85440,69
85920,71
86400,74
87840,74
88320,72
89040,71
89280,69
90000,71
91920,67
92160,72
92880,71
93120,72
93600,74
94080,71
94560,71
94800,69
95040,71
95280,69
95520,69
96480,67
96960,69
97440,71
97920,74
99120,67
99360,74
99840,72
100320,71
100800,69
101280,71
102240,67
102720,69
103200,71
103680,74
104160,74
104640,74
105120,74
105600,76
106080,71
106320,69
106560,69
108000,67
108480,69
108960,71
109440,74
110880,74
111360,72
111840,71
112320,69
112800,69
113280,74
113760,71
114720,69
114960,71
115200,72
115440,71
115680,72
115920,71
116280,67
118080,72
118560,71
118800,69
119040,69
119520,67
119760,66
120000,66
120240,67
120480,66
120720,67
121260,67
145440,69
145920,71
146400,73
146880,76
148080,69
148320,76
148800,74
149520,73
149760,71
150240,73
151200,69
151680,71
152160,73
152640,76
153120,76
153600,76
154080,76
154320,74
154560,74
154800,73
155040,73
155280,76
155520,76
155760,73
156000,71
156960,69
157440,71
157920,73
158400,76
159840,76
160320,74
161040,73
161280,71
161760,73
162360,71
162480,69
163920,69
164160,74
164880,73
165120,74
165600,76
166080,73
166560,73
166800,71
167040,73
167280,71
167520,71
168480,69
168960,71
169440,73
169920,76
171120,69
171360,76
171840,74
172320,73
172800,71
173280,73
174240,69
174720,71
175200,73
175680,76
176160,76
176640,76
177120,76
177600,78
178080,81
178560,83
185760,85
186240,83
186720,81
187200,83
188160,81
188640,81
189120,81
189600,81
190080,81
190320,78
190560,76
191040,76
191520,76
191760,71
192000,73
192480,71
192720,73
192960,74
193200,73
193440,74
193680,73
194160,69
201600,74
202200,73
202440,71
202800,71
203040,69
203340,69
203640,68
204000,69
204300,68
204720,68
204960,69
205440,69
210240,73
210540,71
212880,73
213120,69
218880,73
219360,69
