time,semitone
19920,67
20400,70
20880,72
21840,70
23760,71
24240,74
24720,77
25680,75
26880,72
27360,72
27600,72
28320,72
28560,72
29280,72
29520,72
30240,69
30480,71
35280,67
35760,70
36240,72
37200,70
39120,71
39600,74
40080,77
41040,75
42240,72
42720,72
42960,72
43680,72
43920,72
44640,72
44880,77
45600,72
46080,75
47520,74
47760,72
48000,74
49680,67
49920,77
50400,76
50700,76
51360,74
51600,74
52320,72
52560,71
53280,72
53520,76
54240,74
54480,74
55200,69
55440,74
57120,71
57360,72
57600,76
58080,74
58320,74
59040,72
59280,72
60000,71
60240,69
60720,71
61440,67
65040,67
65280,77
65760,76
66060,76
66720,74
66960,74
67680,72
67920,71
68640,72
68880,76
69600,74
69840,74
70560,69
70800,74
72480,71
72720,72
72960,76
73440,74
73680,74
74400,72
74640,72
75360,71
75600,69
76080,71
76560,72
76800,72
81360,67
81840,70
82320,72
83280,70
85200,71
85680,74
86160,77
87120,75
88320,72
88800,72
89040,72
89760,72
90000,72
90720,72
90960,72
91680,69
91920,71
96720,67
97200,70
97680,72
98320,70
98480,67
98640,70
100560,71
101040,74
101520,77
102480,75
103680,72
104160,72
104400,72
105120,72
105360,72
106080,72
106320,77
107040,72
107520,75
108960,74
109200,72
109440,74
111120,67
111360,77
111840,76
112140,76
112800,74
113040,74
113760,72
114000,71
114720,72
114960,76
115680,74
115920,74
116640,69
116880,74
118560,71
118800,72
119040,76
119520,74
119760,74
120480,72
120720,72
121440,71
121680,69
122160,71
122880,67
126480,67
126720,77
127200,76
127500,76
128160,74
128400,74
129120,72
129360,71
130080,72
130320,76
131040,74
131280,74
132000,69
132240,74
133920,71
134160,72
134400,76
134880,74
135120,74
135840,72
136080,72
136800,71
137040,69
137520,71
138000,72
138240,72
140640,72
143040,72
143520,74
143760,75
145680,70
145920,77
146400,75
146700,75
147360,70
147600,70
149520,79
149760,79
150240,77
150480,77
151200,75
151440,75
151920,72
152880,75
153360,77
153680,79
156500,80
156980,79
157220,80
157460,82
160100,79
160580,77
160820,75
161300,79
162740,77
162980,79
163100,77
163220,75
172820,77
173300,76
173540,76
174260,74
174500,74
175220,72
175460,71
176180,72
176420,76
177140,74
177380,74
178100,69
178340,74
180020,71
180260,72
180500,76
180980,74
181220,74
181940,72
182180,72
182900,71
183140,69
183620,71
184100,74
184580,72
184700,71
184820,69
184980,67
187920,67
188160,77
188640,76
188940,76
189600,74
189840,74
190560,72
190800,71
191520,72
191760,76
192480,74
192720,74
193440,69
193680,74
195360,71
195600,72
195840,76
196320,74
196560,74
197280,69
197520,74
199200,71
199440,72
199680,76
200160,74
200400,74
201120,69
201360,74
203280,69
203520,76
204000,74
204240,74
204960,72
205200,72
206040,71
206460,69
207420,71
207840,72
208320,72
