time,semitone
3840,72
4800,72
5760,72
6720,72
7680,72
8640,72
9600,72
10560,72
11520,72
12480,72
13440,72
14400,72
15360,72
16320,72
17280,72
18240,72
19200,72
20160,72
21120,72
22080,72
23040,72
24960,72
26880,72
33600,70
34560,72
35040,72
36000,74
36480,74
37200,67
37920,67
41760,67
42000,67
42240,76
42720,74
42960,72
43440,71
43680,71
44160,71
45600,72
46080,67
49920,72
50400,72
50880,74
51600,74
52320,69
53040,67
55200,74
55440,74
55680,77
56640,76
57120,74
58560,76
59040,72
61920,72
63360,67
65340,74
65820,72
66780,74
67260,74
67680,67
67920,67
72540,67
72780,67
73020,76
73500,74
73740,72
74220,71
74460,71
74940,71
76380,72
76860,67
80700,72
81180,72
81840,74
82560,74
83100,69
83280,67
85920,69
86160,69
86460,72
87420,76
87900,74
89280,71
89820,72
95520,74
96000,77
96960,72
97200,72
97920,74
103200,76
103680,77
104400,77
104880,79
105360,79
108480,76
110400,76
110880,79
111120,79
111600,74
113040,76
113280,77
113760,76
114000,77
114480,76
114960,77
115440,76
115920,72
116400,74
117120,72
118080,76
118560,79
118800,79
119280,74
120960,77
121680,77
122160,77
122880,76
123840,79
124320,79
124800,76
125760,77
126240,79
126480,79
126960,74
128400,76
128640,77
129120,76
129360,77
129840,76
130320,77
130800,76
131280,72
131760,74
132480,72
133440,76
133920,79
134160,79
134640,74
135840,72
136320,81
137040,79
137520,77
138480,76
139200,79
139680,79
144000,79
144720,77
145200,76
145680,77
146400,74
152640,72
153600,74
154080,72
155040,74
155520,74
156000,67
156240,67
160800,67
161040,67
161280,76
161760,74
162000,72
162480,71
162720,71
163200,71
164640,72
165120,67
168000,67
168960,72
169440,72
170160,74
170880,74
171360,69
171600,67
173280,67
174240,69
174480,69
174720,72
175680,76
176160,74
177600,71
178080,72
182400,72
183840,74
184320,77
185280,72
185520,72
186240,74
191520,76
192000,77
192720,77
193200,79
193680,79
196800,76
198780,76
199260,79
199500,79
199980,74
201420,76
201660,77
202140,76
202380,77
202860,76
203340,77
203820,76
204300,72
204780,74
205500,72
206460,76
206940,79
207180,79
207660,74
209340,77
210060,77
210540,77
211260,76
212220,79
212700,79
213180,76
214140,77
214620,79
214860,79
215340,74
216780,76
217020,77
217500,76
217740,77
218220,76
218700,77
219180,76
219660,72
220140,74
220860,72
221820,76
222300,79
222540,79
223020,74
224220,72
224700,81
225420,79
225900,77
226860,76
227580,79
228060,79
232380,79
233100,77
233580,76
234060,77
234780,74
236160,72
249600,72
252540,78
253020,81
253260,81
253740,76
255180,78
255420,79
255900,78
256140,79
256620,78
257100,79
257580,78
258060,74
258540,76
259260,74
260220,78
260700,81
260940,81
261420,76
263100,79
263820,79
264300,79
265020,78
265980,81
266460,81
266940,78
267900,79
268380,81
268620,81
269100,76
270540,78
270780,79
271260,78
271500,79
271980,78
272460,79
272940,78
273420,74
273900,76
274620,74
275580,78
276060,81
276300,81
276780,76
277980,74
278460,83
279180,81
279660,79
280620,78
281340,81
281820,81
286080,81
290940,78
291420,81
291660,81
292140,76
293580,78
293820,79
294300,78
294540,79
295020,78
295500,79
295980,78
296460,74
296940,76
297660,74
298620,78
299100,81
299340,81
299820,76
301500,79
302220,79
302700,79
303420,78
304380,81
304860,81
305340,78
306300,79
306780,81
307020,81
307500,76
308940,78
309180,79
309660,78
309900,79
310380,78
310860,79
311340,78
311820,74
312300,76
313020,74
313980,78
314460,81
314700,81
315180,76
316380,74
316860,83
317580,81
318060,79
319020,78
319740,81
320220,81
324480,81
324960,79
325440,78
325920,79
326400,76
