time,semitone
2280,72
7320,72
12240,72
17280,72
18240,79
19680,77
19920,76
20160,74
20400,72
20640,72
20880,72
21120,71
21840,72
22080,72
24960,72
25920,79
27360,77
27600,76
27840,74
28080,72
28320,72
28560,72
28800,71
29520,72
29760,72
32160,69
32400,72
32640,74
33120,74
33360,74
33840,76
34320,74
34800,72
36000,74
36240,76
36480,77
36960,76
37200,74
37680,72
38160,76
39840,72
40080,71
40320,69
40800,71
41040,72
42000,72
42240,74
42720,72
42960,72
43680,71
43920,72
44340,67
44500,69
44660,67
44820,69
47760,71
48000,72
48960,79
50400,77
50640,76
50880,74
51120,72
51360,72
51600,72
51840,71
52560,72
53040,72
55680,72
56640,79
58080,77
58320,76
58560,74
58800,72
59040,72
59280,72
59520,71
60240,72
60480,72
62880,69
63120,72
63360,74
63840,74
64080,74
64560,76
65040,74
65520,72
66720,74
66960,76
67200,77
67680,76
67920,74
68400,72
68640,72
68880,76
70560,72
70800,71
71040,69
72000,71
72960,72
73680,74
73920,76
74400,74
78720,76
79260,77
79680,74
80400,72
80640,74
81120,76
81360,72
82320,67
82560,72
82800,72
83040,72
83280,72
83520,76
84000,72
84480,71
84960,71
86400,76
86880,77
87120,74
87600,81
88320,79
89040,72
89280,72
89760,79
90000,76
90240,77
90720,76
90960,74
91680,72
91920,76
92880,74
93120,74
94080,76
94620,77
95040,74
95760,72
96000,74
96480,76
96720,72
97680,67
97920,72
98160,72
98400,72
98640,72
98880,76
99360,72
99840,71
100320,71
101760,76
102240,77
102480,74
102960,81
103680,79
104400,72
104640,72
105120,79
105360,76
105600,77
106080,76
106320,74
106800,72
107520,72
108240,71
108480,71
109200,72
109440,72
143760,73
144000,73
144960,80
146400,78
146640,77
146880,75
147120,73
147360,73
147600,73
147840,72
148560,73
149040,73
151680,73
152640,80
154080,78
154320,77
154560,75
154800,73
155040,73
155280,73
155520,72
156300,73
156720,75
157200,73
158880,70
159120,73
159360,75
159840,75
160080,75
160560,77
161040,75
161520,73
162720,75
162960,77
163200,78
163680,77
163920,77
164160,80
164640,77
164880,77
165120,75
165360,73
166560,73
166800,72
167040,70
168000,72
168960,73
169680,75
169920,77
170400,80
170580,75
170740,77
171000,75
171180,77
171360,75
174460,80
174700,81
179040,79
179280,76
180240,74
180960,78
181200,74
182160,69
182620,74
182860,74
183100,74
183340,78
183820,74
184060,73
184300,73
186720,79
186960,76
187440,83
188860,74
189100,74
189580,81
189820,78
190060,79
190560,78
190800,76
191520,74
191760,78
192700,79
192940,81
193180,76
193420,78
193660,76
193900,78
194860,76
195580,74
195820,76
196320,78
196560,74
197520,69
197980,74
198220,74
198460,74
198700,78
199180,74
199660,73
200160,73
202080,79
202320,76
202800,83
204220,74
204460,74
204940,81
205180,78
205420,79
205920,78
206160,76
206640,74
209260,74
212640,74
212880,74
