time,semitone
19680,55
20160,55
20580,60
20700,62
21120,62
21600,60
22080,59
22560,57
22800,55
23040,57
24000,55
27360,55
27840,55
28260,57
28380,59
28800,59
29700,60
29760,62
30420,60
30480,59
30660,60
34440,59
34560,60
35880,57
35940,59
36480,57
36960,55
37440,54
37860,55
37980,57
38340,55
38400,57
40320,55
41760,52
42180,59
42240,60
43560,57
43680,59
44100,57
44640,55
45120,54
45600,55
46020,54
46140,55
49440,55
49860,62
49920,64
50880,55
52320,54
52800,54
53220,62
53340,64
53820,64
54240,62
54480,61
54720,62
57120,55
57540,59
57600,60
58080,60
58560,59
59040,60
59460,62
59580,64
60420,62
60900,60
61440,60
61920,59
62160,57
62400,59
64800,55
65160,62
65280,64
65760,64
66240,64
66720,64
67080,64
67200,66
68160,64
69060,62
69600,62
69840,61
70080,62
72480,55
72900,59
72960,60
74340,57
74460,59
74880,57
75360,55
75840,54
76260,55
76320,57
76800,55
81120,55
81600,55
82020,60
82140,62
82560,62
83040,60
83520,59
84000,57
84240,55
84480,57
85440,55
88800,55
89280,55
89700,57
89820,59
90240,59
91140,60
91200,62
91860,60
91920,59
92100,60
95880,59
96000,60
97320,57
97380,59
97920,57
98400,55
98880,54
99300,55
99420,57
99780,55
99840,57
101760,55
103200,52
103620,59
103680,60
105000,57
105120,59
105540,57
106080,55
106560,54
107040,55
107460,54
107580,55
110880,55
111300,62
111360,64
112320,55
113760,54
114240,54
114660,62
114780,64
115260,64
115680,62
115920,61
116160,62
118560,55
118980,59
119040,60
119520,60
120000,59
120480,60
120900,62
121020,64
121860,62
122340,60
122880,60
123360,59
123600,57
123840,59
126240,55
126600,62
126720,64
127200,64
127680,64
128160,64
128520,64
128640,66
129600,64
130500,62
131040,62
131280,61
131520,62
133920,55
134340,59
134400,60
135780,57
135900,59
136320,57
136800,55
137280,54
137700,55
137760,57
138240,55
172320,57
172740,64
172800,66
173760,57
175200,56
175680,56
176100,64
176220,66
176700,66
177120,64
177360,63
177600,64
180000,57
180420,61
180480,62
180960,62
181440,61
181920,62
182340,64
182460,66
183300,64
183780,62
184320,62
184800,61
185040,59
185280,61
187680,57
188040,64
188160,66
188640,66
189120,66
189600,66
189960,66
190080,68
191040,66
191940,64
192480,64
192720,63
192960,64
195360,57
195780,61
195840,62
197220,59
197340,61
197760,59
198240,57
198720,56
199140,57
199200,59
199680,59
201600,58
203040,54
203400,61
203580,62
204840,59
204960,61
205440,59
205920,57
206400,56
206760,57
206880,59
207300,57
207360,59
208320,61
209280,58
210720,54
211080,61
211200,62
212520,59
212640,61
213120,59
213600,57
214080,56
214500,57
214620,59
215040,57
