time,semitone
11460,49
11508,50
12000,48
12240,55
13200,48
13488,50
13668,50
13908,48
14148,55
15108,48
15348,49
15408,50
15828,48
16068,55
16728,57
17268,50
18948,48
19188,50
19440,50
19680,48
19920,55
20880,48
21600,48
21840,55
22260,55
22560,57
22980,57
27360,55
27600,60
28320,52
28560,53
30228,55
30468,53
30708,52
31200,55
31680,60
32160,52
33588,53
34548,52
35040,55
35340,60
36000,52
36240,53
37908,55
38088,53
38328,52
38880,55
39360,60
39840,64
41748,60
41988,59
42228,60
42708,60
43188,62
43668,60
43908,59
44148,60
44640,60
45120,62
45600,60
45840,59
46560,60
47040,62
47520,60
47760,59
55608,49
55648,50
56070,48
56370,55
57330,48
57570,50
57810,50
58050,48
58290,55
59250,48
59490,49
59550,50
59970,48
60210,55
60930,57
61470,50
63090,48
63330,50
63570,50
63810,48
64050,55
65010,48
65250,50
65250,49
65730,48
65970,55
66390,55
66870,57
67230,57
71070,52
71490,55
71730,60
72450,52
72690,53
74370,55
74370,54
74610,53
74850,52
75330,55
75870,60
76350,52
76770,55
77790,53
78690,52
79230,55
79410,60
80130,52
80370,53
81810,54
81870,55
82050,55
82290,53
82530,52
83010,55
83550,60
83970,64
84450,62
85950,60
86130,59
86370,60
86850,60
87330,62
87810,60
88050,59
88290,60
88770,60
89250,62
89730,60
89970,59
90210,60
90690,60
91230,62
91650,60
91890,59
92130,60
94530,57
94770,59
95010,60
95490,55
95730,55
96450,60
96690,60
97710,64
97950,64
98370,62
98610,62
99330,57
99570,62
101970,57
102210,57
102450,59
102690,60
103230,55
103410,55
104130,60
104370,60
105330,64
105570,64
106050,65
106290,62
107010,63
107070,64
107250,62
108450,63
108510,64
109410,64
132990,57
133170,59
133410,60
133890,55
134130,55
134850,60
135090,60
136050,64
136290,64
136770,62
137010,62
137730,57
137970,62
140370,57
140610,57
140850,59
141150,60
141570,55
141810,55
142530,60
142770,60
143490,64
143730,64
143970,64
144450,65
144690,62
145410,64
145650,62
146850,61
147150,62
147510,64
147810,62
162690,62
162930,61
163170,62
163650,62
164130,62
164170,64
164810,62
164930,61
165050,62
165528,62
166068,62
166108,64
166708,62
166888,61
167070,62
167490,62
167970,62
167990,64
168470,62
168710,61
169008,62
170388,62
170628,61
170928,62
171348,62
171828,62
171888,64
172428,62
172608,61
172848,62
173268,62
173748,62
173808,64
174408,62
174528,61
174768,62
175188,62
175668,62
175728,64
176148,62
176388,61
176628,62
