time,semitone
10800,63
11040,63
11280,63
11520,62
11760,63
11880,63
12960,63
13200,63
13320,63
13440,62
13680,63
14160,60
15120,58
15240,58
15360,63
15600,63
16080,63
16200,63
16320,62
16560,63
16800,62
17280,58
17520,60
18720,58
18960,58
19200,60
19680,58
19920,58
20640,58
20880,58
21120,60
21600,58
21840,58
24480,62
24600,62
24840,62
24960,62
25200,63
25320,63
25560,63
25800,62
26040,63
26640,63
26760,63
26880,62
27120,63
27240,63
27480,62
27600,63
27840,60
28560,58
28680,58
28800,63
29040,63
29520,63
29640,63
29760,62
30000,63
30240,62
30720,58
30960,60
32160,58
32400,58
32640,60
33120,58
33360,58
34080,58
34320,58
34560,60
35040,58
35280,58
37680,58
37920,58
38160,67
38640,67
38880,67
39120,68
39360,67
39600,63
40080,58
40320,67
40560,67
40800,67
41040,68
41280,67
41520,63
42000,58
42240,67
42480,65
42720,67
42960,72
43200,70
43680,67
43920,63
44160,65
44400,67
44640,68
44880,70
45120,70
45360,58
45600,58
45840,67
46320,67
46560,67
46800,68
47040,67
47280,63
47760,58
48000,67
48480,67
48720,68
48960,67
49200,63
49680,58
49920,67
50160,65
50400,67
50640,72
50880,70
51360,67
51600,63
51840,65
52080,67
52320,68
52560,67
52800,65
55200,63
55440,63
55560,63
55680,62
55920,63
56040,63
56280,63
56520,63
57360,63
57480,63
57600,62
57840,63
58320,60
59280,58
59400,58
59520,63
59760,63
60120,63
60360,63
60480,62
60720,63
60960,62
61200,58
61680,60
62880,58
63120,58
63360,60
64080,58
64800,58
65040,58
65280,60
65760,58
66000,58
68400,58
68640,58
68880,67
69360,67
69600,67
69840,68
70080,67
70320,63
70800,58
71280,67
71520,67
71760,68
72000,67
72240,63
72720,58
72960,67
73200,65
73440,67
73680,72
73920,70
74400,67
74640,63
74880,65
75120,67
75360,68
75600,70
75840,70
76080,58
76320,58
76560,67
77040,67
77280,67
77520,68
77760,67
78000,63
78480,58
78720,67
79200,67
79440,68
79680,67
79920,63
80400,58
80640,67
80880,65
81120,67
81360,72
81600,70
82080,67
82320,63
82560,65
82800,67
83040,68
83280,70
83520,70
86400,67
86640,67
86880,67
87120,67
87600,65
87840,63
88080,65
88560,67
89520,55
89760,55
90000,65
90480,63
90720,63
92040,58
92160,65
92400,63
92520,65
92760,67
93000,65
116400,60
116640,60
116880,69
117360,69
117600,69
117840,70
118080,69
118320,65
118800,60
119040,69
119280,69
119520,69
119760,70
120000,69
120240,65
120720,60
120960,69
121200,67
121440,69
121680,74
121920,72
122400,69
122400,69
122640,65
122640,65
122880,67
122880,67
123120,69
123120,69
123360,70
123360,70
123600,72
123600,72
123840,72
124080,60
124320,60
124560,69
125040,69
125280,69
125520,70
125760,69
126000,65
126480,60
126720,69
127200,69
127440,70
127680,69
127920,65
128400,60
128640,69
128880,67
129120,69
129360,74
129600,72
130080,69
130320,65
130560,67
130800,69
131040,70
131280,69
131520,67
131760,60
132000,60
132240,69
132720,69
132960,69
133200,70
133440,69
133680,65
134160,60
134400,69
134640,69
134880,69
135120,70
135360,69
135600,65
136080,60
136320,69
136560,67
136800,69
137040,74
137280,72
137760,69
138000,65
138240,67
138480,69
138720,70
138960,72
139200,72
139440,60
139680,60
139920,69
140400,69
140640,69
140880,70
141120,69
141360,65
141840,60
142080,69
142560,69
142800,70
143040,69
143280,65
143760,60
144000,69
144240,67
144480,69
144720,74
144960,72
145440,69
145680,65
145920,67
146160,69
146400,70
146640,72
146880,72
