time,semitone
31680,66
32640,66
33360,61
33840,61
34320,59
34560,61
35520,59
35820,61
36240,69
36480,68
36960,61
37440,61
37680,59
38160,61
39360,61
39660,59
40020,57
40320,66
41280,66
41580,66
41880,66
42240,66
43200,61
43500,59
43860,57
44160,59
44640,59
44880,61
45360,64
45840,59
47040,66
48000,66
48960,61
49260,61
49620,59
49920,61
50880,61
51180,64
51540,69
51840,68
52800,61
53160,61
53520,59
53760,61
54720,61
55020,59
55380,57
55680,66
56640,66
56940,66
57240,66
57600,66
58560,61
58860,59
59220,57
59520,59
60000,59
60240,61
60720,64
61200,59
63840,61
64080,59
64320,61
65040,59
65280,61
65760,66
66240,64
66480,59
66720,61
67680,61
67920,59
68160,61
68880,59
69120,61
69600,69
70080,69
70320,68
70560,69
71520,69
71760,68
72000,69
72720,66
72960,69
73440,66
73920,69
74400,66
74880,71
75840,71
78240,64
78720,71
79680,69
81600,68
81840,66
82080,68
82320,69
82560,66
85440,66
85680,69
86400,73
87120,71
89280,69
89760,66
90240,69
90720,71
91200,71
93600,64
94080,71
95040,69
96960,68
97200,66
97440,68
97680,69
97920,66
100800,61
101040,64
101760,66
102480,62
104880,62
105360,59
105600,62
106080,64
106560,64
127680,66
128640,66
129600,61
129900,61
130260,59
130560,61
131520,61
131820,64
132180,69
132480,68
133440,61
133800,61
134160,59
134400,61
135360,61
135660,59
136020,57
136320,66
137280,66
137580,66
137880,66
138240,66
139200,61
139500,59
139860,57
140160,59
140640,59
140880,61
141360,64
141840,59
144480,61
144720,59
144960,61
145680,59
145920,61
146400,66
146880,64
147120,59
147360,61
148320,61
148560,59
148800,61
149520,59
149760,61
150240,69
150720,69
150960,68
151200,69
152160,69
152400,68
152640,69
153360,66
153600,69
154080,66
154560,69
155040,66
155520,71
156480,71
158880,64
159360,71
160320,69
162240,68
162480,66
162720,68
162960,69
163200,66
166080,66
166320,69
167040,73
167760,71
169920,69
170400,66
170880,69
171360,71
171840,71
174240,64
174720,71
175680,69
177600,68
177840,66
178080,68
178320,69
178560,66
181440,66
181920,69
182400,73
183120,71
185280,69
185760,66
186240,69
186720,71
187200,71
221280,69
221520,66
221760,69
222000,66
222480,66
222720,73
222960,71
223200,71
223440,73
223680,71
224160,66
225120,69
225360,66
225600,69
225840,66
226320,66
226560,73
226860,71
227220,73
227520,71
228000,66
228720,71
229200,71
229440,71
229680,69
230100,71
230640,71
230880,71
231840,69
232320,76
232800,76
233280,76
233760,76
236160,78
236640,81
239520,64
240000,71
240960,69
242880,68
243120,66
243360,68
243600,69
243840,66
246720,66
246960,69
247680,73
248400,71
250560,69
251040,66
251520,69
252000,71
252480,71
254880,64
255360,71
256320,69
258240,68
258480,66
258720,68
258960,69
259200,66
262080,66
262560,69
263040,73
263760,71
265920,69
266400,66
266880,69
267360,71
267840,69
270480,64
270720,71
271680,69
273600,68
273840,66
274080,68
274320,69
274560,66
277440,66
277680,69
278400,73
279120,71
281280,69
281760,66
282240,69
282720,71
283200,69
287760,69
288000,69
288480,69
288720,69
289440,66
289920,71
290700,69
295440,69
295680,69
296160,69
296400,69
297120,66
297600,69
298380,64
