time,semitone
17280,59
19680,55
20160,62
20640,59
21120,57
21840,59
24000,55
24480,57
24960,59
27360,55
27840,57
28320,64
28800,62
32640,59
35040,55
35520,62
36000,59
36480,57
37200,54
37680,57
38160,56
38640,52
39120,57
39600,59
40320,57
42720,52
43200,52
43680,55
44160,55
44640,57
44880,54
48000,62
48480,60
48720,59
49200,57
49680,60
50160,59
50640,57
51120,55
51840,54
52560,55
53040,57
53520,54
55680,62
56160,60
56400,59
56880,57
57360,60
57840,59
58320,57
58800,66
59520,62
63360,62
63840,60
64080,59
64560,57
65040,60
65520,59
66000,57
66480,55
67200,54
67920,55
68400,57
68880,56
69360,52
69840,56
70320,59
71040,57
73440,52
73920,52
74400,55
74880,55
75360,57
75600,54
77280,62
77760,62
78240,66
78720,66
79440,67
81120,62
81600,71
82080,67
82560,66
83280,67
84960,62
85440,62
85920,66
86400,66
87120,67
88800,62
89280,74
89760,71
90240,69
90960,71
92640,62
93120,62
93600,66
94080,66
94800,67
95520,62
96000,66
96720,67
97440,62
97920,66
98640,67
99120,62
99600,64
100080,62
100560,60
101040,59
101760,59
102480,60
102720,60
104640,62
104960,60
105380,59
105620,59
106340,60
106580,57
109460,59
111860,55
112340,62
112820,59
113300,57
114020,59
116180,55
116660,57
117140,59
119540,55
120020,57
120500,64
120980,62
124820,59
127220,55
127700,62
128180,59
128660,57
129380,54
129860,57
130340,56
130820,52
131300,57
131780,59
132500,57
134900,52
135380,52
135860,55
136340,55
136820,57
137060,54
138740,62
139220,62
139700,66
140180,66
140900,67
142580,62
143060,71
143540,67
144020,66
144740,67
146420,62
146900,62
147380,66
147860,66
148580,67
150260,62
150740,74
151220,71
151700,69
152420,71
154100,62
154580,62
155060,66
155540,66
156260,67
156980,62
157460,66
158180,67
158900,62
159380,66
160100,67
160580,62
161060,64
161540,62
162020,60
162500,59
163220,59
163940,60
164180,60
166100,62
166420,60
166780,59
167020,59
167740,60
167980,57
215520,62
216000,62
216480,66
217660,67
219340,62
219820,71
220300,67
220780,66
221500,67
223180,62
223660,62
224140,66
224620,66
225340,67
227040,62
227520,74
228000,71
229180,71
230880,62
231360,62
231840,66
233020,67
233740,62
234220,66
234940,67
235660,62
236140,66
236860,67
237340,62
237820,64
238300,62
238780,60
239260,59
239980,59
240700,60
240940,60
242860,62
243180,60
243600,59
243840,59
244560,60
244800,57
246240,62
246720,62
247200,66
247680,66
248400,67
250080,62
250560,71
251040,67
251520,66
252240,67
253920,62
254400,62
254880,66
255360,66
256080,67
257760,62
258240,74
258720,71
259200,69
259920,71
261600,62
262080,62
262560,66
263040,66
263760,67
264480,62
264960,66
265680,67
266400,62
266880,66
267600,67
268080,62
268560,64
269040,62
269520,60
270000,59
270720,59
271440,60
271680,60
273600,62
273920,60
274340,59
274580,59
275300,60
275540,57
276980,62
277460,62
277940,66
278420,66
279140,67
280820,62
281300,71
281780,67
282260,66
282980,67
284660,62
285140,62
285620,66
286100,66
286820,67
