time,semitone
19200,54
21120,54
21360,54
21840,56
22080,54
22560,52
23040,56
24960,54
25200,54
25680,56
25920,54
26400,52
26880,56
27600,54
27840,52
28800,54
29040,54
29520,56
29760,54
30240,52
30720,49
34080,47
34560,56
36480,54
36720,54
37200,56
37440,54
37920,52
38400,56
40320,54
40560,54
41040,56
41280,54
41760,52
42240,56
42960,54
43080,56
43080,54
43200,52
44160,54
44400,54
44880,56
45120,54
45600,52
46080,52
49920,52
50400,54
50880,56
51360,61
51840,59
53760,57
54000,59
54480,59
54720,52
55440,52
55680,52
56160,54
56640,56
57600,52
58080,54
58560,56
59040,61
59520,59
61440,57
61680,59
62160,59
62400,52
63120,47
63360,52
63840,54
64320,56
65520,59
65760,59
66000,64
66240,63
66720,59
67200,61
67920,59
69120,59
69360,59
69840,64
70080,63
70560,59
71040,61
71760,59
72960,59
73200,59
73680,64
73920,63
74400,59
74880,61
75600,59
76800,54
77040,54
77520,56
77760,54
78240,52
78720,52
80640,54
80880,54
81360,56
81600,54
81840,52
82080,59
84480,54
84720,54
85200,56
85440,54
85680,52
85920,59
85920,57
88320,54
88560,54
89040,56
89280,54
89520,52
89760,61
90240,59
97440,47
97920,56
99840,54
100080,54
100560,56
100800,54
101280,59
101760,59
103680,54
103920,54
104400,56
104640,54
105120,52
105600,56
106320,54
106440,56
106440,54
106560,52
107520,54
107760,54
108240,56
108480,54
108960,52
109440,52
112320,61
112800,59
113280,59
113520,56
115200,54
115440,54
115920,56
116160,54
116640,52
117120,56
119040,54
119280,54
119760,56
120000,54
120480,52
120960,56
121680,54
121800,56
121800,54
121920,52
122880,54
123120,54
123600,56
123840,54
124320,52
124800,52
128640,52
129120,54
129600,56
130080,61
130560,59
132480,57
132720,59
133200,59
133440,52
134160,52
134400,52
134880,54
135360,56
136320,52
136800,54
137280,56
137760,61
138240,59
140160,57
140400,59
140880,59
141120,52
141840,47
142080,52
142560,54
143040,56
144240,59
144480,59
144720,64
144960,63
145440,59
145920,61
146640,59
147840,59
148080,59
148560,64
148800,63
149280,59
149760,61
150480,59
151680,59
151920,59
152400,64
152640,63
153120,59
153600,61
154320,59
155520,54
155760,54
156240,56
156480,54
156960,52
157440,52
159360,54
159600,54
160080,56
160320,54
160560,52
160800,59
163200,54
163440,54
163920,56
164160,54
164400,52
164640,59
164640,57
167040,54
167280,54
167760,56
168000,54
168240,52
168480,61
168960,59
190080,57
190320,57
190800,59
191040,57
191520,55
192000,62
193920,57
194160,57
194640,59
194880,57
195360,55
195840,62
197760,57
198000,57
198480,59
198720,57
198960,55
199200,64
199680,62
201600,57
201840,57
202320,59
202560,57
203040,55
203520,55
205440,55
205440,57
205680,57
206160,59
206400,57
206640,55
206880,64
207360,62
209280,57
209520,57
210000,59
210240,57
210720,55
211200,62
213120,57
213360,57
213840,59
214080,57
214320,55
214560,64
215040,62
216960,57
217200,57
217680,59
217920,57
218400,55
218880,55
220800,57
221040,57
221520,59
221760,57
222000,55
222240,62
228480,57
228720,57
229200,59
229440,57
229680,55
229920,64
230400,62
232320,57
232560,57
233040,59
233280,57
233760,55
234240,57
234960,55
236400,57
236640,57
236880,59
237120,57
237600,55
238080,62
240000,57
240240,57
240720,59
240960,57
241440,55
241920,62
243840,57
244080,57
244560,59
244800,57
245280,55
245760,55
