time,semitone
78240,60
78720,62
79680,64
80640,57
81120,62
85200,59
85440,59
85920,60
86160,62
86880,59
87360,57
87840,59
88320,57
88800,55
91200,62
91680,61
93600,61
94080,62
95040,64
96000,57
96480,62
101280,60
101760,62
102240,64
103200,57
104160,62
104640,62
108240,59
108480,59
108960,60
109200,62
109920,59
110400,57
110880,59
111360,57
111840,55
114240,62
114720,61
116640,61
117120,62
118080,64
119040,57
119520,62
121920,59
122400,60
122640,62
123360,59
123600,57
124320,55
124800,62
125280,59
125520,57
126240,57
126480,59
126720,57
127200,55
132480,64
132720,62
132960,64
133200,62
133440,64
133920,62
134160,64
134880,57
135360,62
135840,60
136320,60
136800,59
137280,57
137760,59
138240,57
138720,55
139680,55
139920,53
140160,52
140640,55
141120,59
141600,60
143040,60
143280,62
143520,64
144000,65
145440,64
145920,60
146400,62
147840,64
148080,62
148320,64
148560,62
148800,64
149280,62
149520,64
150240,57
150720,62
151200,60
151680,60
152160,59
152640,57
153120,59
153600,57
154080,55
155040,55
155280,53
155520,52
156000,55
156480,59
156960,60
158400,60
158640,62
158880,64
159360,65
161760,64
162720,60
163680,62
164640,60
165120,62
165600,64
166560,57
167520,62
168000,62
171600,59
171840,59
172320,60
172560,62
173280,59
173760,57
174240,59
174720,57
175200,55
177600,62
178080,61
180000,61
180480,62
181440,64
182400,57
182880,62
185280,59
185760,60
186000,62
186720,59
186960,57
187680,55
188160,62
188640,59
188880,57
189600,57
189840,59
190080,57
190560,55
195840,64
196080,62
196320,64
196560,62
196800,64
197280,62
197520,64
198240,57
198720,62
199200,60
199680,60
200160,59
200640,57
201120,59
201600,57
202080,55
203040,55
203280,53
203520,52
204000,55
204480,59
204960,60
206400,60
206640,62
206880,64
207360,65
208800,64
209280,60
209760,62
211200,64
211440,62
211680,64
211920,62
212160,64
212640,62
212880,64
213600,57
214080,62
214560,60
215040,60
215520,59
216000,57
216480,59
216960,57
217440,55
218400,55
218640,53
218880,52
219360,55
219840,59
220320,60
221760,60
222000,62
222240,64
222720,65
225120,64
226080,60
226560,62
268800,66
269040,64
269280,66
269520,64
269760,66
270240,64
270480,66
271200,59
271680,64
272160,62
272640,62
273120,61
273600,59
274080,61
274560,59
275040,57
276000,57
276240,55
276480,54
276960,57
277440,61
277920,62
279360,62
279600,64
279840,66
280320,67
281760,66
282240,62
282720,64
284160,66
284400,64
284640,66
284880,64
285120,66
285600,64
285840,66
286560,59
287040,64
287520,62
288000,62
288480,61
288960,59
289440,61
289920,59
290400,57
291360,57
291600,55
291840,54
292320,57
292800,61
293280,62
294720,62
294960,64
295200,66
295680,67
298080,66
299040,62
299520,64
