time,semitone
2880,60
3360,53
3600,55
6480,45
6720,57
6960,55
7200,53
7440,52
7680,50
8160,48
8400,48
10320,48
10560,60
11040,53
11280,55
14160,45
14400,57
14640,55
14880,53
15120,52
15360,50
15840,48
16080,48
16800,53
17040,52
17280,53
18720,53
18960,52
19200,53
20400,48
20640,53
20880,52
21120,53
22080,53
22320,57
22560,60
22800,64
23280,62
23520,62
24240,60
24480,60
24720,60
26400,58
26640,57
26880,57
27360,54
27600,55
27720,57
28320,54
28560,55
28680,57
29280,62
29520,64
29760,66
30000,64
30240,62
30480,61
30720,59
31200,57
31440,57
32400,54
32640,55
32880,54
33120,55
33360,57
34080,59
34320,57
34560,57
35040,54
35280,55
35400,57
36000,54
36240,55
36360,57
36960,62
37200,64
37440,66
37680,64
37920,62
38160,61
38400,59
38880,57
39120,57
40080,54
40320,55
40560,64
40800,62
41760,61
42240,62
47040,62
47280,60
47520,58
47760,60
48480,60
48960,53
49440,60
49680,58
49920,58
50640,50
50880,58
51120,57
51360,55
51600,57
54720,62
54960,60
55200,58
55440,60
56160,60
56640,53
57120,60
57360,58
57600,58
58560,58
58800,60
58800,57
59040,62
59040,55
59280,64
59280,57
60960,59
61200,57
61440,57
61920,54
62160,55
62280,57
62880,54
63120,55
63240,57
63840,62
64080,64
64320,66
64560,64
64800,62
65040,61
65280,59
65760,57
66000,57
66960,54
67200,55
67440,54
67680,55
67920,57
68640,59
68880,57
69120,57
69600,54
69840,55
69960,57
70560,54
70800,55
70920,57
71520,62
71760,64
72000,66
72240,64
72480,62
72720,61
72960,59
73440,57
73680,57
74640,54
74880,55
75120,64
75360,62
76320,61
76800,62
95520,53
95760,52
96000,53
97440,53
97680,52
97920,53
99120,48
99360,53
99600,52
99840,53
100800,53
101040,57
101280,60
101520,64
102000,62
102240,62
102480,62
102960,60
103200,60
103440,60
107040,58
107280,57
107520,57
108000,54
108240,55
108360,57
108960,54
109200,55
109320,57
109920,62
110160,64
110400,66
110640,64
110880,62
111120,61
111360,59
111840,57
112080,57
113040,54
113280,55
113520,54
113760,52
114000,59
114240,57
114720,59
114960,57
115200,57
115680,54
115920,55
116040,57
116640,54
116880,55
117000,57
117600,62
117840,64
118080,66
118320,64
118560,62
118800,61
119040,59
119520,57
119760,57
120720,54
120960,55
121200,64
121440,62
122400,61
122880,62
123120,60
126480,57
126600,55
126720,53
128400,57
128640,58
128880,57
129120,55
129360,60
129480,62
129600,60
130080,62
130560,60
131040,57
131280,58
131400,60
132000,57
132240,58
132360,60
132960,65
133200,67
133440,69
133680,67
133920,69
134160,72
134400,72
134880,65
135120,65
136080,60
136320,65
136560,67
136800,67
137760,65
138240,65
140160,53
141120,53
141360,52
141600,50
141840,48
142080,50
143040,53
144000,58
144960,58
145200,57
145440,55
145680,53
145920,45
146880,48
147840,53
148800,53
149040,52
149280,50
149520,48
149760,41
150720,48
151440,57
151680,58
151680,46
151920,67
152160,65
155040,64
155520,65
161160,57
161460,58
162060,67
163500,65
164160,65
