time,semitone
10080,67
10320,68
10560,70
11460,69
11520,70
12240,68
12480,68
13440,70
13920,70
14400,63
14760,65
15120,67
15360,67
15480,68
17760,67
18000,68
18240,70
18960,75
19200,74
19920,72
20160,72
20880,72
21120,70
21600,70
22080,63
22440,65
22800,67
23040,68
24240,67
24480,65
24720,67
25200,67
25440,67
25920,67
26160,72
26400,71
26640,67
28080,64
28320,65
28560,67
29040,67
29280,67
29520,60
30000,62
30240,64
30480,65
31920,64
32160,65
32400,67
32880,67
33120,67
33600,67
33840,72
34080,71
34320,67
35760,64
36000,65
36240,67
36720,67
36960,67
37200,60
37680,62
37920,64
38160,65
40800,67
41040,68
41280,70
42240,70
42960,68
43200,68
44160,70
44640,70
45120,63
45480,65
45840,67
46020,67
46060,68
48480,67
48720,68
48960,70
49680,75
50620,72
50860,72
51580,72
51820,70
52320,70
52800,63
53160,65
53520,67
53780,68
54980,67
55220,65
55460,67
55940,67
56180,67
56660,67
56900,72
57140,71
57380,67
58820,64
59060,65
59300,67
59780,67
60020,67
60260,60
60740,62
60980,64
61220,65
62660,64
62900,65
63140,67
63620,67
63860,67
64340,67
64580,72
64820,71
65060,67
66500,64
66740,65
66980,67
67460,67
67700,67
67940,60
68420,62
68660,64
68900,65
70820,67
71060,70
71540,70
72020,63
72380,65
72740,67
72980,68
73460,68
73940,62
74300,63
74660,65
74900,67
75380,67
75860,60
76220,62
76580,63
76760,63
76800,65
78960,58
79200,68
79440,67
79680,63
80100,64
80140,65
80620,63
110620,64
110860,65
111100,67
111580,67
111820,67
112300,67
112540,72
112780,71
113020,67
114480,64
114720,65
114960,67
115420,67
115660,67
115900,60
116380,62
116620,64
116860,65
118320,64
118560,65
118800,67
119260,67
119500,67
119980,67
120220,72
120460,71
120700,67
122160,64
122400,65
122640,67
123120,67
123360,67
123600,60
124080,62
124320,64
124560,65
127200,67
127440,68
127680,70
129340,68
129580,68
130300,67
130540,70
131040,70
131520,63
131880,65
132240,67
132500,68
134900,67
135140,68
135380,70
136100,75
136340,74
137060,72
137300,72
138020,72
138260,70
138740,70
139220,63
139580,65
139940,67
140180,68
141380,67
141620,65
141860,67
142340,67
142580,67
143060,67
143300,72
143540,71
143780,67
145220,64
145460,65
145700,67
146180,67
146420,67
146660,60
147140,62
147380,64
147620,65
149060,64
149300,65
149540,67
150020,67
150260,67
150740,67
150980,72
151220,71
151460,67
152900,64
153140,65
153380,67
153860,67
154100,67
154340,60
154820,62
155060,64
155300,65
157220,67
157460,70
157940,70
158420,63
158780,65
159140,67
159380,68
159860,68
160340,62
160700,63
161060,65
161300,67
161780,67
162260,60
162620,62
162980,63
163220,65
165380,58
165620,68
165860,67
166100,63
166580,64
166580,65
167060,63
173060,58
173300,68
173540,67
173780,63
174260,65
174740,67
