time,semitone
7680,65
8040,56
9960,58
10080,58
10320,60
10440,61
10800,60
11040,58
11280,56
11520,65
11880,56
13800,58
13920,58
14160,60
14280,61
14640,60
14880,58
15120,56
15360,56
15720,64
15780,65
17040,56
17280,54
17640,63
18720,61
18960,63
19200,65
19560,56
21480,58
21600,58
21840,60
21960,61
22320,60
22560,58
22800,56
23040,65
23400,56
25320,58
25440,58
25680,60
25800,61
26160,60
26400,58
26640,56
26820,56
27240,65
28560,56
28800,54
29184,63
30264,65
30384,61
30444,63
30564,60
30744,61
31104,61
31224,61
31404,61
31524,61
31944,61
32184,63
32364,65
32664,66
33024,65
33384,61
34890,61
35010,61
35250,61
35370,61
35790,61
36030,63
36210,65
36450,66
37764,63
37884,65
38184,66
38364,68
38784,68
38904,68
39144,68
39264,68
39624,66
39864,65
40104,63
40344,63
40704,65
41664,63
41784,63
42024,65
42264,66
42624,66
42744,66
42984,66
43104,66
43464,65
43704,63
43944,61
44184,61
44544,63
45504,63
45624,65
45864,66
46104,68
46464,68
46584,68
46824,68
46944,68
47304,66
47544,65
47784,63
48024,63
48384,65
49344,61
49464,63
49704,65
49944,66
50184,58
50304,58
51624,58
51864,66
52104,66
52344,66
52584,65
52824,61
53304,63
53304,62
53784,61
57624,65
57984,56
59904,58
60024,58
60204,60
60324,61
60684,60
60984,58
61164,56
61464,65
61824,56
63690,58
63810,58
64050,60
64170,61
64530,60
64770,58
65010,56
65250,56
65610,64
65634,65
66954,56
67194,54
67560,63
68640,65
68760,61
68856,63
68976,61
68976,60
69144,61
69444,61
69564,61
69804,61
69924,61
70284,61
70524,63
70764,65
71064,66
71424,65
71784,61
73344,61
73464,61
73704,61
73764,61
74184,61
74424,63
74604,65
74844,66
76230,63
76350,65
76530,66
76770,68
77130,68
77250,68
77490,68
77610,68
78030,66
78270,65
78450,63
78690,63
79050,64
79050,65
80010,63
80190,63
80430,65
80664,66
81024,66
81144,66
81384,66
81504,66
81864,65
82104,63
82344,61
82524,61
82890,62
82930,63
83830,63
84010,65
84250,66
84510,68
84870,68
84990,68
85230,68
85350,68
85710,66
85950,65
86190,63
86430,63
86730,64
86778,65
87738,61
87858,63
88098,65
88575,58
88695,58
90015,58
90480,66
90720,66
90960,65
91200,61
91680,62
91704,63
92190,61
94230,58
94350,58
94470,58
94590,58
94830,60
95070,61
96150,56
96270,56
96390,56
96510,56
96750,60
96990,61
97650,65
97950,66
98190,65
98250,66
98550,65
98910,61
99570,65
99870,66
100110,66
100230,66
100410,68
100830,68
101730,69
102720,70
102720,68
102960,68
103200,67
103440,68
104040,63
105120,64
105180,65
105360,63
105960,63
110760,65
110880,65
111120,66
111720,68
111840,68
112080,68
112200,68
112560,66
112800,65
113040,63
113640,65
114600,63
114720,63
114960,65
115560,66
115680,66
115920,66
116040,66
116400,65
116640,63
116880,61
117480,63
118440,65
118560,65
118800,66
119400,68
119520,68
119760,68
119880,68
120240,66
120480,65
120720,63
121320,65
122280,61
122400,63
122640,65
123120,58
123240,58
124560,58
125040,66
125280,66
125520,65
125760,61
126240,63
