time,semitone
9360,57
9480,55
9600,57
9840,58
10080,60
10320,55
10320,57
11280,57
11400,55
11520,57
11760,58
12000,60
12240,55
12240,57
13080,48
13200,57
13320,55
13440,57
14160,53
14400,60
14640,58
14880,57
15120,55
15240,57
15480,55
15600,53
17040,55
17160,57
17280,58
17520,57
17760,55
18000,58
18960,55
19080,57
19200,58
19440,57
19680,55
19920,53
20160,53
20880,55
20880,54
21840,57
21960,55
22080,57
22320,58
22560,60
22800,55
22800,57
23760,57
23880,55
24000,57
24240,58
24480,60
24720,55
24720,57
25560,48
25680,57
25800,55
25920,57
26640,53
26880,60
27120,58
27360,57
27600,55
27720,57
27960,55
28080,53
29520,55
29640,57
29760,58
30000,57
30240,55
30480,58
30480,57
31440,55
31560,57
31680,58
31920,57
32160,55
32400,53
32640,53
33360,55
33360,54
34320,53
34560,57
36480,59
36720,61
36960,59
37200,61
37680,52
38400,59
38640,61
38880,59
39120,61
39600,54
40320,59
40560,61
40800,52
41040,54
41520,56
41520,54
42240,54
42480,56
42720,57
42960,59
43440,52
43680,52
43920,52
44160,59
44400,61
44640,59
44880,61
45360,52
45960,52
46080,59
46320,61
46560,59
46800,61
47280,54
48000,59
48240,61
48480,52
48720,54
49200,56
49920,54
50160,56
50400,57
50640,59
51120,57
51360,56
51600,57
53520,57
53760,57
54000,58
54240,60
54480,58
54960,57
55200,55
55440,53
55680,60
55920,62
56160,60
56400,62
57240,62
57240,60
57360,58
57480,60
57600,62
58560,62
58920,60
59160,58
59280,60
59520,62
61200,62
61440,62
61920,61
62400,59
62880,57
63360,59
63600,61
63840,59
64080,61
64560,52
65280,59
65520,61
65760,59
66000,61
66480,54
67080,52
67200,59
67440,61
67680,52
67920,54
68400,56
69120,54
69360,56
69360,54
69600,57
69840,59
70320,57
70560,56
70800,59
70800,57
71040,57
78480,55
78600,57
78720,58
78960,57
79200,55
79440,58
80400,55
80520,57
80640,58
80880,57
81120,55
81360,53
81600,53
82320,55
83280,53
83520,57
85440,59
85680,61
85920,59
86160,61
86640,52
87360,59
87600,61
87840,59
88080,61
88560,54
89280,59
89520,61
89760,52
90000,54
90480,56
90480,54
91200,54
91440,56
91680,57
91920,59
92400,52
92640,52
92880,52
93120,59
93360,61
93600,59
93840,61
94320,52
94920,52
95040,59
95280,61
95520,59
95760,61
96240,54
96960,59
97200,61
97440,52
97680,54
98160,56
98880,54
99120,56
99360,57
99600,59
100080,57
100320,56
100560,59
100800,57
107760,52
108000,52
108240,52
108480,59
108720,61
108960,59
109200,61
109680,52
110280,52
110400,59
110640,61
110880,59
111120,61
111600,54
112080,52
112320,59
112560,61
112800,52
113040,54
113520,56
113520,54
114240,54
114480,56
114720,57
114960,59
115440,57
115680,56
115920,59
116160,57
116160,57
117840,57
118080,57
118320,58
118560,60
118800,58
119280,57
119520,55
119760,53
120000,60
120240,62
120480,60
120720,62
121560,62
121620,60
121680,58
121800,60
121920,62
122880,62
123240,60
123480,58
123600,60
123720,62
125520,62
125760,62
126240,61
126720,59
127200,57
127680,59
127920,61
128160,59
128400,61
128880,52
129300,63
129360,64
129840,61
130080,59
130320,61
130800,54
131280,52
131520,59
131760,61
132000,52
132240,54
132720,56
132720,54
133440,54
133680,56
133920,57
134160,59
134640,57
134880,56
135120,59
135360,57
136800,55
137280,54
