time,semitone
7440,52
7680,61
8400,61
8820,61
9300,61
11280,61
11520,61
11940,62
12240,59
12660,57
13140,59
13140,58
15120,52
15360,61
16080,61
16500,61
16980,61
18960,61
19200,61
19680,62
19920,59
20400,57
20820,58
20880,59
22800,52
23040,57
23760,59
24240,61
24720,54
26640,54
26880,52
27300,57
27540,57
28320,61
28800,62
29280,61
29520,57
30000,59
30720,57
34260,54
34560,52
35040,57
35280,57
35940,61
36480,62
36960,61
37200,57
37680,59
46080,64
46500,62
46800,61
47220,59
47760,59
48240,61
61200,52
61440,57
62160,59
62640,61
63120,54
68880,52
69120,61
69540,62
69840,59
70320,57
70800,59
71280,66
71760,64
72720,52
72960,61
73440,62
73680,59
74160,57
74580,59
75060,61
75300,59
75540,61
76560,61
76800,61
77280,62
77520,59
78480,57
78780,59
79200,61
79440,57
80160,52
80400,52
80640,61
81120,62
81360,59
82080,57
82320,57
90240,61
90720,61
90960,61
91440,61
91680,59
91920,61
93600,61
93840,61
94080,61
94560,62
94800,59
95280,57
95760,57
96300,56
97920,61
98400,59
98640,57
99060,56
99600,57
101280,61
101520,61
101760,61
102240,62
102480,59
102960,57
103440,59
105600,57
106080,57
106320,56
106800,52
107220,53
107280,54
109200,54
109440,52
109920,57
110160,57
110880,61
111360,62
111840,61
112080,57
112560,59
113280,57
116880,54
117120,52
117540,57
117780,57
118560,61
119040,62
119520,61
119760,57
120240,59
120720,52
120960,61
121440,62
121680,59
122160,57
122640,59
123120,66
123600,64
124500,52
124800,61
125280,62
125520,59
126000,57
126480,59
126960,61
127200,59
127440,61
128400,61
128640,61
129120,62
129360,59
130320,57
130560,59
131040,61
131280,57
132000,52
132240,52
132480,61
132900,62
133200,59
133860,57
134160,57
153360,52
153600,57
154320,59
154800,61
155280,54
157140,54
157380,52
157920,57
158160,57
158880,61
159360,62
159840,61
160080,57
160560,59
161040,52
161280,61
161760,62
162000,59
162480,57
162960,59
163440,66
163920,64
164880,52
165120,61
165600,62
165840,59
166320,57
166800,59
167280,61
167520,59
167700,61
168720,61
168960,61
169440,62
169920,59
170640,57
170880,59
171360,61
171840,57
172320,52
172500,52
172800,61
173280,62
173520,59
174240,57
174480,57
176400,61
176640,61
177120,62
177540,59
178320,57
178560,59
179040,61
179520,57
179940,52
180240,52
180480,61
180960,62
181200,59
181920,57
182160,57
