time,semitone
4020,55
4740,64
5940,62
6180,64
6420,65
6660,65
7140,64
7620,62
7860,60
8580,57
9780,59
10020,60
10260,62
10500,59
10980,57
11460,55
11700,55
12420,64
15540,57
15840,59
16160,60
16460,65
17180,64
17480,62
18380,64
18860,62
19340,55
20060,64
21320,62
21560,64
21740,65
22040,65
22520,64
22940,62
23180,60
23900,57
25100,59
25340,60
25580,62
25880,59
26300,57
26780,55
27080,55
27740,64
30860,57
31220,59
31520,60
31820,65
32540,64
32840,62
35660,48
35720,57
35720,53
36020,59
36200,60
36500,62
36980,60
37400,59
37880,57
38300,48
38360,52
38420,55
40280,59
40460,53
40520,57
40580,60
41000,59
41300,57
41720,55
42200,53
43460,50
43760,53
44120,60
44240,50
44360,55
44420,59
44840,57
45080,55
45560,53
46460,48
46460,43
46520,52
46760,53
47000,55
51140,60
51380,62
51560,63
51800,65
52280,63
52760,62
53240,60
53720,58
55640,62
55820,56
55880,60
55940,63
56360,62
56660,60
57080,58
57560,56
58760,53
59120,56
59480,60
59720,58
60740,55
61040,58
61400,62
61640,62
62120,63
62360,63
62840,62
63080,63
63560,65
65480,55
66140,64
67400,62
67580,64
67820,65
68060,65
68600,64
69020,62
69260,60
69980,57
71180,59
71420,60
71660,62
71960,59
72380,57
72860,55
73100,55
73820,64
77000,57
77300,59
77600,60
77900,65
78620,64
78860,62
79820,64
80300,62
80780,55
81500,64
82760,62
83000,64
83240,65
83480,65
83900,64
84380,62
84620,60
85400,57
86540,59
86780,60
87080,62
87320,59
87740,57
88220,55
88460,55
89180,64
92360,57
92660,59
92960,60
93260,65
93980,64
94280,62
97040,48
97100,53
97160,57
97400,59
97640,60
97940,62
98360,60
98840,59
99320,57
99740,52
99740,48
99860,55
101720,59
101900,53
101960,57
102020,60
102440,59
102680,57
103160,55
103640,53
104840,50
105200,53
105560,60
105680,50
105800,55
105860,59
106280,57
106580,55
107000,53
107900,48
107900,43
107948,52
108188,53
108428,55
112590,60
112830,62
113070,63
113250,65
113790,63
114270,62
114750,60
115170,58
117150,62
117330,56
117390,60
117450,63
117870,62
118110,60
118530,58
119010,56
120270,53
120630,56
120930,60
121230,58
122190,55
122490,58
122850,62
123150,62
123570,63
123810,63
124290,62
124530,63
125010,65
126930,55
127590,64
128850,62
129090,64
129270,65
129570,65
129990,64
130470,62
130710,60
131490,57
132690,59
132870,60
133170,62
133350,59
133830,57
134310,55
134550,55
135270,64
138390,57
138750,59
139110,60
139410,65
140070,64
140370,62
141330,64
141810,62
142230,55
142950,64
144210,62
144450,64
144690,65
144930,65
145410,64
145830,62
146070,60
146850,57
147990,59
148290,60
148530,62
148770,59
149250,57
149670,55
149910,55
150630,64
153750,57
154110,59
154470,60
154710,65
155430,64
155730,62
156690,64
157110,62
157590,55
158310,64
159570,62
159810,64
159990,65
160230,65
160710,64
161190,62
161490,60
162210,57
163350,59
163650,60
163890,62
164130,59
164610,57
165030,55
165330,55
165990,64
169110,57
169470,59
169790,60
170090,65
170810,67
171030,67
171090,65
171990,69
172470,67
172950,64
173670,64
174870,62
175110,64
175350,65
175590,65
176070,64
176550,67
176790,67
177510,65
178710,59
179010,60
179250,62
179490,59
179910,57
180390,55
180630,55
181350,64
184470,57
184830,59
185070,60
185370,65
186150,64
186390,62
187410,64
187830,62
188310,55
189030,64
190230,62
190470,64
190710,65
190950,65
191430,64
191910,62
192210,62
192870,60
193650,57
194070,59
194310,60
194550,62
194790,59
195270,57
195750,55
195990,55
196710,64
199830,57
200190,59
200490,60
200790,65
201510,64
201750,62
202710,64
203190,62
203670,55
204450,64
