time,semitone
3780,59
3900,68
3900,66
4860,68
5100,66
5220,68
5400,71
5700,71
5940,66
6060,66
8640,66
8680,68
8920,66
9040,68
9400,66
9520,66
9880,68
10000,66
10120,64
11440,59
11560,68
11560,66
12520,68
12760,66
12880,68
13120,71
13360,71
13720,66
13840,66
16120,68
16240,66
16360,68
16600,66
16720,68
17080,66
17200,66
17560,68
17680,66
17800,64
18760,68
19000,69
20220,69
20460,68
20580,69
20820,71
21060,71
21400,66
21520,66
23800,68
23920,66
24040,68
24280,66
24400,68
24760,66
24880,66
25240,68
25360,66
25480,64
25960,64
26200,71
26440,68
26680,68
26800,71
26920,69
27820,68
27880,69
28120,68
28240,66
28600,64
28840,64
29680,63
29800,63
30640,64
30760,64
34480,59
34600,68
34600,66
35560,68
35800,66
35920,68
36160,71
36400,71
36640,66
36760,66
39340,66
39380,68
39620,66
39740,68
40100,66
40220,66
40580,68
40700,66
40820,64
42140,59
42260,66
42320,68
43220,68
43460,66
43580,68
43820,71
44060,71
44420,66
44600,66
46820,68
46940,66
47060,68
47300,66
47420,68
47780,66
47900,66
48260,68
48380,66
48500,64
49460,68
49700,69
50900,69
51140,68
51260,69
51500,71
51740,71
52100,66
52220,66
54500,68
54620,66
54740,68
54980,66
55100,68
55460,66
55640,66
55940,68
56120,66
56180,64
56660,64
56900,71
57140,68
57380,68
57500,71
57680,69
58520,68
58580,69
58820,68
58940,66
59300,64
59540,64
60380,63
60500,63
61340,64
61460,64
64820,64
65060,71
65120,73
66260,75
66620,76
66860,78
67100,76
67340,71
67460,71
69020,68
69140,69
69380,68
69500,69
69860,76
70100,75
70100,73
70340,73
70460,71
70820,69
71060,68
71540,73
71780,71
71840,73
72020,71
72860,64
72980,71
73040,73
73940,75
74360,76
74540,78
74780,76
75020,71
75140,71
76700,68
76820,69
77060,68
77180,69
78020,66
78140,69
78380,75
78400,76
78640,76
78880,78
79000,73
79060,75
79420,73
79540,71
80560,64
80680,71
80740,73
81640,75
82000,76
82240,78
82420,76
82720,71
82840,71
84400,68
84520,69
84760,68
84880,69
85120,76
85300,73
85360,75
85720,73
85840,71
86080,69
86200,71
86320,71
86680,73
86800,71
88240,64
88360,73
88360,71
89320,75
89680,76
89920,78
90160,76
90280,80
90280,78
90700,78
91120,76
91240,78
91300,76
92080,68
92200,69
92440,68
92560,69
92800,76
92980,75
93040,76
94000,68
94120,69
94480,69
94660,76
94780,78
94900,76
94960,78
109000,64
109240,73
109240,71
110440,75
110800,76
111040,78
111280,76
111520,71
111640,71
113200,68
113320,69
113560,68
113680,69
113980,76
114220,73
114280,75
114520,73
114640,71
115000,69
115240,68
115720,73
115960,71
116020,73
116200,71
117040,64
117160,73
117160,71
118120,75
118480,76
118720,78
118960,76
119200,71
119320,71
120880,68
121000,69
121240,68
121360,69
122200,66
122320,69
122560,75
122580,76
122820,76
123060,78
123180,75
123180,73
123600,73
123720,71
124740,64
124860,73
124860,71
125820,75
126180,76
126420,78
126600,76
126900,71
127020,71
128580,68
128700,69
128880,68
129000,69
129300,76
129480,73
129540,75
129840,73
130020,71
130260,69
130380,71
130500,71
130860,73
130980,71
132420,64
132480,71
132540,73
133500,75
133860,76
134100,78
134280,76
134400,78
134460,80
134880,78
135240,76
135420,78
135420,76
136200,68
136320,69
136560,68
136680,69
136920,76
137160,75
137220,76
140100,71
140220,81
140400,80
140580,78
140760,76
140820,78
141000,78
141720,76
141840,75
142020,73
142140,71
143040,68
143400,66
143760,64
143880,64
