time,semitone
19200,54
19680,57
20160,54
20640,55
21600,54
22080,55
22560,57
23520,55
24000,54
24240,52
24480,52
26880,50
27360,59
27840,57
28320,57
29280,55
29760,54
30240,50
30720,50
31200,52
31680,54
32400,50
32640,57
33600,54
34080,54
34560,54
35040,57
35520,54
36000,55
36960,54
37440,55
37920,57
38880,55
39360,54
39600,52
39840,52
42000,50
42240,50
42720,59
43200,57
43680,57
44640,55
45120,54
46080,50
46560,52
47040,54
47520,50
48000,55
48480,54
48720,52
48960,50
49440,54
49680,52
49920,50
57600,54
58080,57
58560,59
58800,55
59040,55
60000,54
60480,55
60960,57
61920,55
62400,54
62640,52
62880,52
65280,50
65760,59
66240,57
66720,57
67680,55
67920,54
68160,54
68640,52
68880,50
69120,50
69600,52
70080,54
70800,50
71040,57
72000,54
72480,54
72960,54
73440,57
73920,54
74400,55
75360,54
75840,55
76320,57
77280,55
77760,54
78000,52
78240,52
80400,50
80640,50
81120,59
81600,57
82080,57
83040,55
83520,54
84000,50
84480,50
84960,52
85440,54
86400,55
86880,54
87120,52
87360,50
87840,54
88080,52
88320,50
91920,50
92160,62
92640,62
93120,62
93360,61
93600,61
94560,54
95040,54
95520,54
96480,59
96960,57
99600,50
99840,62
100320,62
100800,62
101280,62
101520,61
101760,61
102240,61
102720,61
103200,64
103680,64
104160,62
104400,61
104640,61
105120,59
106080,57
107280,50
107520,62
108000,62
108480,62
109200,62
109440,61
109920,57
111120,50
111360,62
111840,62
112080,61
112320,61
112800,62
113280,64
113940,57
115200,55
115680,54
116160,55
116640,52
117600,52
118080,59
118560,57
122880,54
123360,57
123840,54
124320,55
125280,54
125760,55
126240,57
127200,55
127680,54
127920,52
128160,52
130320,50
130560,50
131040,59
131520,57
132000,57
132960,55
133440,54
133920,52
134160,50
134400,50
134880,52
135360,54
135840,50
136320,57
136800,54
137280,54
137760,54
138240,54
138720,57
139200,54
139680,55
140640,54
141120,55
141600,57
142560,55
143040,54
143280,52
143520,52
145440,50
145680,50
145920,50
146400,59
146880,57
147360,57
148320,55
148800,54
149280,52
149520,50
149760,50
150240,52
150720,54
151440,50
151680,55
152160,54
152400,52
152640,50
153120,54
153360,52
153600,50
157440,59
159360,57
161280,55
163200,57
166080,59
167040,57
168960,55
169020,57
172320,62
172560,64
172800,66
174240,64
174480,62
174720,64
176160,62
176400,61
176640,62
177360,62
177540,69
178200,61
178560,61
178800,59
179040,61
180480,55
181620,57
181740,55
181860,54
182160,55
182400,57
184320,59
185520,61
185640,59
185760,58
186000,59
186240,61
188160,64
188160,61
189840,63
189840,59
191760,56
192000,64
192480,64
192960,64
193200,63
193440,63
194400,59
194880,56
195360,56
196320,61
196800,59
199680,64
200160,64
200640,64
201120,64
201360,63
201600,63
202080,63
202560,63
203040,66
203520,66
204000,64
204240,63
204480,63
204960,61
205440,59
207120,52
207360,64
207840,64
208320,64
209040,64
209280,63
209760,59
210960,52
211200,64
211680,64
211920,63
212160,63
212640,64
213120,66
213780,59
215040,57
215520,56
216000,57
216480,54
217440,54
217920,61
218160,59
218400,63
218640,61
218880,59
225600,59
225840,57
226080,56
226320,54
226560,56
227040,59
227520,56
228000,57
228960,56
229440,57
229920,59
230880,57
231360,56
231600,54
231840,54
234000,52
234240,52
234720,61
235200,59
235680,59
236640,57
237120,56
237600,54
237840,52
238080,52
238560,54
239040,56
239520,52
240000,59
240480,56
240960,56
241440,56
241920,56
242400,59
242880,56
243360,57
244320,56
244800,59
245280,59
246240,57
246720,56
246960,54
247200,54
249360,52
249600,52
250080,61
250560,59
251040,59
252000,57
252480,56
252960,54
253200,52
253440,52
253920,56
254400,57
255120,52
255360,57
255840,56
256080,54
256320,52
256800,56
257040,54
257280,52
258240,61
259200,60
260160,64
260400,66
260640,68
261600,69
261720,68
261840,66
262020,68
262080,59
262200,66
262320,68
262560,66
262680,64
263040,56
264720,52
264960,52
265440,61
265920,59
266400,59
267360,57
267840,56
268320,54
268560,52
268800,52
269280,54
269760,56
270480,47
270720,57
271200,56
271680,54
271920,52
272160,56
272280,54
272400,52
277200,61
277440,59
280560,56
280800,54
281040,56
281220,59
281460,56
281580,54
281760,56
