time,semitone
14280,52
14400,52
14640,54
14760,55
15000,57
15240,59
16080,57
16200,55
16320,57
16440,55
16560,52
17160,48
17280,58
17520,58
17640,57
17880,55
18240,57
18480,58
18600,57
18840,55
19080,50
21960,50
22080,52
22320,55
22440,55
22680,57
22920,57
23280,59
23400,59
23880,52
24000,55
24120,52
24240,55
24480,55
24840,55
24960,57
25200,52
25320,50
25800,50
25920,55
26160,57
26280,57
26640,55
26760,59
29640,50
29760,50
30000,52
30120,55
30360,57
30600,57
31320,55
31440,57
31560,55
31680,57
31800,55
31920,52
32520,55
32640,57
32880,58
33000,57
33480,55
33600,57
33840,58
33960,57
34320,55
34560,50
35040,52
35520,54
35760,62
36240,57
37320,55
37440,62
37680,60
37800,59
38040,60
38280,55
39120,57
39240,55
39360,57
39480,55
39600,52
40200,55
40320,57
40440,59
40560,57
41280,57
41520,55
42000,62
43080,54
43200,55
43440,55
43560,57
43800,62
44160,59
45000,54
45120,55
45360,54
45480,55
45720,62
46080,59
46920,55
47040,57
47280,55
47400,57
47640,59
48000,60
48840,59
48960,60
49080,59
49200,60
49320,59
49440,60
49800,59
49920,60
50040,59
50160,60
50280,59
50400,60
50760,54
50880,55
51120,54
51240,52
51480,50
51720,62
52680,62
52800,62
53040,59
53160,62
53400,62
53760,64
54120,59
54600,59
54720,59
54960,55
55080,57
55320,59
55680,59
55920,60
56040,60
58440,50
58560,50
58800,52
58920,55
59160,57
59400,57
60120,55
60240,57
60360,55
60480,57
60600,55
60720,52
61320,55
61440,57
61680,58
61800,57
62280,55
62400,57
62640,58
62760,57
63000,55
63360,50
63840,52
64320,54
64560,62
65040,59
66120,55
66240,62
66480,60
66600,59
66840,60
67080,59
67920,57
68040,55
68160,57
68280,55
68400,52
69000,55
69120,57
69240,59
69360,57
70080,57
70320,55
70800,62
71880,54
72000,55
72240,55
72360,57
72600,62
72960,59
73800,54
73920,55
74160,54
74280,55
74520,62
74880,59
75720,55
75840,57
76080,55
76200,57
76440,59
76800,60
77640,59
77760,60
77880,59
78000,60
78120,59
78240,60
78600,59
78720,60
78840,59
78960,60
79080,59
79200,60
79560,54
79680,55
79920,54
80040,52
80280,50
80520,62
81480,62
81600,62
81840,59
81960,62
82200,62
82560,64
82920,59
83400,59
83520,59
83760,55
83880,57
84120,59
84480,59
84720,60
84840,60
104520,56
104640,57
104880,57
105000,59
105240,64
105600,61
106440,56
106560,57
106800,56
106920,57
107160,64
107520,61
108360,57
108480,59
108720,57
108840,59
109080,61
109440,62
110280,61
110400,62
110520,61
110640,62
110760,61
110880,62
111240,61
111360,62
111480,61
111600,62
111720,61
111840,62
112200,56
112320,57
112560,56
112680,54
112920,52
113160,64
114120,64
114240,64
114480,61
114600,64
114840,64
115200,66
115560,61
116040,61
116160,61
116400,57
116520,59
116760,61
117120,61
117360,62
117480,62
119880,57
119880,52
120000,57
120000,52
120240,56
120360,57
120360,52
120600,64
120600,57
120960,61
120960,57
123720,61
123720,57
123720,54
123840,61
123840,57
123840,54
124080,59
124080,56
124200,61
124200,57
124200,54
124440,64
124440,61
124440,57
124800,62
124800,59
124800,54
126080,61
126080,57
126240,61
126240,57
126400,62
126400,59
126560,64
126560,61
126720,65
126720,62
127560,56
127680,57
127920,56
128040,54
128280,52
128520,64
129480,64
129600,64
129840,61
129960,64
130200,64
130560,66
130920,61
131400,61
131520,61
131760,57
131880,59
132120,61
132480,61
132720,62
132840,62
