time,semitone
10080,66
10320,67
10440,69
10800,71
10920,69
11220,67
11340,66
11460,64
12300,57
12420,67
12840,66
13200,64
13320,62
14280,59
14400,66
14760,64
15120,59
15240,61
17760,66
18000,67
18060,69
18420,74
18720,74
18960,69
19140,75
19200,76
20100,76
20340,78
20520,74
20820,73
20940,74
22020,74
22320,73
22440,71
22800,69
22920,69
25440,67
25680,66
25800,67
26160,66
26280,64
26640,62
26880,71
29280,67
29520,66
29640,67
30000,66
30120,64
30420,62
30720,71
30960,73
31080,73
31440,74
31560,76
31920,76
32040,74
32340,73
32640,74
33360,74
33360,73
33480,73
33600,71
33960,69
34320,67
34440,66
34560,64
36360,64
36480,65
36720,65
36840,67
37200,69
37320,69
37680,70
37800,70
38400,84
38640,84
38760,84
39240,84
39360,84
39600,82
39720,82
40320,82
40560,81
40680,79
41040,84
41280,81
41700,79
42240,77
42960,76
43020,77
43200,82
43380,82
43560,81
43860,77
44160,79
46080,84
46260,84
46380,84
46800,84
46920,84
47280,84
47400,82
47700,81
47940,82
48720,82
48840,81
48960,79
49320,84
49680,81
50640,82
50700,81
50880,77
51120,77
51240,82
51540,81
51780,79
53280,79
53280,74
53520,77
53640,79
54000,77
54060,79
54060,77
58080,66
58320,67
58440,69
58800,69
58920,74
59220,66
59460,64
