time,semitone
4320,59
4800,57
5280,55
5760,52
7200,52
7680,54
8160,55
8640,54
9840,54
10080,54
10560,55
11040,57
11520,50
15840,59
16320,57
16800,55
17280,52
18720,52
19200,54
19680,55
20160,54
21600,54
22080,55
22560,57
23040,59
27360,62
27840,60
28320,59
28800,52
30240,52
31200,55
31440,54
33120,54
33600,55
34080,57
34560,59
38880,59
39360,57
39840,55
40080,60
41760,52
42240,54
42720,55
42960,57
44640,59
45120,59
45600,59
46080,55
50400,59
50880,57
51360,55
51840,52
53280,52
53760,54
54240,55
54720,54
56000,52
56160,59
56640,57
57120,55
57600,50
61920,59
62400,57
62880,55
63120,60
63840,52
64800,52
65280,54
65760,55
66000,54
67680,54
68160,55
68640,57
69120,59
73440,59
73920,57
74400,55
74640,60
76140,52
76320,60
76800,59
77280,55
77580,54
79200,54
79680,55
80160,57
80400,60
81120,59
81600,57
81840,59
82560,57
83040,55
83520,52
84720,52
84960,59
85440,57
85920,55
86160,60
86880,52
87600,52
87840,52
88320,54
88800,55
89040,57
90480,52
90720,59
91200,59
91680,59
92160,55
97920,60
98160,59
98400,60
98640,59
98880,60
99120,59
99360,60
99840,59
100320,57
100800,60
101040,59
101280,60
101520,59
101760,60
102000,59
102240,60
102720,59
103200,57
103680,59
105120,57
106080,55
106560,55
109440,60
109680,59
109920,60
110160,59
110400,60
110640,59
110880,60
111360,59
111840,57
112080,60
112560,59
112800,60
113040,59
113280,60
113520,59
113760,60
114240,59
114720,57
114960,62
119400,52
119520,59
120000,57
120480,55
120720,60
122400,52
122880,54
123360,55
123600,57
124080,54
125280,54
125760,55
126240,57
126720,59
130860,52
131020,59
131500,57
131980,55
132220,60
133920,52
134400,54
134880,55
135120,57
136540,50
136780,59
137260,59
137740,59
138220,55
165340,62
165580,67
166060,67
166540,67
167020,69
168480,67
173980,52
174220,59
174700,57
175180,55
175660,52
177100,52
177580,54
178060,55
178300,57
179040,54
179760,52
180000,60
180480,59
180960,57
182380,59
182860,57
183340,55
183820,54
184060,55
185740,59
186220,57
186700,55
186940,52
188620,62
190060,62
195820,62
196060,61
196300,62
196540,61
196780,62
197020,61
197260,62
197740,61
198220,59
198700,62
198940,61
199180,62
199420,61
199660,62
199900,61
200140,62
200620,61
201100,59
201580,61
203040,59
204000,57
207580,61
207820,62
208060,61
208300,62
208540,61
208780,62
209260,61
209740,59
209980,62
210460,61
210700,62
211000,61
211180,62
211420,61
211660,62
212140,61
212620,59
212860,64
217320,54
217440,61
217920,59
218400,57
218640,62
220300,54
220780,56
221260,57
221500,59
221980,56
223180,56
223660,57
224140,59
224620,61
228840,54
229000,61
229480,59
229960,57
230200,62
231860,54
232340,56
232820,57
233060,59
234500,52
234740,61
235220,61
235700,61
236180,62
236420,61
236660,62
236900,61
237140,62
237380,61
237620,62
238100,61
238580,59
239060,62
239300,61
239540,62
239780,61
240020,62
240260,61
240500,62
240980,61
241460,59
241940,61
243380,59
244340,57
244820,57
247700,62
247940,61
248180,62
248420,61
248660,62
248900,61
249140,62
249620,61
250100,59
250340,62
250820,61
251060,62
251300,61
251540,62
251780,61
252020,62
252500,61
252980,59
253220,64
257660,54
257780,61
258260,59
258740,57
258980,62
260660,54
261140,56
261620,57
261860,59
262340,56
263540,56
264020,57
264500,59
264980,61
269120,54
269280,61
269760,59
270240,57
270480,62
272160,54
272640,56
273120,57
273360,59
274800,52
275040,61
275520,61
276000,61
276480,57
280620,54
280780,61
281260,59
281740,57
281980,62
283680,54
284160,56
284640,57
284880,61
286300,52
286540,61
287020,61
287500,61
287980,57
