time,semitone
9600,68
9840,66
9960,68
10320,66
10440,68
10800,66
10920,68
11280,66
11400,68
11760,71
12000,71
13440,68
13680,66
13800,68
14160,66
14280,68
14640,66
15000,68
15360,64
15600,61
17280,69
17520,69
17640,69
18000,68
18240,66
19080,59
19200,64
19440,66
19560,68
19920,64
20160,61
21120,69
21840,69
21960,69
22080,69
22320,68
22440,66
22800,64
23040,59
24960,68
25200,66
25320,68
25680,66
25800,68
26160,66
26280,68
26640,66
26880,68
27120,71
27360,71
28800,76
29040,76
29160,76
29520,68
29640,68
29760,75
30000,75
30120,75
30480,66
30720,69
32640,69
32880,69
33000,69
33240,71
33480,68
33720,66
33960,64
34200,66
34440,68
34680,71
34920,71
35160,73
35400,68
35640,64
36480,69
36720,69
36840,69
37080,69
37320,69
37440,69
37680,68
37800,66
38160,64
38400,68
39600,73
40080,72
40320,68
41040,68
41160,68
41280,68
41520,73
41760,75
42000,77
43680,73
43920,77
44880,75
45600,73
45840,75
46560,75
46800,73
47520,75
47760,72
49440,70
49680,73
51360,70
51600,73
52680,73
52800,73
53280,75
53520,72
56400,68
56520,68
56640,68
56880,73
57120,75
57360,77
59040,73
59280,77
60240,75
60960,73
61200,75
61920,75
62160,73
62880,75
63120,72
64800,70
65040,73
66720,70
66960,73
68040,73
68160,73
68640,72
68880,73
87120,68
87240,68
87360,68
87600,73
87840,75
88080,77
89760,73
90000,77
90960,75
91680,73
91920,75
92640,75
92880,73
93600,75
93840,72
95520,70
95760,73
97440,70
97680,73
98760,73
98880,73
99360,75
99600,72
102480,80
102600,80
102720,80
102960,78
103200,75
103440,77
105120,73
105360,77
106320,75
107040,73
107280,75
108000,75
108240,73
108960,75
109200,72
110880,70
111120,73
112800,70
113040,73
114120,73
114240,73
114720,72
114960,73
