time,semitone
13920,54
14080,52
14240,50
14400,52
14560,54
14740,54
15720,52
15840,52
16080,57
16200,59
16560,57
16680,59
16800,50
16920,50
17160,52
17520,54
17640,54
21600,54
21720,54
21840,52
21960,50
22080,52
22320,54
22440,54
23400,52
23520,52
23760,57
23880,59
24240,57
24360,59
24480,50
24600,50
24840,52
25200,54
25320,54
25800,57
25920,57
26280,59
26400,59
26520,62
26760,59
26900,64
29180,64
29300,64
29460,64
29620,64
29780,64
30020,62
30180,62
30360,62
30540,66
30700,66
30840,62
31200,57
31360,57
31600,57
31720,59
31960,59
32080,57
32320,62
32500,62
32640,62
32880,59
33000,57
34080,62
34240,62
34420,62
34540,62
34800,59
34920,57
35400,57
35520,59
35680,59
35840,57
36000,59
36240,62
38760,52
38880,52
39120,57
39240,59
39540,57
39720,59
39840,50
39960,50
40200,52
40340,52
40500,54
40680,54
44640,54
44760,54
45000,50
45120,52
45360,57
45480,54
46440,52
46560,52
46800,57
46920,59
47280,57
47400,59
47520,50
47640,50
47820,52
47980,52
48140,54
48380,54
48860,57
48980,57
49340,59
49460,59
49620,62
49780,59
49940,64
52220,64
52340,64
52500,64
52660,64
52820,64
52980,62
53140,62
53300,62
53460,62
53620,66
53780,66
53900,62
54260,57
54420,57
54580,57
54740,59
54900,59
55080,57
55320,62
55500,62
55660,62
55820,59
55980,57
57120,62
57280,62
57440,62
57600,64
57760,59
57920,57
58460,57
58580,67
58740,66
58920,57
59040,67
59200,66
59360,62
59520,62
62280,64
62400,64
62580,66
62760,62
65160,66
65280,66
65520,61
65640,61
66120,57
66240,62
66480,62
66600,62
69000,62
69120,61
69360,57
69480,57
69960,54
70080,59
70320,59
70440,59
71040,57
72960,54
73440,54
73680,54
73800,55
74880,54
90600,64
90720,64
90880,64
91040,64
91200,64
91360,62
91520,62
91680,62
91840,62
92000,66
92160,66
92280,62
92640,57
92800,57
92960,57
93120,59
93280,59
93460,57
93700,62
93940,62
94100,62
94260,59
94420,57
95500,62
95660,62
95820,62
95980,64
96140,59
96300,57
96840,57
96960,67
97120,66
97300,57
97420,67
97580,66
97740,62
97900,62
100680,64
100800,64
100980,66
101160,62
103560,66
103900,61
104020,61
104500,57
104620,62
104860,62
104980,62
107380,62
107500,61
107740,57
107860,57
108340,54
108460,59
108700,59
108820,59
109420,57
111340,66
111820,62
112060,66
112180,67
113260,66
115180,66
115680,66
115920,66
116040,62
116640,62
116880,64
117240,66
117480,64
117600,66
117840,64
117960,66
118140,64
118200,62
118920,66
119260,61
119380,61
119860,57
119980,62
120220,62
120340,62
120940,61
121080,62
121320,61
121440,62
121920,61
122040,62
122280,61
122400,62
123060,61
123240,57
123360,57
123720,54
123840,59
124080,59
124200,59
124920,62
125160,61
125280,62
125760,61
125880,62
126120,61
126240,64
126480,62
126600,61
127200,62
127440,66
127560,67
131500,67
131680,66
131860,67
131980,66
132220,62
132460,64
132600,62
