time,semitone
240,64
480,64
720,64
960,64
1200,62
1440,60
1680,59
1920,60
2400,60
2640,55
2880,57
3360,59
4800,64
5040,62
5280,60
5520,59
5760,60
7920,64
8160,64
8400,64
8640,64
8880,62
9120,60
9360,59
9600,60
10080,60
10320,55
10560,57
11040,59
12480,64
12720,62
12960,60
13200,59
13440,60
15840,60
16320,62
16800,64
17280,65
17760,65
18000,60
18240,62
18720,64
19680,62
20160,60
20640,62
21120,64
23520,60
24000,62
24480,64
24960,65
25440,65
25680,60
25920,62
26400,64
27360,66
27840,66
28320,66
28800,67
30960,64
30960,67
31200,64
31200,67
31440,64
31440,67
31680,64
31680,67
31920,65
31920,62
32160,64
32160,60
32400,59
32400,62
32640,64
32640,60
33120,64
33120,60
33360,64
33360,55
33600,64
33600,57
34080,64
34080,59
35520,64
35520,67
35760,65
35760,62
36000,64
36000,60
36240,59
36240,62
36480,64
36480,60
38640,64
38880,64
39120,64
39360,64
39600,62
39840,60
40080,59
40320,60
40800,60
41040,55
41280,57
41760,59
43200,64
43440,62
43680,60
43920,59
44160,60
46560,60
47040,62
47520,64
48000,65
48480,65
48720,60
48960,62
49440,64
50400,62
50880,60
51360,62
51840,64
54240,60
54720,62
55200,64
55680,65
56160,65
56400,60
56640,62
57120,64
58080,66
58560,66
59040,66
59520,67
61680,64
61920,64
62160,64
62400,64
62640,62
62880,60
63120,59
63360,60
63840,60
64080,55
64320,57
64800,59
66240,64
66480,62
66720,60
66960,59
67200,60
69360,64
69600,64
69840,64
70080,64
70320,62
70560,60
70800,59
71040,60
71520,60
71760,55
72000,57
72480,59
73920,64
74160,62
74400,60
74640,59
74880,60
