time,semitone
5400,57
5580,59
5760,61
5940,57
6360,62
6540,61
6700,59
7060,54
7240,54
9300,56
9480,57
10060,56
10240,52
10420,50
10540,49
13120,54
13240,56
13420,57
13620,57
14040,56
14232,54
14392,52
14776,57
14956,57
16920,54
17100,56
17760,56
17940,57
18100,59
18220,52
20760,57
20940,59
21576,57
21756,62
21936,61
22056,59
22416,54
22536,54
24660,56
24780,57
25416,56
25596,52
25776,50
25956,49
28500,54
28620,56
28950,57
29370,56
29610,54
29730,52
30150,57
30270,57
32130,54
32610,57
33090,56
33570,57
35550,61
35610,61
35730,61
35850,61
36030,61
36270,61
36450,61
36690,61
36930,59
37230,57
37470,61
38250,62
38310,61
38430,59
39330,62
39450,62
39570,62
39690,62
39810,62
40050,62
40290,62
40530,62
40770,61
41010,59
41250,61
41970,57
42210,52
43170,61
43290,61
43410,61
43530,61
43650,61
43950,61
44190,61
44430,61
44610,59
44910,57
45090,61
45750,62
45930,61
46110,59
47010,62
47130,62
47250,62
47370,62
47490,62
47730,62
47970,62
48450,61
48690,59
48930,61
49350,59
49470,59
50370,61
50610,59
50850,61
51210,62
51270,61
51390,59
63030,57
63210,59
63330,61
63510,57
63990,62
64170,61
64350,59
64650,54
64830,54
66870,56
67050,57
67230,59
67650,56
67830,52
68010,50
68190,49
70710,54
70890,56
71010,57
71190,57
71670,56
71850,54
71970,52
72390,57
72510,57
74550,54
74730,56
74850,57
75330,56
75510,57
75690,59
75810,52
78390,57
78570,59
78690,61
79170,57
79350,62
79530,61
79710,59
80010,54
80190,54
82230,56
82410,57
82530,59
83010,56
83190,52
83370,50
83490,49
86070,54
86250,56
86370,57
86550,57
87030,56
87210,54
87330,52
87750,57
87870,57
89730,54
90210,57
90690,56
91170,57
93150,61
93210,61
93330,61
93450,61
93570,61
93810,61
94050,61
94290,61
94530,59
94830,57
95070,61
95850,62
95910,61
96960,62
97080,62
97200,62
97260,62
97440,62
97680,62
98175,62
98415,61
98655,59
98895,61
99615,57
100815,61
100935,61
101055,61
101175,61
101295,61
101535,61
102015,61
102255,59
102495,57
102735,61
103335,62
103515,61
104655,62
104775,62
104895,62
105015,62
105135,62
105375,62
106095,61
106335,59
106575,61
106935,59
107055,59
108015,61
108255,59
108495,61
108855,62
108915,61
108975,59
