time,semitone
1440,52
1680,53
1920,55
2400,55
2880,62
3120,60
3360,59
3600,57
3840,55
5520,55
5760,57
6480,57
6720,57
7440,57
7680,57
9120,52
9360,53
9600,55
10080,55
10560,62
10800,60
11040,59
11280,57
11520,55
13200,55
13440,57
14160,57
14400,57
15120,57
15360,57
17520,65
17760,65
18000,65
18240,64
18480,62
18720,60
18960,59
19200,60
21360,65
21600,65
21840,65
22080,64
22320,62
22560,60
22800,59
23040,60
25200,65
25440,65
25680,65
25920,64
26160,62
26400,60
26640,59
26880,60
29040,65
29280,65
29520,65
29760,64
30000,62
30240,60
30480,59
30720,60
34560,55
35040,55
35520,62
35760,60
36000,59
36240,57
36480,55
38160,55
38400,57
39120,57
39360,57
40080,57
40320,57
41760,52
42000,53
42240,55
42720,55
43200,62
43440,60
43680,59
43920,57
44160,55
45840,55
46080,57
46800,57
47040,57
47760,57
48000,57
50160,65
50400,65
50640,65
50880,64
51120,62
51360,60
51600,59
51840,60
54000,65
54240,65
54480,65
54720,64
54960,62
55200,60
55440,59
55680,60
57840,65
58080,65
58320,65
58560,64
58800,62
59040,60
59280,59
59520,60
61680,65
61920,65
62160,65
62400,64
62640,62
62880,60
63120,59
63360,60
