time,semitone
33120,69
33360,67
33600,65
33840,62
34080,62
34320,62
34560,65
34740,62
34980,65
35220,69
35460,69
35700,67
36960,69
37200,67
37380,65
37680,62
37920,62
38100,62
38340,65
38580,62
38820,65
39120,62
39360,62
39600,60
40800,69
41040,67
41280,67
41460,65
41700,65
41940,62
42180,65
42420,62
42660,65
42900,69
43140,69
43380,67
44640,69
44880,67
45120,67
45300,65
45540,65
45780,62
46080,72
46260,72
46500,72
46740,72
46980,72
47220,69
48240,69
48420,72
48660,72
48900,72
49140,69
49380,69
50160,69
50400,72
50580,69
50820,69
51300,67
51780,67
52020,66
67680,69
67920,67
68100,67
68340,65
68580,65
68820,62
69060,65
69300,62
69540,65
69780,69
70020,69
70260,67
71520,69
71760,67
72000,67
72180,65
72420,65
72720,62
72960,65
73200,62
73440,65
73620,62
73860,62
74100,60
74400,60
75360,69
75600,67
75840,67
76020,65
76260,65
76500,62
76740,65
76980,62
77220,65
77460,62
77700,65
78180,67
79200,69
79440,67
79680,67
79920,65
80100,65
80340,62
80640,72
80820,72
81060,72
81300,72
81540,69
81900,70
82020,67
82800,72
83040,72
83280,72
83460,72
83760,69
83940,69
84720,72
84900,72
85140,72
85440,69
85920,72
86400,74
87120,69
87360,72
87540,69
87840,72
88020,69
88260,74
89040,69
89280,72
89460,69
89700,72
89940,69
90180,74
90960,69
91200,72
91380,69
91620,72
91860,69
92100,65
92640,67
93120,67
93300,65
94080,72
94800,69
95040,72
95280,69
95460,72
95700,69
95940,74
96720,69
96960,72
97140,69
97380,72
97620,69
97860,74
98640,69
98880,72
99060,69
99300,72
99540,69
99780,65
100260,67
100740,67
101280,65
104640,67
105060,67
105540,67
105780,66
112320,67
112800,67
113220,67
113460,66
132480,74
133200,69
133440,72
133620,69
133860,72
134100,69
134340,74
135120,69
135360,72
135600,69
135840,72
136020,69
136260,74
137040,69
137280,72
137460,69
137700,72
137940,69
138180,65
138660,67
139140,67
139620,65
140100,74
140820,69
141060,72
141300,69
141540,72
141780,69
142020,74
142740,69
142980,72
143220,69
143460,72
143700,69
143940,74
144660,69
144960,72
145140,69
145380,72
145620,69
145920,65
146340,67
146880,67
147300,65
147780,74
148500,69
148800,72
149040,69
149280,72
149520,69
149700,74
150420,69
150720,72
150960,69
151200,72
151380,69
151680,74
152400,69
152640,72
152880,69
153120,72
153300,69
153600,65
154020,67
154560,67
154980,65
155460,74
156180,69
156420,72
156660,69
156960,72
157140,69
157380,74
158100,69
158400,72
158580,69
158820,72
159060,69
159300,74
160020,69
160320,72
160500,69
160800,72
160980,69
161220,65
161700,67
162180,67
162660,65
178560,62
178800,62
