time,semitone
4920,57
5820,57
6660,57
7260,57
7740,57
8640,57
9660,57
10560,57
11520,64
11520,57
12000,67
12240,67
12960,64
13200,67
13440,69
13680,69
13920,67
14160,67
14880,60
15120,62
15360,64
15840,67
16080,65
16800,60
17040,60
17280,62
19200,64
19680,67
19920,67
20640,64
20880,67
21120,69
21360,69
21600,67
21840,67
22560,60
22800,62
23040,64
23520,67
23760,65
24480,64
24720,62
26880,64
27360,67
27600,67
28320,64
28560,67
28800,69
29040,69
29280,67
29520,67
30240,60
30480,62
30720,64
31200,67
31440,65
32160,64
32400,62
34560,64
35040,67
35280,67
36000,64
36240,67
36480,69
36720,69
36960,67
37200,67
37920,60
38160,62
38400,64
38880,67
39120,65
39840,64
40080,62
40800,59
41040,60
43200,60
43440,62
43680,64
43920,64
44160,67
47280,60
47400,72
47760,71
48000,69
49200,62
49320,71
49680,69
49920,67
51120,60
51240,69
51600,67
51840,65
53040,69
53160,67
53520,65
53760,64
54240,65
54480,67
54960,60
55080,72
55440,71
55680,69
56880,62
57000,71
57360,69
57600,67
58080,64
58320,62
58560,60
59520,60
59760,62
60000,64
60240,67
60960,60
61200,60
65280,64
65760,67
66000,67
66720,64
66960,67
67200,69
67440,69
67680,67
67920,67
68640,60
68880,62
69120,64
69600,67
69840,65
70560,64
70800,62
72960,64
73440,67
73680,67
74400,64
74640,67
74880,69
75120,69
75360,67
75600,67
76320,60
76560,62
76800,64
77280,67
77520,65
78240,64
78480,62
79200,59
79440,60
81600,60
81840,62
82080,64
82320,64
82560,67
83760,60
83880,72
84240,71
84480,69
85680,62
85800,71
86160,69
86400,67
87600,60
87720,69
88080,67
88320,65
89520,69
89640,67
90000,65
90240,64
90720,65
90960,67
91440,60
91560,72
91920,71
92160,69
93360,62
93480,71
93840,69
94080,67
94560,71
94800,72
95160,71
95280,69
96000,69
96240,71
96480,72
96720,74
97200,72
97440,72
97680,72
109440,69
109680,71
109920,72
110160,74
110880,71
111120,72
112560,64
112680,72
113040,71
113280,69
114480,62
114600,71
114960,69
115200,67
116400,60
116520,69
116880,67
117120,65
118320,69
118440,67
118800,65
119040,64
119520,65
119760,67
120240,60
120360,72
120720,71
120960,69
122160,62
122280,71
122640,69
122880,67
123360,71
123600,72
123960,71
124080,69
127680,69
127920,71
128160,72
128400,74
129120,71
129360,71
129600,72
131520,69
131760,71
132000,72
132240,74
132960,72
133200,76
133560,74
133680,72
139200,69
139440,71
139680,72
139920,74
140640,71
140880,72
141120,72
