time,semitone
22320,65
22800,64
23040,65
23280,60
23520,58
23760,57
24000,57
24480,65
25200,60
25440,58
25680,57
25920,58
26160,57
26400,55
26640,53
26880,55
27360,55
27600,55
27840,57
28320,53
30000,65
30480,64
30720,65
30960,60
31200,58
31440,57
31680,57
32160,65
32880,60
33120,58
33360,57
33600,58
33840,57
34080,55
34320,53
34560,55
35280,55
35520,62
36000,60
37920,57
38160,57
38400,62
38880,62
39360,64
39840,65
40080,64
40800,60
41760,57
42000,60
42240,62
42720,62
42960,60
43680,58
43920,57
44640,55
44880,53
45600,57
45840,60
46080,62
46560,62
47040,64
47520,65
48000,64
48960,69
49440,67
49680,65
49920,62
50400,62
50640,65
51120,69
51840,67
54480,60
54720,69
54960,67
55200,67
55440,65
55680,67
56400,65
58320,60
58560,69
58800,67
59040,67
59280,65
59520,67
60240,69
60960,65
62160,62
62400,69
62640,67
62880,67
63120,65
63360,67
63840,62
64080,65
66480,67
66720,69
66960,70
67680,69
67920,67
68400,65
68880,69
69360,67
69840,60
70080,69
70320,67
70560,67
70800,65
71040,67
71760,65
73680,60
73920,69
74160,67
74400,67
74640,65
74880,67
75600,72
76320,69
77520,62
77760,69
78000,67
78240,67
78480,65
78720,67
79200,62
79440,65
81840,67
82080,69
82320,70
83040,69
83280,67
84000,65
84480,65
85440,64
86400,65
97200,65
97680,64
97920,65
98160,60
98400,58
98640,57
98880,57
99360,65
100080,60
100320,58
100560,57
100800,58
101040,57
101280,55
101520,53
101760,55
102240,55
102480,55
102720,57
103200,53
104880,65
105360,64
105600,65
105840,60
106080,58
106320,57
106560,57
107040,65
107760,60
108000,58
108240,57
108480,58
108720,57
108960,55
109200,53
109440,55
110160,55
110400,62
110880,60
112800,57
112800,57
113040,57
113040,57
113280,62
113280,62
113760,62
113760,62
114240,64
114240,64
114720,65
114720,65
114960,64
114960,64
115680,60
115680,60
116640,57
116640,57
116880,60
116880,60
117120,62
117120,62
117600,62
117600,62
117840,60
117840,60
118560,58
118560,58
118800,57
118800,57
119520,55
119520,55
119760,53
119760,53
120480,57
120480,57
120720,60
120720,60
120960,62
120960,62
121440,62
121440,62
121920,64
121920,64
122400,65
122400,65
122880,64
122880,64
123840,69
123840,69
124320,67
124320,67
124560,65
124560,65
124800,62
124800,62
125280,62
125280,62
125520,65
125520,65
126000,69
126000,69
126720,67
126720,67
129360,60
129600,69
129840,67
130080,67
130320,65
130560,67
131280,65
133200,60
133440,69
133680,67
133920,67
134160,65
134400,67
135120,69
135840,65
137040,62
137280,69
137520,67
137760,67
138000,65
138240,67
138720,62
138960,65
141360,67
141600,69
141840,70
142560,69
142800,67
143280,65
143760,69
144240,67
144720,60
144960,69
145200,67
145440,67
145680,65
145920,67
146640,65
148560,60
148800,69
149040,67
149280,67
149520,65
149760,67
150480,72
151200,69
152400,62
152640,69
152880,67
153120,67
153360,65
153600,67
154080,62
154320,65
156720,67
156960,69
157200,70
157920,69
158160,67
158880,65
159360,65
160320,64
161280,65
176640,68
177120,68
177360,67
177600,68
178080,68
178320,67
178560,72
179040,65
179520,68
180480,68
180960,68
181200,67
181440,68
181920,68
182160,67
182400,72
182880,65
183360,68
184320,70
184800,70
185040,68
185280,70
185760,70
186000,68
186240,72
186720,65
187200,68
188160,70
188640,70
188880,68
189120,70
189600,70
189840,68
190080,70
191280,68
191760,72
192000,72
194640,62
194880,71
195120,69
195360,69
195600,67
195840,69
196560,67
198480,62
198720,71
198960,69
199200,69
199440,67
199680,69
200400,71
201120,67
202320,64
202560,71
202800,69
203040,69
203280,67
203520,69
204000,64
204240,67
206640,69
206880,71
207120,72
207840,71
208080,69
208560,67
209040,71
209520,69
210000,62
210240,71
210480,69
210720,69
210960,67
211200,69
211920,67
213840,62
214080,71
214320,69
214560,69
214800,67
215040,69
215760,74
216480,71
217680,64
217920,71
218160,69
218400,69
218640,67
218880,69
219360,64
219600,67
222000,69
222240,71
222480,72
223200,71
223440,69
224160,67
224640,67
225600,66
226560,67
240720,62
240960,71
241200,69
241440,69
241680,67
241920,69
242640,67
244560,62
244800,71
245040,69
245280,69
245520,67
245760,69
246480,74
247200,71
248400,64
248640,71
248880,69
249120,69
249360,67
249600,69
250080,64
250320,67
252720,69
252960,71
253200,72
253920,71
254160,69
254880,67
255360,67
256320,66
257280,67
