time,semitone
3840,48
4320,48
4800,48
5280,48
5760,48
6240,48
6720,48
7200,48
7680,48
8160,48
8640,48
9120,48
9600,48
10080,48
10560,48
11040,48
11520,48
12000,48
12480,48
12960,48
13440,48
13920,48
14400,48
18720,59
18960,60
19200,62
19920,60
20400,62
20880,60
21120,59
21600,59
22080,55
23040,55
23280,54
23760,62
24000,62
24480,60
24960,62
26400,62
26640,64
26880,65
27360,64
27840,65
28320,64
28800,62
29280,60
29520,60
29760,59
30480,57
30720,62
31200,64
31680,60
32160,59
32640,60
34080,59
34320,60
34560,62
35040,62
35280,60
36240,60
36480,59
36960,66
37200,66
38160,60
38400,59
38880,69
39120,69
39600,67
40080,67
41760,62
42000,64
42480,64
42960,64
43440,57
43920,57
45360,59
45600,57
45840,57
46080,67
46560,67
46800,67
47280,69
47760,69
51360,59
51600,60
51840,62
52320,60
52800,62
53280,62
53520,60
53760,59
54240,59
54720,55
55200,55
55680,54
56400,62
57120,60
57360,62
57600,64
57840,62
59040,62
59280,64
59520,65
60000,65
60480,65
61200,64
61440,62
61920,60
62400,59
63120,57
63360,62
63840,64
64320,60
64800,59
65280,60
66720,59
66960,60
67200,62
67680,62
67920,60
68880,60
69120,59
69600,66
69840,66
70800,60
71040,59
71520,69
71760,69
72240,67
72720,67
72960,67
74400,62
74640,64
75120,64
75600,64
76080,57
76560,57
78000,57
78240,57
78480,57
78720,67
78960,67
79440,67
79680,66
80160,69
80640,69
81360,67
81600,66
82080,67
82560,71
83040,72
83280,72
84000,62
84480,62
85440,59
85920,66
86400,67
86880,71
87360,67
87840,66
88080,67
90240,67
90600,67
90840,67
91680,60
91920,60
92640,59
93120,60
93600,67
94080,67
94320,67
94560,66
94800,67
95280,69
96000,69
96720,66
96960,67
97440,67
97920,71
98400,72
98640,72
99360,62
99840,62
100800,59
101280,66
101760,67
102240,71
102720,67
103200,66
103440,67
105360,66
105600,67
106080,66
106320,67
107040,60
107280,60
108480,62
108720,64
108960,66
109440,67
110400,69
111360,66
111600,66
112320,62
112800,66
113280,67
128160,59
128400,60
128640,62
129120,62
129360,62
130080,60
130560,59
131040,57
131520,59
132480,55
132720,54
132960,62
133440,62
133920,64
134160,62
134400,62
135840,62
136080,64
136320,65
136800,65
137040,65
137280,65
137760,65
138000,64
138240,62
138720,60
139200,59
139920,57
140160,62
140640,64
141120,60
141600,59
142080,60
143520,59
143760,60
144000,62
144480,62
144720,60
145680,60
145920,59
146400,66
146640,66
147600,60
147840,59
148320,69
148560,69
149040,67
149520,67
149760,67
151440,64
151680,67
152400,64
152640,66
153600,64
153840,64
154800,64
155040,64
155280,67
155760,67
156240,67
156480,67
156960,69
157440,69
159120,67
159360,72
161040,69
161280,71
175680,66
175920,67
176400,69
176880,72
177600,72
177840,72
178320,71
178560,62
179520,59
179760,62
180240,69
180480,69
181200,67
181680,67
182160,66
182400,67
184320,67
184800,67
185280,67
185760,60
186240,60
190560,67
190920,67
191400,69
192000,72
192480,72
192960,72
193920,74
194400,74
195840,71
199200,67
199680,74
200040,74
200640,72
200880,72
201120,72
201360,71
201600,72
202800,71
203040,69
203400,67
204000,69
205920,67
206400,67
206880,69
207360,72
207840,72
208320,74
209040,62
209280,62
210240,62
210720,71
211200,69
211680,71
211920,67
212640,66
213120,67
214800,66
215040,67
215520,67
216000,67
216480,60
216960,60
217920,59
218160,60
218640,66
219120,67
219840,69
220560,67
220800,66
221280,66
222240,66
223200,67
223680,67
233280,66
233520,66
233760,67
234000,66
234240,67
234720,66
236160,66
236640,67
237120,63
237360,62
238800,60
239520,59
