time,semitone
2880,67
3120,66
3360,62
3600,59
3900,64
4800,62
5100,57
5340,59
5520,60
5760,60
6240,59
6720,57
6960,59
7260,60
7440,67
7740,66
7920,67
8220,69
8460,57
8640,60
9120,59
10500,57
10800,59
11040,60
11280,67
11580,66
12480,55
12720,57
12960,59
13200,66
13500,64
14400,57
14640,59
14880,60
15120,71
15420,69
18240,67
18480,66
18720,62
18960,59
19200,64
20160,62
20400,57
20640,59
20880,60
21120,60
21360,59
21480,57
21600,59
22020,57
22320,59
22560,60
22800,67
23040,66
23280,67
23520,69
23760,57
24000,60
24480,59
25920,57
26160,59
26460,60
26640,67
26880,66
27840,55
28080,57
28320,59
28620,66
28800,64
29760,57
30000,59
30240,60
30480,71
30720,69
32160,62
32400,72
32580,72
33120,71
33900,69
34080,67
34320,66
34560,66
35040,67
36000,64
36240,74
36480,74
36960,72
37680,71
37920,69
38160,67
38400,67
38880,69
39840,67
40080,66
40320,69
40800,67
41520,66
41760,67
42000,72
42240,72
42720,71
43200,67
43920,64
44160,71
44880,72
45060,71
45120,69
45600,67
45840,66
46080,67
62400,67
62640,66
62880,62
63120,59
63360,64
64320,62
64560,57
64800,59
65040,60
65280,60
65520,59
65640,57
65760,59
66180,57
66480,59
66720,60
66960,67
67200,66
67440,67
67680,69
67920,57
68160,60
68640,59
70080,57
70320,59
70620,60
70800,67
71040,66
72000,55
72240,57
72480,59
72780,66
72960,64
73920,57
74160,59
74400,60
74640,71
74880,69
76380,72
76620,74
76800,72
77280,71
78060,69
78240,67
78480,66
78720,66
79200,67
80160,64
80400,74
80640,74
81120,72
81840,71
82080,69
82320,67
82560,67
83040,69
84000,67
84240,66
84480,69
84960,67
85680,66
85920,67
86160,72
86400,72
86880,71
87360,67
88080,64
88320,71
89040,72
89220,71
89280,69
89760,67
90000,66
90240,67
91440,72
91680,72
91920,74
92160,72
92640,71
93420,69
93600,67
93840,66
94080,66
94560,67
95520,64
95760,74
96000,74
96480,72
97200,71
97440,69
97680,67
97920,67
98400,69
99360,67
99600,66
99840,69
100320,67
101040,66
101280,67
101520,72
101760,72
102240,71
102720,67
103440,64
103680,71
104400,72
104640,69
105120,67
105360,66
105600,67
107280,64
107520,71
107760,71
108300,72
108480,69
109680,67
