time,semitone
1920,66
2160,62
2400,62
2640,66
2880,64
3120,59
3840,62
4080,62
4320,61
4560,57
4800,57
5760,57
6000,66
6240,64
6480,62
6720,59
6960,59
7680,62
7920,62
8160,62
8400,64
8640,64
9360,57
9600,66
9840,62
10080,62
10320,66
10560,64
10800,59
11520,62
11760,62
12000,61
12240,57
12480,57
13440,57
13680,66
13920,64
14160,62
14400,59
14640,59
15360,62
15600,62
15840,62
16080,64
16320,64
18240,66
18720,64
18960,62
19200,62
19920,62
20160,61
20400,61
20640,61
20880,62
21120,62
22080,66
22320,64
22440,64
22680,62
22920,62
23760,62
24000,61
24240,61
24360,61
24600,57
24840,57
25920,66
26160,64
26400,64
26640,62
26760,62
27000,67
27840,66
28080,64
28320,64
28560,62
28800,62
29040,66
29760,57
30000,62
30240,61
30480,64
30720,62
31440,62
31680,61
31920,61
32040,61
32280,62
32640,62
42240,66
42480,62
42720,62
42960,66
43200,64
43440,59
43920,57
44160,62
44400,61
44640,61
44880,57
45120,57
46080,57
46320,66
46560,64
46800,62
46920,62
47280,59
47760,59
48000,62
48240,62
48480,62
48720,62
48960,61
49680,57
49920,66
50160,62
50400,62
50640,66
50880,64
51120,59
51840,62
52080,62
52320,61
52560,59
52800,57
53760,66
54000,62
54240,62
54480,66
54720,64
54960,59
55680,62
55920,62
56160,62
56400,64
56640,64
58320,57
58560,66
58800,62
59040,64
59280,62
59520,62
60240,62
60480,61
60720,61
60960,61
61200,62
61440,62
62400,66
62640,64
62760,64
63000,62
63240,62
64080,62
64320,61
64560,61
64680,61
64920,57
65160,57
66240,66
66480,64
66720,64
66960,62
67080,62
67320,67
68160,66
68400,64
68640,64
68880,62
69120,62
69360,66
70080,57
70320,62
70560,61
70800,64
71040,62
72000,64
72120,62
72360,62
72600,61
72960,62
101520,57
101760,66
102000,62
102240,64
102480,62
102720,62
103440,62
103680,61
103920,61
104160,61
104400,62
104640,62
105600,66
105840,64
105960,64
106200,62
106440,62
107280,62
107520,61
107760,61
107880,61
108120,57
108360,57
109440,66
109680,64
109920,64
110160,62
110280,62
110520,67
111360,66
111600,64
111840,64
112080,62
112320,62
112560,66
113280,57
113520,62
113760,61
114000,64
114240,62
115200,64
115320,62
115560,62
115800,61
116160,62
