time,semitone
9600,62
9960,60
10080,62
10440,60
10560,62
10920,63
11040,62
11520,62
11880,60
12000,62
12360,60
12480,62
12840,63
12960,62
13440,62
13800,60
13920,60
14280,58
14400,58
15360,60
16320,60
16800,60
17040,62
20880,55
21120,62
21480,60
21600,62
21960,60
22080,62
22440,63
22560,62
22800,55
23040,62
23400,60
23520,62
23880,60
24000,62
24360,63
24480,62
24960,62
25320,60
25440,60
25800,58
25920,60
26160,58
26880,60
27600,60
27840,60
28320,60
28560,62
44160,62
44520,60
44640,62
45000,60
45120,62
45480,63
45600,62
46080,62
46440,60
46560,62
46920,60
47040,62
47400,63
47520,62
48000,62
48360,60
48480,60
48840,58
48960,60
49200,58
49920,60
50640,60
50880,60
51360,60
51600,62
55680,62
55920,60
56160,60
56280,58
56520,60
57360,55
57600,62
57840,60
58080,60
58200,58
58440,60
61200,55
61320,57
61440,58
61680,55
61920,58
62160,55
62280,58
62880,55
63000,57
63120,58
63240,60
63360,62
63600,62
63840,62
64080,60
64200,62
64800,62
64920,60
65040,58
65160,62
65280,60
65520,60
65760,60
66000,58
66120,60
66720,62
66840,60
66960,58
67080,55
67200,58
67440,58
67560,58
67800,60
68040,57
68880,55
69000,57
69120,58
69360,55
69600,58
69840,55
69960,58
70560,55
70680,57
70800,58
70920,60
71040,62
71280,62
71520,62
71760,60
71880,62
72480,62
72600,60
72720,58
72840,62
72960,60
73200,60
73320,58
73440,60
73680,58
73800,60
74400,62
74520,60
74640,58
74760,55
74880,58
75120,58
75240,58
75480,60
75720,57
76560,55
76680,57
76800,58
77040,58
77160,58
77400,60
77640,57
82560,62
82920,60
83040,62
83400,60
83520,62
83880,63
84000,62
84480,62
84840,60
84960,62
85200,62
85320,60
85440,62
85800,63
85920,62
86400,62
86760,60
86880,60
87240,58
87360,58
88320,60
89280,60
89760,65
90240,62
94080,62
94440,60
94560,62
94920,60
95040,62
95400,63
95520,62
96000,62
96360,60
96480,62
96840,60
96960,62
97320,63
97440,62
97920,62
98280,60
98400,60
98760,58
98880,60
99120,58
99840,60
100560,60
100800,60
101280,60
101520,62
105600,62
105840,60
106080,60
106200,58
106440,60
107520,62
107760,60
108000,60
108120,58
108360,60
113040,55
113160,57
113280,58
113520,55
113760,58
114000,55
114120,58
114720,55
114840,57
114960,58
115080,60
115200,62
115440,62
115680,62
115920,60
116040,62
116640,62
116760,60
116880,58
117000,62
117120,60
117360,60
117600,60
117840,58
117960,60
118560,62
118680,60
118800,58
118920,55
119040,58
119280,58
119400,58
119640,60
119880,57
120720,55
120840,57
120960,58
121200,55
121440,58
121680,55
121800,58
122400,55
122520,57
122640,58
122760,60
122880,62
123120,62
123360,62
123600,60
123720,62
124320,62
124440,60
124560,58
124680,62
124800,60
125040,60
125160,58
125280,60
125520,58
125640,60
126240,62
126360,60
126480,58
126600,55
126720,58
126960,58
127080,58
127320,60
127560,57
128400,55
128520,57
128640,58
128880,58
129000,58
129240,60
129480,57
130320,55
130440,57
130560,58
130800,58
130920,58
131160,60
131400,57
132240,55
132360,57
132480,58
132720,58
132840,58
133080,60
133320,57
