time,semitone
5760,62
7680,62
9600,62
11520,62
13440,62
20400,64
20640,72
20880,71
21120,69
22560,67
23040,64
24240,64
24480,72
24720,71
24960,69
26400,71
26880,67
28320,64
28800,62
29280,64
29760,65
30240,69
30720,67
32160,69
32640,64
35760,64
36000,72
36240,71
36480,69
37920,71
38400,71
39600,64
39840,72
40080,71
40320,69
41040,69
41760,71
42240,67
43680,64
44160,62
44640,64
45120,65
45600,69
46080,71
47520,69
48000,72
50880,69
51360,71
51840,72
52560,71
52800,72
53520,72
53760,74
54240,72
55200,69
55440,71
55680,72
56400,72
56640,72
57360,72
57600,71
57840,69
58080,67
59040,67
59520,65
60000,67
60480,69
60960,71
61440,72
62880,69
63360,67
63840,69
64320,71
64800,72
65280,74
66720,69
66960,71
67200,72
67920,72
68160,72
68880,72
69120,71
69360,69
69600,71
70560,69
70800,71
71040,72
71760,72
72000,72
72720,72
72960,76
73440,71
74400,72
74880,77
75360,76
75840,74
76320,72
76800,76
78240,79
78720,72
81840,64
82080,72
82320,71
82560,69
84000,67
84480,64
85680,64
85920,72
86160,71
86400,69
87840,71
88320,67
89760,64
90240,62
90720,64
91200,65
91680,69
92160,67
93600,69
94080,64
97200,64
97440,72
97680,71
97920,69
99360,71
99840,71
101040,64
101280,72
101520,71
101760,69
102240,69
102480,69
102960,71
103680,67
105120,64
105600,62
106080,64
106560,65
107040,66
107520,67
108960,69
109440,72
139200,69
139680,71
140160,72
140880,72
141120,72
141840,72
142080,74
142560,72
143520,69
143760,71
144000,72
144720,72
144960,72
145680,72
145920,71
146160,69
146400,67
147360,67
147840,65
148320,67
148800,69
149280,71
149760,72
151200,69
151680,67
152160,69
152640,71
153120,72
153600,74
155040,69
155280,71
155520,72
156240,72
156480,72
157200,72
157440,74
157920,72
158880,69
159120,71
159360,72
160080,72
160320,72
161040,72
161280,76
161760,71
162720,72
163200,77
163680,76
164160,74
164640,72
165120,76
166560,79
167040,72
170160,64
170400,72
170640,71
170880,69
172320,67
172800,64
174000,64
174240,72
174480,71
174720,69
176160,71
176640,67
178080,64
178560,62
179040,64
179520,65
180000,69
180480,71
181920,69
182400,72
185520,66
185760,74
186000,73
186240,71
187680,69
188160,66
189360,66
189600,74
189840,73
190080,71
191040,71
191520,73
192000,69
193440,66
193920,64
194400,66
194880,67
195360,71
195840,73
197280,71
197760,74
200640,71
201120,73
201600,74
202320,74
202560,74
203280,74
203520,76
204000,74
204960,71
205200,73
205440,74
206160,74
206400,74
207120,74
207360,73
207600,71
207840,69
208800,69
209280,67
209760,69
210240,71
210720,73
211200,74
212640,71
213120,69
213600,71
214080,73
214560,74
215040,76
216480,71
216720,73
216960,74
217680,74
217920,74
218640,74
218880,73
219120,71
219360,73
220320,71
220560,73
220800,74
221520,74
221760,74
222480,74
222720,78
223200,73
224160,74
224640,79
225120,78
225600,76
226080,74
226560,78
228000,81
228480,74
231360,71
231840,73
232320,74
233040,74
233280,74
234000,74
234240,73
234720,73
235680,71
235920,73
236160,74
236880,74
237120,74
237840,74
238080,73
238320,71
238560,69
239520,69
240000,67
240480,69
240960,71
241440,73
241920,74
243360,71
243840,69
244320,71
244800,73
245280,74
245760,76
247200,71
247440,73
247680,74
248400,74
248640,74
249360,74
249600,73
249840,71
250080,73
251040,71
251280,73
251520,74
252240,74
252480,74
253200,74
253440,78
253920,73
254880,74
255360,79
255840,78
256320,76
256800,74
257280,78
258720,81
259200,74
263040,79
263520,78
264000,76
264480,74
264960,73
265200,74
265440,76
266400,71
266640,73
266880,74
