time,semitone
4320,52
7680,52
11520,56
11760,59
12000,66
12240,64
12720,59
13200,59
13440,57
13680,61
13920,68
14160,66
15360,56
15600,59
15840,66
16080,64
16560,64
16800,59
17040,61
17400,59
17520,57
19200,56
19440,59
19680,66
19920,64
20640,59
20880,59
21120,57
21360,61
21600,68
21840,66
22320,68
23040,56
23280,59
23520,66
23760,64
24240,64
24480,68
24720,69
25080,68
25200,64
25680,59
25920,69
26160,68
26400,64
26480,66
26660,66
27000,64
27120,61
29500,59
29740,69
29980,68
30220,64
30340,66
30500,66
30840,64
30960,61
31440,59
31680,64
31920,66
32160,68
32400,64
32860,69
33100,68
33340,66
34060,64
34300,66
34540,69
34800,69
35040,69
35280,68
36240,64
36700,64
36940,63
37180,61
37900,64
38140,66
38380,69
38640,69
38880,69
39120,68
39600,64
39840,64
40540,64
40780,63
41020,61
41740,64
41980,66
42220,69
42480,69
42720,69
42960,68
43920,64
44380,64
44620,63
44860,61
45340,59
45580,68
45820,66
46200,64
46320,61
46800,59
47040,64
47280,66
47520,68
47760,64
48220,69
48460,68
48940,68
49180,64
49420,66
49660,64
49900,64
57820,59
58060,66
58300,64
58780,59
59260,59
59500,57
59740,61
59980,68
60220,66
61420,56
61660,59
61900,66
62140,64
62620,64
62860,59
63100,61
63480,59
63600,57
65500,59
65740,66
65980,64
66700,59
66940,59
67180,57
67420,61
67660,68
67900,66
68380,68
69100,56
69340,59
69580,66
69820,64
70300,64
70540,68
70780,69
71160,68
71280,64
71760,59
72000,69
72240,68
72480,64
72560,66
72800,66
73100,64
73220,61
74180,61
74420,61
74660,59
75620,59
75860,69
76100,68
76340,64
76460,66
76620,66
76940,64
77060,61
77540,59
77780,64
78020,66
78260,68
78500,64
78740,68
78980,69
79220,68
79460,66
80180,66
80420,68
80660,71
80900,71
81140,71
81380,70
82340,66
82580,65
82820,66
83060,65
83300,63
84020,66
84260,68
84500,71
84740,71
84980,73
85220,70
86180,66
86420,65
86660,66
86900,65
87140,63
87620,61
87860,66
88100,68
88340,71
88580,71
88820,71
89060,70
90020,66
90260,65
90500,66
90740,65
90980,63
91460,61
91700,70
91940,68
92300,66
92420,63
92900,61
93140,66
93380,68
93620,70
93860,66
94100,70
94340,71
94580,70
94820,68
95300,70
95540,66
95780,68
96020,71
96260,71
96500,71
96740,70
97700,66
97940,65
98180,66
98420,65
98660,63
99140,61
99380,66
99620,68
99860,71
100100,71
100340,71
100580,70
101300,66
101780,65
102020,66
102260,65
102500,63
103220,66
103460,68
103700,71
103940,71
104180,71
104420,70
105380,66
105620,65
105860,66
106100,65
106340,63
106820,66
107060,70
107300,68
107660,66
107780,63
108260,61
108500,66
108740,68
108980,70
109220,66
109460,70
109700,71
109940,70
110180,61
110420,70
110660,66
110900,68
111140,66
111380,66
111380,58
111620,61
111860,68
112100,66
112580,61
113060,61
113300,59
113540,63
113780,70
114020,68
115220,58
115460,61
115700,68
115940,66
116420,66
116660,61
116900,63
117260,61
117380,59
