time,semitone
17880,60
18120,58
18360,60
19140,53
19440,55
20040,62
20280,60
21720,60
21960,58
22200,60
22920,53
23160,55
23880,57
24200,55
24200,57
25520,60
25760,58
26000,60
26720,53
26960,55
27680,62
27920,60
29420,60
29600,58
29840,60
30560,53
30800,55
31520,57
31880,55
31928,57
33270,58
33510,57
33750,58
35190,60
35370,58
35670,60
37110,62
37110,60
37350,60
37530,62
38190,58
38550,60
40590,62
41190,60
41430,62
42270,60
42510,55
42870,60
43110,58
43350,60
44130,58
44430,53
44790,58
45030,57
45270,58
46110,57
46350,57
46710,58
46950,60
47190,62
48270,62
48870,60
49110,62
49950,60
50190,55
50550,60
50790,58
51030,60
51810,58
52050,55
52470,58
52710,57
52890,58
53790,57
53970,55
53970,57
54330,55
56310,60
56490,58
56730,60
57450,53
57750,55
58470,62
58710,60
60150,60
60390,58
60630,60
61290,53
61530,55
62310,57
62550,57
63990,60
64170,58
64410,60
65130,53
65430,55
66090,62
66330,60
67830,60
68070,58
68250,60
69030,53
69270,55
69990,57
70170,57
71610,58
71850,57
72090,58
73590,60
73830,58
74070,60
75510,62
75750,60
75990,62
76530,58
76890,60
77130,58
77310,60
78990,62
79590,60
79830,62
80670,60
80910,55
81270,60
81510,58
81750,60
82530,58
82830,53
83190,58
83430,57
83670,58
84510,57
84750,57
85110,58
85350,60
85590,62
86670,62
87270,60
87510,62
88350,60
88590,55
88950,60
89190,58
89430,60
90210,58
90450,55
90870,58
91110,57
91290,58
92190,57
92370,55
92370,57
92730,55
94350,62
94950,60
95190,62
96030,60
96270,55
96630,60
96870,58
97110,60
97890,58
98190,53
98550,58
98790,57
99030,58
99870,57
100110,57
100470,58
100710,60
100950,62
102030,62
102630,60
102870,62
103710,60
103950,55
104310,60
104550,58
104790,60
105570,58
105810,55
106230,58
106470,57
106650,58
107550,57
107730,55
107730,57
108090,55
125070,62
125670,60
125910,62
126750,60
126990,55
127350,60
127590,58
127830,60
128610,58
128910,53
129270,58
129510,57
129750,58
130590,57
130830,57
131190,58
131430,60
131670,62
132750,62
133350,60
133590,62
134430,60
134670,55
135030,60
135270,58
135510,60
136290,58
136530,55
136950,58
137190,57
137370,58
138270,57
138450,55
138450,57
138810,55
140430,62
141030,60
141270,62
142110,60
142350,55
142710,60
142950,58
143190,60
143970,58
144270,53
144630,58
144870,57
145110,58
145950,57
146190,57
146550,58
146790,60
147030,62
148110,62
148710,60
148950,62
149730,60
149970,57
150330,60
150630,58
150870,60
151710,58
151890,55
152310,58
152550,57
152790,58
153630,57
153750,55
153810,57
154230,58
154470,60
154710,62
155790,62
156390,60
156630,62
157470,60
157710,55
158070,60
158310,58
158550,60
159330,58
159630,53
159990,58
160230,57
160470,58
161310,57
161550,57
161910,58
162150,60
162390,62
163470,62
164070,60
164310,62
165150,60
165390,55
165750,60
165990,58
166230,60
167010,58
167250,55
167670,58
167910,57
168090,58
168990,57
169170,55
169170,57
169530,55
173430,55
173430,58
173610,57
173670,55
173850,55
173850,58
175350,46
175350,43
175590,45
175590,43
175830,46
175830,43
177270,46
177270,43
177510,45
177510,43
177750,46
177750,43
