time,semitone
20880,67
21120,74
21360,72
21600,74
22320,72
22560,74
22800,75
23040,72
24720,60
24960,67
25200,65
25440,67
26160,65
26400,67
26640,68
26880,65
28320,77
28560,75
28800,74
29040,75
29280,74
30000,72
30240,72
30480,74
30720,70
32400,58
32640,65
32880,63
33120,65
33840,63
34080,65
34320,67
34560,63
36240,70
36480,70
36720,68
36960,68
38160,72
38400,72
38640,74
38880,70
40080,65
40320,65
40560,67
40800,67
42000,70
42240,70
42480,72
42720,68
43920,56
44160,63
44400,62
44640,63
45360,62
45600,63
45840,65
46080,62
47760,60
48000,59
49680,67
49920,74
50160,72
50400,74
51120,72
51360,74
51600,75
51840,72
53520,72
53760,79
54000,77
54240,79
54960,77
55200,79
55440,80
55680,77
56400,75
56640,77
57360,75
57600,74
57840,75
58080,74
58800,72
59040,72
59280,74
59520,70
61200,70
61440,77
61680,75
61920,77
62640,75
62880,77
63120,79
63360,79
63480,77
63600,75
65040,70
65280,70
65520,68
65760,68
66960,72
67200,72
67440,74
67680,70
68400,65
68640,65
68880,68
69120,68
69360,67
69600,67
70800,70
71040,70
71280,72
71520,68
72720,68
72960,75
73200,74
73440,75
74160,74
74400,75
74640,77
74880,74
76560,80
76800,79
79680,82
79920,80
80160,79
80400,77
80640,80
81120,80
81600,79
81840,80
82080,79
82320,80
82560,77
83280,77
83520,75
83760,77
84000,75
84240,77
84480,79
85200,79
85440,77
85680,79
85920,77
86160,79
86400,75
87120,75
87360,74
87600,75
87840,74
88080,75
88320,77
88800,77
89280,75
89520,77
89760,75
90000,77
90240,74
90960,74
91200,72
91440,74
91680,72
91920,74
92160,75
92640,75
92880,75
93120,74
93360,72
93600,74
93840,72
94080,77
94200,79
95040,82
95280,80
95520,79
95760,77
96000,80
96480,80
96720,80
96960,79
97200,80
97440,79
97680,80
97920,77
98640,77
98880,75
99120,77
99360,75
99600,77
99840,79
100320,79
100560,79
100800,77
101040,79
101280,77
101520,79
101760,75
102480,75
102720,74
102960,75
103200,74
103440,75
103680,77
104160,77
104400,77
104640,75
104880,77
105120,75
105360,77
105600,74
106320,74
106560,72
106800,74
107040,72
107280,74
107520,75
108000,75
108240,75
108480,74
108720,72
108960,74
109200,72
109440,77
109560,79
143760,70
144000,70
144240,68
144480,68
145680,72
145920,72
146160,70
146400,74
147360,62
147600,65
147840,65
148080,63
148320,67
149520,70
149760,70
150000,68
150240,68
151440,68
151680,75
151920,74
152160,75
152880,74
153120,75
153360,77
153600,74
158400,82
158640,80
158880,79
159120,77
159360,80
159840,80
160320,79
160560,80
160800,79
161040,80
161280,77
162000,77
162240,75
162480,77
162720,75
162960,77
163200,79
163920,79
164160,77
164400,79
164640,77
164880,79
165120,75
165840,75
166080,74
166320,75
166560,74
166800,75
167040,77
167520,77
168000,75
168240,77
168480,75
168720,77
168960,74
169680,74
169920,72
170160,74
170400,72
170640,74
170880,75
171840,74
172080,72
172320,74
172560,72
172800,77
172920,79
174240,80
174240,77
174720,82
174720,79
174840,84
174840,80
176400,80
176400,77
176640,82
176640,79
176760,80
176760,77
188160,76
188160,72
188520,76
188520,72
188880,77
188880,74
189120,76
189120,72
189480,77
189480,74
189840,79
189840,76
190080,80
190080,77
190560,80
190560,77
190800,80
191040,84
191280,82
191520,79
191760,80
192000,82
192720,80
192960,79
193200,80
193440,79
193680,80
193920,79
194040,80
194100,79
194400,79
194640,79
194880,77
195120,79
195360,77
195600,79
195840,80
195960,82
196080,80
196560,75
196800,74
197040,75
197280,74
197520,75
197760,77
198240,77
198480,77
198720,75
198960,77
199200,75
199440,77
199680,74
200400,77
200400,74
200640,75
200640,72
200880,77
200880,74
201120,75
201120,72
201360,77
201360,74
201600,79
201600,75
203520,77
203520,74
204000,75
204000,72
204240,77
204240,74
204960,75
204960,72
205200,79
205200,75
205440,77
205440,74
206880,77
206880,72
207360,76
207360,72
