time,semitone
23580,66
24060,66
24540,66
25020,66
25680,59
25980,59
26460,59
27180,59
27600,61
27900,62
28380,59
28800,61
29340,61
29580,62
29820,64
31260,64
31740,64
32220,64
32700,64
33360,61
33600,61
34080,61
34860,61
35280,62
35580,64
36000,61
36240,61
36480,62
36960,62
37200,64
37440,66
38880,59
39360,61
39840,62
40380,67
40860,64
41100,66
41340,67
41820,64
42060,66
42240,67
42960,67
43260,69
43740,67
44160,66
44700,62
44940,64
45180,66
45660,62
45840,64
46140,66
46860,66
47100,66
47520,66
48000,65
48720,65
49440,65
49920,65
50400,62
50880,61
51420,59
51660,62
51900,61
54300,66
54780,66
55260,66
55740,66
56400,59
56700,59
57180,59
57900,59
58320,61
58620,62
59100,59
59520,61
60060,61
60300,62
60540,64
61980,64
62460,64
62940,64
63420,64
64080,61
64320,61
64800,61
65580,61
66000,62
66300,64
66720,61
66960,61
67200,62
67680,62
67920,64
68160,66
69600,59
70080,61
70560,62
71100,67
71580,64
71820,66
72060,67
72540,64
72780,66
72960,67
73680,67
73980,69
74460,67
74880,66
75420,62
75660,64
75900,66
76380,62
76560,64
76860,66
77580,66
77820,66
78240,66
78720,65
79440,65
80160,65
80640,65
81360,66
82020,68
82560,70
85920,59
86400,66
86880,66
87360,66
87840,67
88320,64
88380,66
89040,64
89760,61
90000,62
90240,64
90720,64
91200,64
91680,66
92160,62
92280,64
92940,62
93600,59
93840,61
94080,62
94560,62
94980,62
95460,62
96000,61
96480,61
96960,62
97440,61
97860,59
97980,61
98580,62
99360,54
101280,59
101760,66
102240,66
102720,66
103200,67
103680,64
103740,66
104400,64
105120,61
105360,62
105600,64
106080,64
106560,64
107040,66
107520,62
107640,64
108300,62
108960,59
109200,61
109440,62
109920,62
110340,62
111120,62
111360,62
111840,62
112320,64
112800,62
113340,61
114000,66
115740,66
116220,66
116700,66
117180,66
117840,59
118140,59
118620,59
119340,59
119760,61
120060,62
120540,59
120960,61
121500,61
121740,62
121980,64
123420,64
123900,64
124380,64
124860,64
125520,61
125760,61
126240,61
127020,61
127440,62
127740,64
128160,61
128400,61
128640,62
129120,62
129360,64
129600,66
131040,59
131520,61
132000,62
132540,67
133020,64
133260,66
133500,67
133980,64
134220,66
134400,67
135120,67
135420,69
135900,67
136320,66
136860,62
137100,64
137340,66
137820,62
138000,64
138300,66
139020,66
139260,66
139680,66
140160,65
140880,65
141600,65
142080,65
142800,66
143460,68
144000,70
181020,66
181500,66
181980,66
182460,66
183120,59
183420,59
183900,59
184620,59
185040,61
185340,62
185820,59
186240,61
186780,61
187020,62
187260,64
188700,64
189180,64
189660,64
190140,64
190800,61
191040,61
191520,61
192300,61
192720,62
193020,64
193440,61
193680,61
193920,62
194400,62
194640,64
194880,66
196320,59
196800,61
197280,62
197820,67
198300,64
198540,66
198780,67
199260,64
199500,66
199680,67
200400,67
200700,69
201180,67
201600,66
202140,62
202380,64
202620,66
203100,62
203280,64
203580,66
204300,66
204540,66
204960,66
205440,65
206160,65
206880,65
207360,65
208080,66
208740,68
209280,70
212640,59
213120,66
213600,66
214080,66
214560,67
215040,64
215100,66
215760,64
216480,61
216720,62
216960,64
217440,64
217920,64
218400,66
218880,62
219000,64
219660,62
220320,59
220560,61
220800,62
221280,62
221700,62
222180,62
222720,61
223200,61
223680,62
224160,61
224580,59
224700,61
225300,62
226080,54
228000,59
228480,66
228960,66
229440,66
229920,67
230400,64
230460,66
231120,64
231840,61
232080,62
232320,64
232800,64
233280,64
233760,66
234240,62
234360,64
235020,62
235680,59
235920,61
236160,62
236640,62
237060,62
237840,62
238080,62
238560,62
239040,64
239520,62
240060,61
240720,66
243360,59
243840,66
244320,66
244800,66
245280,67
245760,64
245820,66
246480,64
247200,61
247440,62
247680,64
248160,64
248640,64
249120,66
249600,62
249720,64
250380,62
251040,59
251280,61
251520,62
252000,62
252420,62
253200,62
253440,62
253920,62
254400,64
254880,62
255420,61
256080,66
257820,66
258300,66
258780,66
259260,66
259920,59
260220,59
260700,59
261420,59
261840,61
262140,62
262620,59
263040,61
263580,61
263820,62
264060,64
265500,64
265980,64
266460,64
266940,64
267600,61
267840,61
268320,61
269100,61
269520,62
269820,64
270240,61
270480,61
270720,62
271200,62
271440,64
271680,66
273120,59
273600,61
274080,62
274620,67
275100,64
275340,66
275580,67
276060,64
276300,66
276480,67
277200,67
277500,69
277980,67
278400,66
278940,62
279180,64
279420,66
279900,62
280080,64
280380,66
281100,66
281340,66
281760,66
282240,65
282960,65
283680,65
284160,65
284880,66
285540,68
286080,70
