time,semitone
13440,62
13460,64
13700,65
13940,67
14120,62
14144,64
14624,65
14864,67
15104,64
15104,62
17265,60
17505,62
17745,64
17905,59
17965,60
18505,62
18745,64
18937,59
18961,60
21060,62
21120,59
21120,60
21420,59
21600,59
21840,62
21860,64
22280,59
22760,60
22784,62
23024,62
23220,62
23460,59
23700,60
25185,60
25425,60
25665,60
26145,64
26625,60
26865,60
27360,62
27600,62
28965,65
29265,67
29505,64
29985,65
30225,67
30465,64
32625,60
32865,62
33105,64
33345,60
33825,62
34065,64
34305,60
36705,59
36945,59
37185,64
37185,62
37665,59
38145,60
38165,62
38430,62
38670,64
38850,59
39150,60
40350,59
40350,60
40590,60
40830,60
41070,60
41550,59
42030,60
46110,57
47070,59
48030,59
48510,62
48510,60
48990,60
49230,62
49470,64
49950,65
50670,64
50910,62
51150,64
51390,65
51870,64
53790,57
54750,59
55710,59
56190,62
56670,60
56910,62
57150,64
57630,65
58350,64
58590,62
58830,64
59070,65
59550,67
61470,64
61710,65
61950,67
62190,64
62670,65
62910,67
63150,64
65310,60
65550,62
65790,64
66030,60
66510,62
66750,64
66990,60
69150,59
69390,59
69630,59
69870,64
70350,59
70830,62
71070,62
71310,64
71550,59
71790,60
72990,57
73230,60
73470,60
73710,60
74190,64
74670,60
74910,60
75390,62
75630,62
76770,64
77070,65
77310,67
77550,64
77970,65
78270,67
78510,64
80430,64
80670,60
80910,62
81150,64
81390,60
81870,62
82110,64
82350,60
84510,59
84750,59
84990,59
85170,64
85710,59
86190,62
86430,62
86670,64
86850,59
87150,60
88350,57
88590,60
88830,60
89070,60
89550,59
90030,60
94110,57
95070,59
96030,59
96510,62
96510,60
96990,60
97230,62
97470,64
97950,65
98670,64
98910,62
99150,64
99390,65
99870,64
101790,57
102750,59
103710,59
104190,62
104670,60
104910,62
105150,64
105630,65
106350,64
106590,62
106830,64
107070,65
107550,67
109470,64
109710,65
109950,67
110190,64
110670,65
110910,67
111150,64
111630,65
111870,67
112110,64
112590,65
112830,67
113070,69
113550,69
113790,69
114030,69
114510,71
114750,72
114990,74
115710,74
115950,74
116430,72
116670,71
116910,72
140190,64
140430,65
140670,67
140910,64
141390,65
141630,67
141870,64
144030,60
144270,62
144510,64
144750,60
145230,62
145470,60
145710,64
145710,62
146070,62
146190,60
147870,59
148110,59
148350,59
148590,52
149070,62
149550,62
149790,62
150030,64
150270,59
150510,60
151710,57
151950,60
152190,60
152430,60
152910,59
153390,60
157470,57
158430,59
159390,59
159870,62
160350,60
160590,62
160830,64
161310,65
162030,64
162270,62
162510,64
162750,65
162990,55
163470,65
163950,64
165030,65
165090,67
165150,69
165390,67
165630,65
165870,64
166110,62
166350,60
166590,59
166830,55
167070,67
167550,71
168030,72
168270,71
168510,69
168990,72
169710,71
169770,72
169830,71
169950,69
170190,71
170430,72
170910,74
172830,64
173070,65
173310,67
173550,64
174030,65
174270,67
174510,64
174990,65
175230,67
175470,64
175950,65
176190,67
176430,69
176910,69
177150,69
177390,69
177870,71
178110,72
178350,74
178950,74
179310,74
179790,72
180030,71
180270,72
